timestamp,BME688_TEMP,BME688_HUM,BME688_PRES,BME688_R,ENS160_R0,ENS160_R1,ENS160_R2,ENS160_R3,SGP41_VOC,SGP41_NOX,timestamp_s
3420033,29.16,47.5,101429,37914,32305,1,11056,8997,27341,16464,0
3421083,29.11,47.47,101429,44568,36429,1,13332,11124,27741,16444,1
3422133,29.08,47.39,101427,51612,38691,1,14382,12196,27934,16345,2
3423183,29.07,47.3,101427,56424,40528,1,15604,12936,28099,16283,3
3424233,29.06,47.23,101427,60334,41640,1,16185,13601,28181,16245,4
3425283,29.05,47.17,101427,63476,42783,1,17028,14304,28236,16205,5
3426333,29.05,47.1,101427,65523,43749,1,17507,14722,28298,16164,6
3427383,29.05,47.05,101427,67760,44421,1,18061,14912,28348,16133,7
3428433,29.05,47.01,101427,68854,44965,1,18184,15080,28399,16112,8
3429483,29.06,46.97,101427,70098,45733,1,18651,15646,28402,16079,9
3430533,29.06,46.94,101426,71150,46482,1,19215,15769,28425,16058,10
3431583,29.07,46.91,101426,72173,46592,1,19313,15668,28447,16028,11
3432633,29.07,46.89,101426,72727,47179,1,19589,16016,28475,16014,12
3433687,29.08,46.87,101426,72976,47291,1,19823,16262,28499,15986,13
3434730,29.08,46.86,101425,73860,47580,1,19890,16361,28501,15968,14
3435152,29.16,46.87,101426,79061,47580,1,19890,16361,28523,15951,15
3436012,29.17,46.82,101426,78335,47435,1,20216,16467,28485,15948,15
3437012,29.17,46.77,101426,77481,48589,1,20408,16697,28514,15922,16
3438012,29.17,46.74,101426,77271,48392,1,20806,17051,28541,15903,17
3439012,29.16,46.73,101426,77131,48737,1,20756,17097,28509,15891,18
3440012,29.16,46.7,101426,77131,49368,1,20855,16959,28515,15872,19
3441032,29.16,46.71,101426,76992,49168,1,20975,17272,28502,15855,20
3442011,29.16,46.69,101426,77835,49168,1,20975,17272,28531,15839,21
3443012,29.16,46.68,101425,77552,49201,1,21218,17028,28535,15816,22
3444012,29.16,46.66,101425,78191,49368,1,20841,17366,28514,15814,23
3445012,29.16,46.65,101426,78120,49687,1,21522,17097,28539,15792,24
3446012,29.16,46.62,101425,78120,49402,1,21104,17155,28538,15783,25
3447012,29.17,46.62,101425,78263,49452,1,21154,17213,28536,15772,26
3448012,29.17,46.62,101425,78479,49771,1,21269,17507,28540,15757,27
3449012,29.17,46.61,101425,78551,49990,1,21240,17448,28521,15730,28
