timestamp,BME688_TEMP,BME688_HUM,BME688_PRES,BME688_R,ENS160_R0,ENS160_R1,ENS160_R2,ENS160_R3,SGP41_VOC,SGP41_NOX,timestamp_s
3439907,28.66,49.47,101350,47823,56353,1,176546,22990,27322,16408,0
3440957,28.61,49.42,101350,53623,61350,1,184051,24684,27744,16360,1
3442007,28.59,49.34,101350,58115,64023,1,188782,25812,27991,16203,2
3443057,28.57,49.25,101350,62271,66160,1,191226,27046,28126,16087,3
3444107,28.56,49.17,101351,65422,68437,1,193570,28053,28213,15973,4
3445157,28.56,49.1,101350,68193,69440,1,193898,28638,28307,15883,5
3446207,28.56,49.04,101350,70737,69865,1,198412,29524,28381,15808,6
3447257,28.56,48.99,101351,72665,71081,1,198748,29674,28429,15729,7
3448307,28.56,48.93,101350,74440,72687,1,202277,30232,28473,15663,8
3449346,28.57,48.88,101351,76235,73727,1,203238,30716,28496,15599,9
3449885,28.62,48.89,101350,80553,73727,1,203238,30716,28483,15570,9
3450886,28.62,48.82,101350,80859,75240,1,208816,31251,28545,15527,10
3451886,28.62,48.78,101350,81554,75138,1,210875,31656,28511,15481,11
3452886,28.62,48.74,101350,82103,76472,1,212451,31957,28553,15438,12
3453886,28.62,48.71,101349,83306,76679,1,215858,31784,28572,15401,13
3454886,28.62,48.69,101350,83469,77962,1,217766,33147,28573,15365,14
3455886,28.62,48.67,101349,84880,78015,1,220435,32371,28611,15338,15
3456886,28.63,48.67,101348,85134,79561,1,225262,32901,28609,15314,16
3457886,28.63,48.64,101349,85647,79292,1,223440,33270,28630,15289,17
3458886,28.63,48.64,101349,85647,78571,1,226639,33576,28625,15266,18
3459886,28.63,48.64,101349,86515,80237,1,227715,33214,28609,15242,19
3460897,28.64,48.61,101349,87134,79427,1,228487,33327,28610,15221,20
3461947,28.63,48.61,101349,86779,80974,1,231445,33248,28633,15202,22
3462997,28.63,48.61,101349,87223,80455,1,231680,33587,28672,15190,23
3464047,28.64,48.59,101349,87401,81001,1,234600,33394,28625,15167,24
3465097,28.64,48.6,101349,86868,81413,1,233254,33451,28626,15156,25
3466147,28.64,48.58,101349,87223,80946,1,233965,34497,28635,15133,26
3467197,28.64,48.59,101348,87312,82244,1,236193,33987,28635,15124,27
3468247,28.64,48.58,101348,87671,81358,1,237074,34068,28608,15108,28
3469297,28.65,48.57,101348,87671,82050,1,236673,34057,28673,15104,29
3470336,28.65,48.58,101349,88581,83535,1,240224,34462,28659,15082,30
3470885,28.7,48.58,101349,92518,83535,1,240224,34462,28626,15083,30
