timestamp,BME688_TEMP,BME688_HUM,BME688_PRES,BME688_R,ENS160_R0,ENS160_R1,ENS160_R2,ENS160_R3,SGP41_VOC,SGP41_NOX,timestamp_s
561518,29.26,48.78,101241,40087,34230,1,18657,9536,27835,16614,0
562568,29.22,48.74,101242,45470,37177,1,21427,11581,28233,16582,1
563618,29.2,48.66,101241,50632,38967,1,23549,12599,28401,16493,2
564657,29.2,48.59,101242,54549,40900,1,24809,13400,28516,16440,3
565496,29.21,48.52,101242,58394,40900,1,24809,13400,28608,16401,3
566497,29.21,48.45,101241,60420,41261,1,25855,13805,28684,16365,4
567497,29.21,48.36,101241,62135,42494,1,27037,14251,28709,16333,5
568497,29.21,48.31,101242,63665,42610,1,27554,14416,28761,16303,6
569497,29.21,48.27,101242,65573,43469,1,27996,14712,28743,16278,7
570497,29.21,48.23,101242,65979,43868,1,29097,14822,28784,16249,8
571497,29.21,48.17,101242,66963,43942,1,29107,14927,28829,16226,9
572497,29.22,48.13,101242,67653,44829,1,29865,15270,28815,16203,10
573497,29.22,48.11,101241,68139,44753,1,29764,15368,28855,16180,11
574497,29.23,48.07,101241,69133,45702,1,30303,15473,28845,16152,12
575497,29.23,48.06,101242,69245,45764,1,30914,15536,28869,16138,13
576497,29.23,48.04,101242,69811,45733,1,31019,15441,28851,16116,14
577497,29.24,48.02,101241,70041,46529,1,31304,15668,28853,16096,15
578497,29.24,48,101241,70503,45919,1,31774,16011,28844,16076,16
579497,29.25,47.99,101241,70503,46956,1,31957,16032,28870,16060,17
580497,29.25,47.97,101242,71210,46466,1,32261,15887,28876,16039,18
581497,29.25,47.95,101242,71448,46734,1,32131,16022,28876,16022,19
582497,29.26,47.94,101241,71329,47147,1,32327,15726,28899,16010,20
583538,29.26,47.94,101241,71091,46090,1,31731,15742,28833,15992,22
584588,29.26,47.92,101242,71809,46325,1,32185,15887,28872,15981,23
585638,29.26,47.9,101240,71448,46877,1,32131,16038,28886,15963,24
586677,29.26,47.91,101240,71269,46813,1,32185,15994,28916,15943,25
