timestamp,BME688_TEMP,BME688_HUM,BME688_PRES,BME688_R,ENS160_R0,ENS160_R1,ENS160_R2,ENS160_R3,SGP41_VOC,SGP41_NOX,timestamp_s
749238,28.9,49.51,101394,27990,41136,1,24726,19215,26954,16737,0
750238,28.79,49.44,101395,36394,23154,1,10087,8225,27382,16723,1
751238,28.72,49.36,101397,44244,26323,1,11790,10364,27579,16600,2
752238,28.68,49.23,101397,52276,28129,1,12884,11648,27709,16509,3
753238,28.66,49.14,101399,58474,29038,1,13712,12379,27894,16431,4
754238,28.64,49.06,101399,63808,30592,1,14732,13055,27940,16354,5
755238,28.63,48.99,101399,68303,31293,1,15141,13596,28031,16287,6
756238,28.63,48.93,101399,72173,31698,1,16191,14131,28060,16217,7
757238,28.62,48.88,101398,75896,32934,1,16601,14324,28132,16157,8
758238,28.63,48.83,101398,78048,33012,1,17034,14727,28160,16106,9
759238,28.63,48.79,101398,80477,34080,1,17395,15203,28211,16061,10
760238,28.63,48.74,101398,81867,33907,1,17939,15316,28221,16009,11
761238,28.64,48.72,101399,84127,34114,1,18184,15265,28196,15976,12
762238,28.64,48.69,101399,85475,34311,1,18525,15854,28271,15938,13
763238,28.65,48.66,101399,86428,34579,1,18905,15881,28266,15907,14
764238,28.65,48.64,101399,88123,35396,1,19008,16136,28354,15877,15
765238,28.66,48.61,101398,88489,35134,1,19163,16584,28333,15843,16
766238,28.67,48.57,101399,89604,35673,1,20025,16697,28348,15817,17
767238,28.67,48.56,101399,90844,36086,1,19689,16669,28382,15796,18
768258,28.68,48.56,101400,92119,36578,1,20319,17120,28371,15770,19
769237,28.69,48.53,101399,94692,36578,1,20319,17120,28376,15754,19
770238,28.69,48.52,101399,94744,36602,1,20415,16976,28351,15729,21
771238,28.7,48.51,101400,95647,37139,1,20401,17132,28355,15714,22
772238,28.71,48.49,101400,94692,37862,1,20834,17243,28388,15700,23
773238,28.72,48.49,101401,96622,37303,1,20834,17354,28384,15677,24
774238,28.72,48.47,101401,97006,37760,1,21442,17561,28395,15660,25
775238,28.73,48.46,101402,96024,37594,1,21333,17662,28421,15652,26
776238,28.74,48.45,101402,97784,37404,1,21529,17836,28415,15635,27
777238,28.74,48.43,101402,98065,37926,1,21515,17596,28448,15624,28
778238,28.75,48.4,101401,98461,38145,1,21889,17824,28436,15615,29
