timestamp,BME688_TEMP,BME688_HUM,BME688_PRES,BME688_R,ENS160_R0,ENS160_R1,ENS160_R2,ENS160_R3,SGP41_VOC,SGP41_NOX,timestamp_s
752429,29.12,47.97,101398,26594,30716,1,10259,8153,26948,16333,0
753479,29.03,47.94,101398,32561,35348,1,12126,10242,27359,16279,1
754529,28.98,47.85,101398,38496,37594,1,13518,11600,27590,16176,2
755579,28.94,47.75,101398,43478,40665,1,14401,12375,27688,16107,3
756629,28.92,47.68,101400,48724,40831,1,15054,13015,27835,16046,4
757679,28.91,47.6,101400,52308,43322,1,16065,13450,27920,15999,5
758729,28.9,47.53,101401,55399,44211,1,16624,13941,27999,15957,6
759779,28.89,47.48,101400,57411,44783,1,17413,14548,28026,15907,7
760829,28.89,47.43,101401,59327,45966,1,17466,14677,28123,15873,8
761879,28.89,47.39,101401,61025,46592,1,18085,14983,28146,15830,9
762929,28.9,47.34,101401,62454,46435,1,18338,15090,28159,15797,10
763979,28.9,47.32,101401,63665,47952,1,18925,15441,28186,15757,11
765029,28.91,47.29,101401,64483,47952,1,19287,15678,28230,15727,12
766083,28.91,47.26,101401,65523,48474,1,19040,15838,28261,15708,13
767127,28.92,47.23,101401,66132,49301,1,19823,16005,28268,15675,14
768181,28.92,47.2,101402,66701,49603,1,19897,16185,28291,15653,15
769224,28.93,47.2,101402,67599,49872,1,20134,16389,28319,15631,16
769646,29,47.19,101403,72357,49872,1,20134,16389,28309,15617,17
770408,29.03,47.16,101404,72541,50024,1,20353,16669,28290,15602,17
771408,29.03,47.08,101404,71628,50296,1,20134,16478,28305,15590,18
772408,29.02,47.05,101404,71269,49720,1,20665,16879,28329,15561,19
773429,29.02,47.04,101404,70855,50535,1,20602,16810,28341,15548,21
774479,29.01,47.03,101404,71032,50878,1,20841,16788,28344,15531,22
775529,29.01,47.02,101404,71091,50740,1,21132,17161,28345,15507,23
776579,29.01,47.02,101404,71210,51362,1,21478,17336,28332,15495,24
777629,29.01,46.99,101405,71210,51624,1,21602,17680,28345,15477,25
778678,29.01,46.99,101403,71991,51869,1,21500,17196,28379,15464,26
779407,29.04,47,101404,74181,51869,1,21500,17196,28368,15450,26
780408,29.04,46.95,101404,73415,52844,1,21653,17307,28359,15443,27
781408,29.04,46.94,101403,73352,52115,1,21668,17248,28373,15426,28
782408,29.04,46.93,101403,73038,52665,1,21398,17407,28370,15410,29
783408,29.05,46.91,101403,73605,52879,1,21860,17442,28345,15396,30
784408,29.05,46.91,101403,73605,52897,1,21934,17307,28369,15387,31
785408,29.05,46.89,101403,73669,53202,1,21882,17602,28354,15374,32
786408,29.06,46.87,101404,73860,53293,1,21934,17584,28361,15369,33
787408,29.06,46.85,101404,74700,52844,1,21756,17806,28387,15358,34
788408,29.06,46.85,101403,74440,52790,1,22285,18024,28363,15357,35
789408,29.06,46.85,101403,74831,53202,1,22083,17770,28380,15340,36
790408,29.07,46.83,101403,74310,53059,1,22038,17824,28380,15330,37
791408,29.07,46.81,101404,74963,52915,1,22248,17866,28416,15317,38
792408,29.08,46.81,101404,75227,53329,1,22023,17836,28399,15314,39
793408,29.08,46.79,101404,75161,53238,1,22482,18208,28374,15305,40
794439,29.08,46.79,101404,75095,53855,1,22589,18444,28370,15295,42
795489,29.08,46.76,101405,75227,53928,1,22882,18588,28384,15281,43
