timestamp,BME688_TEMP,BME688_HUM,BME688_PRES,BME688_R,ENS160_R0,ENS160_R1,ENS160_R2,ENS160_R3,SGP41_VOC,SGP41_NOX,timestamp_s
898628,28.39,49.92,101315,36676,27977,1,10721,11000,27340,17333,0
899667,28.34,49.88,101316,45373,31827,1,12719,13601,27718,17314,1
900616,28.32,49.8,101317,54065,31827,1,12719,13601,27885,17206,1
901617,28.3,49.68,101317,60249,33930,1,14246,15059,27985,17117,2
902617,28.3,49.6,101318,65073,35613,1,15405,16005,28110,17045,3
903617,28.29,49.53,101317,68357,36789,1,16596,16810,28176,16972,4
904617,28.29,49.46,101317,71329,37888,1,17243,17377,28242,16909,5
905617,28.29,49.42,101317,73038,39073,1,17927,17752,28249,16853,6
906617,28.29,49.39,101317,75095,39794,1,18905,18351,28298,16802,7
907617,28.3,49.35,101318,76577,40569,1,19477,18702,28297,16752,8
908617,28.3,49.34,101318,77764,41457,1,20120,18931,28366,16702,9
909617,28.3,49.3,101319,78769,41556,1,20602,18937,28395,16656,10
910617,28.3,49.29,101318,79207,42265,1,20637,19034,28406,16619,11
911617,28.3,49.27,101319,79950,42351,1,20742,19144,28421,16574,12
912617,28.31,49.23,101319,80553,42365,1,21312,19280,28434,16543,13
913617,28.31,49.23,101319,81321,43205,1,21566,19576,28407,16502,14
914617,28.31,49.21,101319,81789,43044,1,21435,19437,28441,16474,15
915617,28.32,49.21,101318,81789,42566,1,21047,19345,28422,16436,16
916617,28.32,49.21,101318,82500,42610,1,21398,19241,28444,16412,17
917617,28.32,49.19,101318,82740,43015,1,21061,19385,28497,16378,18
918617,28.33,49.19,101318,83387,42870,1,21333,19339,28501,16354,19
919617,28.33,49.17,101319,83143,42826,1,21211,19280,28455,16328,20
920617,28.33,49.17,101319,83387,43307,1,21413,19411,28451,16308,21
921617,28.34,49.18,101318,83387,43381,1,21580,19762,28508,16279,22
922617,28.34,49.18,101318,83224,43587,1,21919,19803,28471,16262,23
923647,28.34,49.16,101318,83387,43957,1,22038,20332,28471,16239,25
924616,28.35,49.15,101319,84127,43957,1,22038,20332,28488,16220,25
925617,28.35,49.16,101319,83797,43410,1,21815,19576,28482,16205,26
926617,28.35,49.15,101319,82580,42581,1,21011,19359,28513,16188,27
927617,28.36,49.15,101318,82182,41951,1,20312,18925,28472,16173,28
928617,28.36,49.15,101319,82103,41094,1,19589,18177,28477,16156,29
929617,28.36,49.14,101319,81166,40638,1,19176,17915,28495,16134,30
930617,28.36,49.14,101319,81166,40023,1,18576,17383,28501,16125,31
931617,28.36,49.15,101319,80553,40254,1,18251,17354,28450,16114,32
932617,28.37,49.13,101318,80402,39405,1,17854,17243,28498,16091,33
933617,28.37,49.13,101319,80326,38875,1,17728,17057,28492,16082,34
934617,28.37,49.13,101318,81166,39272,1,17692,17074,28532,16075,35
935617,28.37,49.12,101318,80935,39767,1,17885,17348,28491,16057,36
936617,28.37,49.12,101318,81867,39888,1,18506,17836,28509,16049,37
937617,28.37,49.11,101318,82341,40091,1,18425,18030,28481,16038,38
938617,28.37,49.1,101318,81321,39646,1,18413,17680,28501,16033,39
939617,28.38,49.11,101319,81476,39338,1,18382,17704,28513,16022,40
940617,28.38,49.1,101318,81399,39392,1,17969,17537,28484,16014,41
941617,28.38,49.11,101318,81710,38561,1,17752,16913,28471,16003,42
942617,28.38,49.11,101318,81476,39126,1,17818,17097,28479,15991,43
943617,28.38,49.1,101318,82024,38600,1,17680,17086,28554,15989,44
944617,28.39,49.11,101318,81867,39458,1,17824,17319,28502,15987,45
945617,28.39,49.09,101317,82821,39232,1,18049,17489,28467,15970,46
946617,28.39,49.11,101317,83224,40078,1,18569,18134,28487,15969,47
947628,28.39,49.09,101318,83714,41122,1,19053,18544,28502,15957,49
948667,28.38,49.08,101318,83632,41150,1,19550,18657,28474,15949,50
949616,28.39,49.08,101316,84880,41150,1,19550,18657,28510,15946,50
