timestamp,BME688_TEMP,BME688_HUM,BME688_PRES,BME688_R,ENS160_R0,ENS160_R1,ENS160_R2,ENS160_R3,SGP41_VOC,SGP41_NOX,timestamp_s
902788,28.72,49.95,101247,78407,83281,1,124879,20175,27454,16473,0
903788,28.69,49.91,101247,83469,55577,1,86674,11452,27845,16462,1
904788,28.68,49.84,101246,88123,59429,1,94359,13368,28054,16360,2
905788,28.67,49.75,101246,92318,62821,1,98403,14837,28161,16264,3
906788,28.67,49.66,101246,96841,66003,1,100797,15887,28277,16200,4
907788,28.67,49.57,101246,99902,68044,1,103949,16500,28353,16131,5
908788,28.67,49.51,101246,102114,70054,1,106875,17608,28403,16070,6
909788,28.67,49.44,101245,104362,71346,1,109252,18251,28418,16019,7
910788,28.68,49.41,101246,106511,72001,1,110929,18771,28515,15970,8
911788,28.68,49.35,101246,108199,73329,1,112364,19118,28535,15911,9
912788,28.68,49.33,101247,108612,73478,1,115370,19215,28584,15873,10
913788,28.69,49.31,101247,110654,74103,1,114012,19287,28568,15830,11
914788,28.69,49.29,101247,111014,74960,1,116429,19326,28613,15788,12
915788,28.69,49.26,101247,111595,74833,1,116075,19378,28631,15756,13
916788,28.7,49.27,101247,112552,75291,1,116115,19261,28599,15718,14
917788,28.7,49.26,101247,112999,75189,1,116943,19391,28641,15684,15
918788,28.7,49.25,101247,114132,75393,1,116075,19483,28660,15662,16
919788,28.71,49.23,101247,114669,76111,1,119140,19326,28643,15628,17
920788,28.71,49.23,101247,115133,76395,1,117976,19280,28645,15604,18
921828,28.71,49.23,101247,115056,77096,1,116706,19345,28656,15580,19
922787,28.72,49.22,101247,116073,77096,1,116706,19345,28668,15558,19
923788,28.72,49.2,101247,116231,76835,1,117458,19490,28687,15540,21
924788,28.72,49.2,101248,116310,76472,1,117379,19583,28676,15509,22
925788,28.72,49.21,101247,116390,76705,1,121420,19398,28644,15492,23
926788,28.72,49.2,101247,117512,77935,1,117062,19391,28678,15479,24
927788,28.73,49.19,101247,117269,77567,1,117618,19464,28686,15460,25
928788,28.73,49.19,101247,117512,78094,1,117817,19622,28662,15450,26
929788,28.73,49.18,101248,117593,77646,1,118256,19642,28674,15424,27
930788,28.74,49.17,101248,117674,78253,1,118497,19464,28648,15412,28
931788,28.74,49.17,101248,117674,77305,1,118416,19742,28688,15394,29
932788,28.74,49.17,101247,118162,77357,1,119503,19656,28662,15386,30
933788,28.74,49.15,101247,118408,77646,1,118537,19483,28675,15372,31
934788,28.75,49.17,101247,117674,77988,1,117777,19398,28692,15355,32
935788,28.75,49.14,101247,118081,77488,1,118737,19536,28701,15343,33
936788,28.75,49.14,101247,118244,77044,1,117300,19583,28675,15338,34
937788,28.75,49.14,101248,118408,77856,1,117220,19490,28690,15330,35
938788,28.76,49.13,101248,117593,77488,1,118617,19411,28708,15312,36
939787,28.76,49.12,101248,118408,76654,1,116508,19589,28683,15310,36
940787,28.76,49.12,101248,119236,76654,1,116508,19589,28706,15302,37
941788,28.77,49.11,101248,118986,78067,1,117618,19477,28721,15290,39
942788,28.77,49.11,101247,118986,77962,1,116982,19609,28677,15279,40
943788,28.77,49.1,101248,119236,78173,1,117618,19550,28706,15274,41
944788,28.77,49.08,101247,119319,78306,1,119463,19729,28683,15265,42
945788,28.78,49.08,101247,119402,78811,1,117618,19583,28677,15260,43
946788,28.78,49.08,101247,119486,78465,1,118016,19662,28702,15248,44
947788,28.78,49.08,101248,118986,79105,1,119301,19656,28699,15242,45
948788,28.79,49.05,101248,119738,78147,1,118979,19616,28698,15233,46
949788,28.79,49.06,101248,118903,78120,1,118737,19444,28691,15225,47
950788,28.79,49.05,101248,119486,78332,1,117180,19530,28688,15218,48
951788,28.8,49.05,101248,119152,78094,1,117300,19424,28700,15209,49
952788,28.8,49.04,101248,119654,78624,1,117657,19589,28683,15205,50
953788,28.8,49.03,101248,118986,78067,1,116429,19326,28676,15205,51
954788,28.8,49.03,101249,119236,78757,1,118216,19642,28702,15199,52
955788,28.81,49.01,101248,120075,80264,1,117618,20181,28687,15198,53
956788,28.81,49,101248,120244,80727,1,119706,20700,28667,15189,54
957788,28.81,49,101248,119570,80837,1,120805,20848,28684,15185,55
958809,28.81,49,101248,120075,80455,1,120805,20665,28671,15179,56
959869,28.8,48.99,101247,118738,80183,1,120846,20561,28679,15171,57
960918,28.8,49,101247,119236,79615,1,119706,20526,28676,15168,58
961787,28.82,49,101248,120498,79615,1,119706,20526,28662,15163,58
962788,28.82,49,101249,120244,79777,1,120397,20175,28697,15160,60
963788,28.82,48.99,101249,120754,80373,1,120805,20457,28690,15145,61
964788,28.82,48.96,101249,120413,80156,1,121091,20305,28670,15149,62
