timestamp,BME688_TEMP,BME688_HUM,BME688_PRES,BME688_R,ENS160_R0,ENS160_R1,ENS160_R2,ENS160_R3,SGP41_VOC,SGP41_NOX,timestamp_s
1053037,28.88,49.08,101334,47877,51851,1,158263,21551,27591,16614,0
1054087,28.84,49.04,101333,53189,56564,1,161729,23637,28017,16549,1
1055137,28.81,48.95,101333,57761,59328,1,169233,24902,28220,16421,2
1056187,28.8,48.87,101333,62090,62291,1,170152,26022,28352,16318,3
1057237,28.79,48.78,101333,65979,63634,1,174585,27807,28454,16218,4
1058287,28.79,48.71,101332,68854,65182,1,181269,27977,28549,16134,5
1059337,28.79,48.66,101333,71032,67746,1,184487,29564,28606,16052,6
1060387,28.8,48.6,101333,73732,68925,1,189422,29855,28667,15977,7
1061426,28.8,48.56,101333,75360,70530,1,193439,30675,28634,15916,8
1062015,28.84,48.53,101333,79651,70530,1,193439,30675,28675,15886,8
1063016,28.85,48.48,101333,79875,70721,1,196275,30530,28740,15825,9
1064016,28.85,48.43,101333,80553,70697,1,199827,30841,28745,15765,10
1065016,28.85,48.39,101333,80935,71928,1,201525,31262,28756,15720,11
1066016,28.84,48.37,101333,81789,71370,1,201730,31124,28785,15681,12
1067016,28.84,48.36,101333,82421,73106,1,203444,31262,28794,15646,13
1068016,28.84,48.34,101333,83224,71806,1,204895,31946,28767,15608,14
1069016,28.84,48.32,101333,83632,72588,1,206636,31431,28839,15571,15
1070016,28.84,48.32,101333,83632,73007,1,207267,32087,28825,15545,16
1071016,28.84,48.31,101334,83797,73727,1,208040,31581,28808,15515,17
1072016,28.85,48.3,101334,84127,74505,1,212955,31806,28824,15496,18
1073016,28.85,48.29,101334,84628,73503,1,210021,32163,28827,15460,19
1074027,28.85,48.29,101333,84880,73977,1,214692,32723,28853,15438,20
1075077,28.85,48.27,101333,84460,76498,1,217545,32261,28849,15420,22
1076127,28.85,48.27,101333,84460,74631,1,217177,33237,28838,15389,23
1077177,28.85,48.27,101333,83714,75982,1,218948,32779,28860,15374,24
1078227,28.85,48.27,101333,83961,74833,1,216297,32447,28819,15354,25
1079277,28.85,48.25,101334,83550,75623,1,218135,32546,28862,15340,26
1080327,28.86,48.27,101334,83306,76111,1,222233,32425,28867,15319,27
1081377,28.86,48.26,101334,83469,74833,1,218061,32867,28846,15312,28
1082427,28.86,48.24,101334,83306,76395,1,222008,32393,28839,15290,29
1083477,28.86,48.25,101334,83632,74808,1,218874,32480,28851,15278,30
1084516,28.86,48.23,101334,83797,74884,1,217619,32502,28834,15267,31
1085015,28.92,48.24,101336,88306,74884,1,217619,32502,28804,15256,31
1086016,28.92,48.21,101335,87223,76395,1,217913,32316,28862,15252,32
1087016,28.92,48.17,101335,86691,74960,1,219839,32283,28866,15235,33
1088016,28.92,48.16,101335,86691,76783,1,219245,31979,28858,15229,34
1089016,28.91,48.15,101336,86603,76136,1,218652,32635,28861,15215,35
1090016,28.91,48.15,101337,86603,75905,1,219319,32768,28849,15213,36
1091016,28.91,48.14,101336,86603,77804,1,222534,32580,28854,15198,37
1092016,28.91,48.14,101336,87401,77514,1,226332,33827,28844,15191,38
1093016,28.91,48.14,101335,87942,78811,1,230117,33576,28839,15187,39
1094016,28.92,48.14,101335,87851,77646,1,231445,33930,28876,15174,40
1095016,28.92,48.12,101336,88489,78837,1,230585,33999,28853,15173,41
1096067,28.92,48.1,101335,88123,80074,1,230975,33428,28874,15171,43
1097117,28.91,48.11,101335,87761,78438,1,232938,34103,28831,15160,44
1098167,28.91,48.12,101335,87401,79131,1,234441,33147,28891,15153,45
1099217,28.91,48.11,101336,87045,78306,1,234203,33576,28855,15143,46
1100267,28.92,48.12,101336,87134,79078,1,231680,33474,28831,15141,47
1101317,28.92,48.12,101335,86868,79939,1,236513,34265,28835,15132,48
1102367,28.92,48.1,101335,86515,79185,1,238442,34172,28873,15127,49
1103417,28.92,48.11,101335,86166,80864,1,238684,33907,28827,15120,50
1104467,28.93,48.1,101334,86779,79105,1,237154,33964,28844,15117,51
1105517,28.93,48.08,101335,86515,79534,1,236994,33804,28893,15116,52
1106567,28.93,48.09,101336,86428,79239,1,239818,34149,28873,15113,53
1107617,28.93,48.09,101335,85992,78677,1,235156,33248,28867,15104,54
1108661,28.94,48.08,101336,86779,79885,1,239088,33158,28876,15095,55
1109715,28.94,48.07,101336,86428,78811,1,241202,33987,28865,15090,56
1110759,28.95,48.07,101336,86603,78917,1,241202,34068,28845,15086,57
1111813,28.95,48.05,101336,86691,80591,1,242183,34057,28882,15079,58
1112856,28.95,48.05,101337,87312,80482,1,240875,33530,28855,15084,59
1113278,29.02,48.07,101337,93910,80482,1,240875,33530,28858,15079,60
1114016,29.05,48.04,101337,92418,80946,1,240224,34172,28868,15072,60
1115016,29.04,47.97,101337,90747,80509,1,241937,34392,28842,15071,61
1116016,29.03,47.96,101337,89982,79427,1,239007,33147,28817,15066,62
1117057,29.02,47.95,101337,89416,79912,1,237475,33599,28843,15061,64
1118107,29.01,47.95,101337,88123,79051,1,238603,33451,28839,15064,65
1119157,29,47.96,101337,88581,80809,1,239493,34358,28853,15062,66
1120207,28.99,47.96,101337,87401,79588,1,242511,34323,28876,15053,67
1121257,28.99,47.96,101336,87223,80482,1,242429,33712,28834,15049,68
1122307,28.99,47.97,101336,86428,80864,1,243251,34265,28816,15045,69
1123357,28.99,47.96,101336,86253,80183,1,242429,34103,28822,15044,70
1124407,28.99,47.97,101336,86166,81001,1,243746,33964,28832,15044,71
1125457,28.99,47.96,101336,86779,80292,1,248409,33896,28859,15036,72
1126507,28.99,47.97,101337,86515,80129,1,243993,33804,28821,15040,73
1127557,28.99,47.96,101337,86253,80373,1,247570,34614,28839,15034,74
1128607,28.99,47.96,101337,85647,80974,1,246567,34767,28865,15027,75
1129650,28.99,47.96,101338,85390,82272,1,246150,33633,28825,15031,76
1130072,29.06,47.98,101337,90459,82272,1,246150,33633,28843,15030,77
1131016,29.07,47.93,101338,88858,81551,1,249674,33758,28827,15025,77
1132016,29.07,47.88,101338,87312,80782,1,248409,34172,28843,15026,78
1133016,29.06,47.87,101337,86956,81001,1,247989,34080,28846,15019,79
1134016,29.05,47.86,101337,86868,80047,1,246901,33428,28837,15019,80
1135016,29.04,47.87,101337,86515,80946,1,244738,33530,28844,15010,81
1136016,29.04,47.86,101337,86691,79507,1,242922,33553,28820,15019,82
1137016,29.04,47.87,101338,86691,79750,1,242265,32968,28828,15009,83
1138046,29.03,47.87,101336,85906,79642,1,240061,33587,28806,15009,85
1139015,29.03,47.85,101336,86428,79642,1,240061,33587,28824,15000,85
1140016,29.03,47.85,101336,86166,79669,1,237556,32602,28839,15006,86
1141016,29.03,47.85,101336,86868,80319,1,239737,33542,28822,15009,87
1142016,29.03,47.85,101337,86691,78173,1,236033,32768,28819,15000,88
1143016,29.03,47.85,101337,86428,78120,1,234044,32668,28844,15002,89
1144016,29.03,47.85,101336,86691,79561,1,233649,33035,28849,14997,90
1145016,29.03,47.83,101337,86340,78837,1,233649,33599,28842,14997,91
1146016,29.03,47.83,101337,86340,79885,1,237636,33372,28815,14995,92
1147016,29.03,47.82,101337,86691,79078,1,236513,33091,28836,14991,93
1148016,29.04,47.82,101338,87581,79427,1,234600,33046,28821,14987,94
1149016,29.04,47.82,101338,87045,80455,1,237636,33508,28821,14996,95
1150016,29.04,47.81,101338,88123,79669,1,238603,33964,28815,14983,96
1151016,29.04,47.81,101338,87851,81856,1,240387,34265,28851,14985,97
1152016,29.04,47.81,101338,87671,80482,1,242019,34068,28866,14975,98
1153016,29.05,47.8,101338,87312,80646,1,240143,33327,28834,14982,99
1154016,29.05,47.8,101339,87581,80455,1,238281,33712,28794,14979,100
1155016,29.05,47.8,101339,87942,80400,1,241283,33394,28817,14982,101
1156016,29.05,47.8,101339,88215,81221,1,238846,33873,28838,14979,102
1157016,29.05,47.8,101339,88673,80782,1,245235,33530,28820,14970,103
1158016,29.04,47.79,101338,89416,81193,1,241692,34057,28824,14969,104
1159047,29.04,47.8,101338,89416,82077,1,242840,34544,28805,14974,106
1160097,29.04,47.78,101338,89136,81607,1,246734,34311,28814,14969,107
1161147,29.03,47.79,101337,89229,83535,1,252906,34661,28843,14969,108
1162186,29.02,47.8,101337,89416,82272,1,251795,34838,28850,14974,109
1163015,29.04,47.81,101337,91135,82272,1,251795,34838,28840,14963,109
1164016,29.03,47.79,101337,91233,82189,1,253849,35169,28836,14964,110
1165016,29.03,47.79,101337,91135,84102,1,254623,34885,28832,14963,111
1166016,29.03,47.79,101337,91038,82356,1,255573,35122,28835,14965,112
1167016,29.03,47.8,101337,91038,84387,1,256093,35110,28860,14960,113
1168016,29.03,47.8,101337,90459,82607,1,257832,35134,28812,14963,114
1169016,29.03,47.8,101337,90941,83563,1,258094,35217,28811,14959,115
1170016,29.03,47.81,101338,90941,83281,1,259671,35794,28821,14958,116
1171016,29.04,47.8,101338,90747,83365,1,261700,34755,28798,14953,117
