timestamp,BME688_TEMP,BME688_HUM,BME688_PRES,BME688_R,ENS160_R0,ENS160_R1,ENS160_R2,ENS160_R3,SGP41_VOC,SGP41_NOX,timestamp_s
1906402,28.6,49.81,101362,55006,62039,1,223440,24592,27848,16548,0
1907452,28.57,49.76,101362,59953,66160,1,227100,25882,28192,16512,1
1908502,28.57,49.66,101362,63904,69159,1,235315,26872,28356,16427,2
1909552,28.56,49.58,101361,67653,70889,1,237154,27967,28468,16378,3
1910602,28.57,49.49,101361,70213,73032,1,241283,28138,28528,16342,4
1911652,28.57,49.4,101361,72727,74631,1,245401,28454,28578,16306,5
1912702,28.58,49.32,101361,74052,76008,1,246233,29028,28592,16269,6
1913752,28.58,49.28,101361,75560,76576,1,253248,28696,28654,16242,7
1914802,28.59,49.23,101362,77062,77830,1,251199,29614,28635,16226,8
1915841,28.6,49.2,101362,77835,78147,1,252136,29444,28650,16201,9
1916381,28.65,49.18,101362,81867,78147,1,252136,29444,28652,16185,9
1917382,28.66,49.12,101362,81710,79723,1,255919,30038,28617,16161,10
1918382,28.66,49.07,101362,81789,79078,1,254968,29514,28683,16148,11
1919382,28.66,49.05,101361,82182,79051,1,258444,29764,28699,16121,12
1920382,28.66,49.02,101361,82182,80102,1,261258,30242,28729,16109,13
1921382,28.66,49,101361,82740,81441,1,262587,29835,28730,16081,14
1922382,28.67,48.98,101361,83469,81469,1,269338,30385,28702,16070,15
1923382,28.67,48.95,101361,83714,80782,1,263121,30946,28720,16058,16
1924382,28.67,48.95,101361,83961,81966,1,264729,30283,28717,16028,17
1925382,28.67,48.91,101362,84377,82607,1,267612,30946,28717,16021,18
1926382,28.68,48.9,101361,84712,82356,1,266527,30427,28722,16007,19
1927392,28.68,48.88,101362,84628,83818,1,268247,30841,28697,15990,20
1928442,28.68,48.88,101362,84544,82663,1,272917,31591,28720,15973,22
1929492,28.68,48.87,101363,84880,82887,1,270801,30509,28738,15964,23
1930542,28.68,48.86,101362,84377,84587,1,272825,30571,28743,15945,24
1931592,28.69,48.87,101362,84965,83140,1,272271,31019,28688,15935,25
1932642,28.69,48.85,101362,84796,84131,1,276637,31453,28732,15920,26
1933692,28.69,48.85,101362,84880,84788,1,272456,30810,28701,15897,27
1934742,28.69,48.84,101363,84880,84045,1,275516,30727,28660,15895,28
1935792,28.7,48.82,101362,84544,85220,1,278704,30967,28649,15879,29
1936831,28.7,48.81,101362,85134,84587,1,278327,30519,28686,15864,30
1937381,28.75,48.81,101362,89043,84587,1,278327,30519,28678,15860,30
1938382,28.76,48.77,101362,87761,86968,1,279082,31103,28707,15853,31
1939382,28.76,48.74,101363,86956,84159,1,284807,32000,28685,15835,32
1940382,28.75,48.73,101363,87045,84960,1,281739,31114,28700,15821,33
1941382,28.75,48.74,101363,87045,85393,1,282599,30375,28684,15819,34
1942382,28.75,48.72,101362,86779,85595,1,283077,31082,28669,15814,35
1943382,28.76,48.73,101362,87045,87322,1,284326,31527,28702,15798,36
1944382,28.76,48.72,101363,87223,85248,1,286451,31061,28659,15793,37
1945382,28.76,48.7,101362,87134,86381,1,286257,31442,28659,15780,38
1946382,28.76,48.7,101362,86956,87204,1,282026,31019,28682,15767,39
1947382,28.76,48.69,101363,86956,86264,1,286451,31061,28629,15760,40
1948382,28.77,48.68,101363,87045,88303,1,288689,31040,28580,15757,41
1949432,28.77,48.72,101363,86691,87027,1,286354,31346,28566,15744,43
1950482,28.77,48.73,101363,86691,87381,1,287616,30737,28578,15736,44
1951532,28.76,48.74,101362,87223,88213,1,290060,30675,28570,15732,45
1952582,28.76,48.75,101362,86691,87056,1,292129,30800,28597,15718,46
1953632,28.76,48.73,101362,86515,88153,1,288494,31336,28624,15709,47
1954682,28.75,48.73,101363,86691,87027,1,288299,32033,28652,15705,48
1955732,28.75,48.75,101363,86868,87292,1,287909,30519,28667,15695,49
1956782,28.75,48.72,101363,86340,88213,1,291339,31262,28661,15695,50
1957832,28.75,48.72,101364,86779,87885,1,293517,30664,28700,15681,51
1958882,28.76,48.71,101363,86779,88993,1,290748,31283,28684,15681,52
1959921,28.76,48.7,101364,86603,87588,1,289178,31019,28627,15675,53
1960381,28.82,48.73,101364,91233,87588,1,289178,31019,28622,15671,53
1961382,28.83,48.67,101363,89604,88332,1,292129,30820,28632,15663,54
1962382,28.82,48.64,101362,88950,88602,1,294612,30779,28647,15657,55
1963382,28.82,48.64,101363,89043,86938,1,293517,30810,28625,15645,56
1964382,28.81,48.61,101363,88215,88602,1,294113,30706,28632,15648,57
1965382,28.81,48.61,101362,88489,87115,1,293914,31346,28672,15636,58
1966382,28.81,48.6,101362,88306,89234,1,294911,31262,28705,15635,59
1967382,28.81,48.59,101362,88489,88602,1,297115,31431,28672,15632,60
1968382,28.81,48.58,101362,88306,88213,1,296011,31124,28645,15630,61
1969382,28.81,48.59,101362,88397,89627,1,294113,31124,28586,15626,62
1970422,28.81,48.58,101362,88306,87559,1,297417,30988,28630,15619,64
1971472,28.81,48.58,101362,87851,88602,1,294412,31167,28592,15621,65
1972522,28.81,48.58,101362,87761,87440,1,291635,31019,28616,15605,66
1973572,28.81,48.58,101362,87401,87915,1,295111,30988,28630,15607,67
1974622,28.81,48.58,101362,87851,88842,1,299437,31103,28655,15594,68
1975672,28.81,48.58,101363,87134,88153,1,300859,31399,28640,15598,69
1976722,28.81,48.56,101363,87401,88812,1,297216,31219,28630,15596,70
1977772,28.81,48.56,101363,87761,89053,1,293517,31093,28641,15584,71
1978822,28.81,48.55,101363,87312,88902,1,300859,30967,28629,15579,72
1979872,28.81,48.56,101363,87401,89325,1,301369,31549,28577,15576,73
1980922,28.82,48.56,101363,87942,89083,1,299842,30540,28559,15574,74
1981972,28.82,48.57,101362,86868,89658,1,301063,30675,28588,15568,75
1983016,28.82,48.58,101362,87045,90084,1,301573,30977,28572,15567,76
1984070,28.82,48.56,101362,87581,88842,1,304032,31198,28614,15558,77
1985114,28.82,48.57,101363,87581,90757,1,299842,30914,28595,15562,78
1986168,28.82,48.55,101364,87401,89204,1,304753,30925,28641,15552,79
1987211,28.82,48.55,101362,87671,89234,1,301981,31135,28539,15550,80
1987633,28.9,48.58,101363,92119,89234,1,301981,31135,28538,15548,81
1988382,28.93,48.54,101363,92119,89567,1,302288,30478,28521,15549,81
1989382,28.92,48.48,101363,90747,90450,1,302288,30509,28521,15548,82
1990382,28.91,48.47,101363,90077,91652,1,305683,31230,28557,15540,83
1991412,28.9,48.46,101363,89604,88842,1,307863,30706,28578,15547,85
1992462,28.89,48.45,101363,89043,89113,1,300350,30946,28586,15540,86
1993512,28.88,48.44,101361,88581,89718,1,301165,30894,28547,15535,87
1994562,28.87,48.44,101361,88673,89962,1,306201,30956,28547,15528,88
1995612,28.87,48.45,101361,88673,90481,1,307759,31453,28539,15530,89
1996662,28.87,48.45,101361,88033,89931,1,306823,31188,28539,15530,90
1997712,28.86,48.46,101361,88215,89023,1,303313,30737,28553,15522,91
1998762,28.86,48.46,101361,88215,90603,1,306823,31272,28566,15519,92
1999812,28.86,48.45,101362,87581,88572,1,303415,30883,28555,15518,93
2000862,28.86,48.44,101362,87491,90695,1,305890,30946,28574,15514,94
2001912,28.85,48.45,101362,87581,89506,1,305476,31230,28577,15511,95
2002962,28.85,48.45,101362,88123,89355,1,304650,31019,28558,15514,96
2004006,28.85,48.45,101362,87851,88902,1,302493,30675,28509,15507,97
2005060,28.85,48.45,101361,87851,89658,1,307031,30550,28549,15509,98
2006104,28.85,48.42,101361,87491,90665,1,304857,30644,28568,15503,99
2007158,28.85,48.43,101360,87942,89446,1,305683,31145,28580,15495,100
2008201,28.85,48.45,101361,87671,89415,1,303929,30644,28576,15490,101
2008623,28.92,48.45,101362,92318,89415,1,303929,30644,28593,15495,102
2009382,28.94,48.43,101362,94377,89810,1,306201,31346,28579,15487,102
2010382,28.94,48.37,101362,91038,88332,1,302595,30602,28585,15492,103
2011382,28.93,48.37,101362,90267,90573,1,305270,31336,28546,15493,104
2012402,28.92,48.36,101362,89887,89083,1,307343,30355,28533,15481,106
2013452,28.91,48.36,101361,89136,90880,1,308176,30883,28507,15490,107
2014502,28.9,48.37,101360,88673,90023,1,307239,30852,28474,15486,108
2015552,28.89,48.39,101360,88673,89567,1,309535,30602,28515,15477,109
2016602,28.89,48.37,101359,88397,90818,1,307447,31357,28557,15477,110
