timestamp,BME688_TEMP,BME688_HUM,BME688_PRES,BME688_R,ENS160_R0,ENS160_R1,ENS160_R2,ENS160_R3,SGP41_VOC,SGP41_NOX,timestamp_s
1891734,28.95,48.05,101439,42652,31741,1,10190,9868,27200,16296,0
1892784,28.93,48.01,101438,49287,35782,1,11935,12081,27535,16225,1
1893834,28.93,47.93,101438,54584,38849,1,13368,13391,27683,16125,2
1894884,28.93,47.83,101437,58274,40817,1,14406,14169,27770,16049,3
1895934,28.93,47.76,101438,61112,42179,1,15306,14682,27825,15983,4
1896984,28.94,47.68,101438,63147,43059,1,15844,15070,27872,15930,5
1898034,28.94,47.64,101438,65173,43616,1,16180,15296,27926,15879,6
1899084,28.95,47.57,101438,66235,44316,1,16562,15368,27958,15821,7
1900134,28.96,47.52,101438,66963,44421,1,16879,15494,27984,15782,8
1901184,28.96,47.5,101438,67760,44813,1,17225,15833,27992,15740,9
1902234,28.97,47.47,101438,68632,45934,1,17419,16022,28031,15702,10
1903284,28.98,47.44,101437,69189,45903,1,17824,16290,28009,15666,11
1904334,28.98,47.41,101437,69754,46909,1,18073,16500,28012,15627,12
1905388,28.99,47.37,101437,69754,47500,1,18375,16624,28056,15596,13
1906431,28.99,47.37,101437,70445,47323,1,18444,16725,28027,15565,14
1906853,29.07,47.36,101438,74963,47323,1,18444,16725,28018,15542,15
1907713,29.08,47.32,101438,74181,47516,1,18867,17155,28041,15527,15
1908713,29.08,47.25,101438,73478,48261,1,19248,16902,28021,15495,16
1909713,29.07,47.22,101437,73352,48359,1,19352,17115,28049,15468,17
1910713,29.07,47.21,101437,73038,48803,1,19221,17109,28045,15447,18
1911713,29.06,47.2,101437,73669,48754,1,19267,17266,28062,15430,19
1912733,29.06,47.19,101436,73101,49201,1,19622,16959,28060,15396,20
1913712,29.06,47.19,101436,73478,49201,1,19622,16959,28060,15387,21
1914713,29.06,47.18,101437,73415,48754,1,19622,16993,28066,15373,22
1915713,29.07,47.18,101437,73605,49268,1,19816,17225,28050,15342,23
1916713,29.07,47.18,101437,73289,48704,1,19722,17196,28050,15327,24
1917713,29.07,47.16,101438,73478,48359,1,19483,16976,28030,15311,25
1918713,29.07,47.16,101437,73163,47596,1,19124,16669,28025,15293,26
1919713,29.07,47.16,101437,73226,47903,1,18944,16579,27995,15276,27
1920713,29.08,47.16,101437,73924,47677,1,18746,16545,28000,15262,28
1921713,29.08,47.15,101437,73669,47355,1,18664,16489,28022,15245,29
1922713,29.08,47.15,101437,73605,46624,1,18557,16267,28023,15234,30
1923713,29.08,47.12,101438,73988,46450,1,18400,16191,28013,15218,31
1924713,29.09,47.13,101438,74052,46153,1,18363,16098,28009,15210,32
1925713,29.09,47.12,101438,73732,46075,1,18147,16245,28025,15191,33
1926713,29.09,47.12,101438,73860,45779,1,18012,16098,28008,15196,34
1927713,29.09,47.1,101438,74245,46718,1,18024,15967,28023,15174,35
1928713,29.09,47.1,101438,73924,46893,1,18431,16114,28017,15167,36
1929713,29.1,47.1,101438,74310,47036,1,18538,16506,27995,15153,37
1930713,29.1,47.09,101439,73669,47952,1,19098,16936,27989,15144,38
1931713,29.1,47.07,101438,74375,48688,1,19457,16765,27967,15135,39
1932713,29.11,47.07,101438,73860,49102,1,19836,17531,27953,15132,40
1933744,29.11,47.06,101438,73669,50177,1,20032,17662,27929,15125,42
1934794,29.11,47.06,101438,73732,49687,1,20168,17419,27962,15109,43
1935844,29.11,47.05,101438,73732,50483,1,20616,17662,27965,15105,44
1936894,29.11,47.06,101439,73289,50912,1,20792,17626,27964,15089,45
1937944,29.11,47.05,101439,73924,50947,1,21032,17531,27964,15092,46
1938994,29.11,47.05,101439,73669,51711,1,21168,17776,27944,15085,47
1940044,29.12,47.06,101439,73605,51711,1,21161,17662,27952,15080,48
1941094,29.12,47.04,101438,73478,51362,1,21362,17710,27945,15075,49
1942144,29.12,47.03,101439,73669,51816,1,21175,17710,27932,15060,50
1943194,29.12,47.03,101439,73415,51729,1,21384,17764,27948,15059,51
1944244,29.12,47.02,101439,73860,52204,1,21384,17770,27916,15057,52
1945294,29.12,47,101439,73605,52062,1,21348,17818,27936,15043,53
1946348,29.13,47.01,101439,73796,51659,1,21551,17626,27978,15041,54
1947391,29.13,46.98,101439,73605,51519,1,21211,17776,27949,15033,55
1947813,29.2,47,101440,78551,51519,1,21211,17776,27942,15033,56
1948713,29.21,46.96,101440,76992,51362,1,21061,17770,27935,15027,56
1949713,29.2,46.92,101441,76099,51659,1,20961,17614,27930,15032,57
1950713,29.2,46.91,101439,75829,51362,1,21218,17383,27934,15020,58
1951713,29.19,46.9,101439,75560,51781,1,21089,17436,27942,15019,59
1952713,29.19,46.9,101439,75627,51293,1,21225,17377,28002,15014,60
1953713,29.18,46.91,101439,74766,51502,1,20933,17466,27954,15015,61
1954743,29.18,46.91,101439,74963,51519,1,21032,17213,27958,15010,63
1955712,29.18,46.91,101439,75560,51519,1,21032,17213,27944,15000,63
1956713,29.18,46.9,101439,75427,50706,1,20679,17313,27990,15002,64
1957713,29.19,46.91,101439,75029,51137,1,20975,17289,27972,15000,65
1958713,29.19,46.91,101439,74831,51554,1,21254,17348,27925,14994,66
1959713,29.19,46.91,101440,74897,51764,1,21290,17818,27919,14991,67
1960713,29.19,46.91,101439,75294,52186,1,21435,17704,27942,14991,68
1961713,29.19,46.91,101439,74700,51641,1,21617,17478,27947,14991,69
1962713,29.19,46.91,101439,74570,51206,1,21168,17632,27969,14989,70
1963713,29.2,46.91,101438,74375,50964,1,20862,17289,27949,14988,71
1964713,29.2,46.9,101438,75493,50500,1,20820,17383,27944,14986,72
1965713,29.2,46.89,101438,75161,50586,1,20933,17132,27936,14982,73
1966713,29.2,46.91,101439,74766,50466,1,20990,17161,27948,14967,74
1967713,29.2,46.88,101439,75294,49923,1,20568,17144,27920,14978,75
1968713,29.2,46.88,101440,75227,50177,1,20596,17080,27945,14975,76
1969713,29.21,46.87,101439,75227,49805,1,20429,17016,27928,14970,77
1970713,29.21,46.87,101439,75427,49335,1,20367,16748,27915,14971,78
1971713,29.21,46.87,101440,75095,49552,1,20236,16948,27918,14964,79
1972713,29.21,46.87,101439,75294,49737,1,20305,17028,27905,14963,80
1973713,29.22,46.85,101439,75294,50075,1,20346,17074,27898,14964,81
1974713,29.22,46.84,101439,75493,50058,1,20401,17219,27897,14956,82
1975754,29.22,46.84,101439,75161,50535,1,20450,17289,27896,14955,84
1976804,29.22,46.83,101438,74635,50569,1,20792,17424,27911,14957,85
1977854,29.22,46.82,101438,74766,50620,1,20785,17231,27913,14950,86
1978904,29.22,46.81,101438,75161,50878,1,20721,17272,27927,14958,87
1979954,29.22,46.81,101438,74897,51120,1,20947,17495,27914,14952,88
1981004,29.22,46.81,101439,74831,51310,1,21011,17272,27896,14943,89
1982054,29.22,46.8,101439,74963,50809,1,20792,17366,27913,14942,90
1983104,29.22,46.79,101439,74635,50964,1,21032,17448,27879,14945,91
1984153,29.22,46.8,101439,74700,51449,1,20883,17161,27887,14942,92
1984712,29.27,46.79,101439,77977,51449,1,20883,17161,27881,14942,92
1985713,29.27,46.76,101439,76577,51328,1,20841,17354,27859,14934,93
1986713,29.27,46.75,101439,75896,51729,1,21146,17478,27884,14939,94
1987713,29.26,46.72,101439,75493,51659,1,21075,17354,27867,14938,95
1988713,29.26,46.7,101439,75493,51206,1,21333,17313,27871,14936,96
1989713,29.26,46.71,101440,75627,51536,1,21218,17213,27883,14936,97
1990713,29.25,46.7,101440,75427,51851,1,21312,17395,27907,14933,98
1991713,29.25,46.69,101439,75627,51659,1,21240,17644,27876,14933,99
1992713,29.25,46.7,101438,75694,51467,1,21522,17360,27902,14930,100
1993713,29.25,46.69,101439,75560,50245,1,21189,17138,27910,14921,101
1994713,29.26,46.68,101439,75627,49653,1,20332,16697,27917,14932,102
1995713,29.26,46.68,101438,75829,49068,1,20039,16467,27905,14916,103
1996764,29.26,46.68,101438,74897,49268,1,19662,16461,27884,14918,105
1997814,29.26,46.67,101438,74440,48886,1,19576,16273,27901,14914,106
1998864,29.26,46.68,101438,74310,49838,1,19836,16686,27876,14918,107
1999914,29.26,46.69,101438,73988,49653,1,20154,16833,27908,14920,108
2000964,29.26,46.69,101438,74116,50672,1,20319,16754,27891,14923,109
2002014,29.26,46.67,101439,74116,50672,1,20785,17115,27904,14914,110
2003064,29.27,46.68,101439,74181,51189,1,20933,17272,27876,14914,111
2004114,29.27,46.67,101438,74245,51206,1,21442,17424,27846,14919,112
2005164,29.27,46.67,101438,74181,52434,1,21595,17489,27855,14920,113
2006214,29.27,46.67,101437,74116,51293,1,21734,17454,27843,14913,114
2007264,29.27,46.65,101437,74635,51068,1,21384,17424,27854,14907,115
2008314,29.27,46.66,101438,74310,51694,1,21118,17115,27883,14909,116
2009368,29.27,46.67,101438,74245,50999,1,21240,16902,27869,14913,117
