timestamp,BME688_TEMP,BME688_HUM,BME688_PRES,BME688_R,ENS160_R0,ENS160_R1,ENS160_R2,ENS160_R3,SGP41_VOC,SGP41_NOX,timestamp_s
2252506,28.41,51.03,101342,17862,20855,1,7162,6720,26776,17025,0
2253545,28.31,50.98,101342,23831,24098,1,8554,8612,27099,16987,1
2254494,28.25,50.89,101341,29788,24098,1,8554,8612,27220,16900,1
2255495,28.21,50.77,101341,35135,26306,1,9562,9948,27365,16837,2
2256495,28.18,50.68,101340,40012,28110,1,10530,10772,27414,16781,3
2257495,28.17,50.6,101340,44244,29384,1,11468,11386,27461,16736,4
2258495,28.16,50.52,101339,48864,30935,1,12312,12267,27513,16683,5
2259495,28.15,50.47,101341,52405,32207,1,13059,12962,27536,16645,6
2260495,28.15,50.43,101341,55363,33406,1,13786,13382,27569,16602,7
2261495,28.15,50.4,101342,57566,34334,1,14627,13833,27627,16575,8
2262495,28.15,50.36,101342,59785,35289,1,15239,14416,27623,16537,9
2263495,28.15,50.33,101341,62000,36171,1,15908,14622,27659,16505,10
2264495,28.16,50.29,101342,63429,36901,1,16267,15039,27697,16481,11
2265495,28.16,50.28,101342,64337,37645,1,16720,15265,27709,16448,12
2266495,28.17,50.25,101342,65928,38249,1,17243,15347,27726,16427,13
2267495,28.17,50.22,101341,67068,38301,1,17336,15405,27696,16402,14
2268495,28.18,50.18,101341,68139,38796,1,17531,15631,27737,16372,15
2269495,28.18,50.13,101342,69133,39726,1,17776,15588,27735,16348,16
2270495,28.19,50.1,101342,69640,40132,1,18177,15811,27729,16325,17
2271495,28.19,50.07,101341,70445,40350,1,18664,16136,27742,16304,18
2272495,28.2,50.05,101341,70973,40295,1,18771,16301,27766,16276,19
2273495,28.2,50.01,101341,70973,40200,1,18689,15946,27781,16257,20
2274495,28.21,49.99,101340,71448,40118,1,18338,15795,27773,16246,21
2275495,28.22,49.98,101340,71748,40091,1,18301,15822,27799,16226,22
2276495,28.22,49.95,101339,72173,40418,1,18626,16098,27814,16203,23
2277526,28.22,49.92,101339,72418,39767,1,18313,15726,27812,16192,25
2278566,28.23,49.93,101340,72727,39378,1,17976,15588,27800,16178,26
2279606,28.23,49.9,101340,72789,39232,1,17939,15483,27844,16165,27
2280645,28.23,49.9,101341,72913,39126,1,17489,15462,27813,16152,28
2281494,28.25,49.88,101341,74831,39126,1,17489,15462,27800,16144,28
2282495,28.26,49.87,101342,74505,38836,1,17596,15515,27854,16126,29
2283495,28.26,49.83,101343,74245,38561,1,17120,15198,27792,16111,30
2284495,28.26,49.82,101342,74505,38496,1,17040,15234,27829,16104,31
2285495,28.27,49.8,101342,74245,38548,1,16810,15249,27869,16096,32
2286495,28.27,49.78,101342,74181,38145,1,16579,15008,27821,16082,33
2287495,28.28,49.77,101341,74310,38262,1,16624,15014,27812,16073,34
2288495,28.29,49.76,101341,74181,38210,1,16827,15136,27817,16063,35
2289495,28.29,49.74,101341,74375,38652,1,16976,15223,27828,16054,36
2290495,28.3,49.74,101341,74766,38574,1,17028,15259,27814,16045,37
2291495,28.3,49.71,101341,74897,38902,1,16976,15405,27801,16034,38
2292495,28.31,49.72,101341,75896,39245,1,17354,15562,27788,16031,39
2293495,28.31,49.71,101341,75694,39834,1,17561,15699,27808,16023,40
2294495,28.31,49.71,101341,76235,39405,1,17927,15940,27766,16013,41
2295495,28.32,49.71,101341,77131,40268,1,18171,15978,27779,16004,42
2296495,28.32,49.69,101341,77552,40350,1,18351,16049,27813,15999,43
2297495,28.33,49.69,101342,77411,39969,1,18626,16136,27801,15995,44
2298495,28.33,49.68,101342,77977,40528,1,18632,16070,27776,15986,45
2299495,28.33,49.68,101342,77622,40186,1,18557,16005,27783,15983,46
2300495,28.34,49.67,101342,78048,40418,1,18469,16218,27815,15971,47
2301506,28.34,49.65,101341,77693,39632,1,17969,16125,27832,15977,49
