timestamp,BME688_TEMP,BME688_HUM,BME688_PRES,BME688_R,ENS160_R0,ENS160_R1,ENS160_R2,ENS160_R3,SGP41_VOC,SGP41_NOX,timestamp_s
2249828,28.73,50.88,101275,23079,25224,1,12702,6816,27217,16317,0
2250878,28.63,50.83,101275,27520,29107,1,15285,8882,27582,16259,1
2251928,28.56,50.74,101275,32024,31293,1,17144,10207,27802,16193,2
2252967,28.52,50.65,101275,36178,33530,1,18727,11075,27880,16136,3
2253806,28.5,50.57,101274,40314,33530,1,18727,11075,27946,16105,3
2254807,28.49,50.48,101274,43567,35253,1,20264,11838,28023,16075,4
2255807,28.48,50.4,101274,46059,36306,1,21507,12540,28072,16054,5
2256807,28.47,50.33,101274,48976,37926,1,22820,12866,28091,16032,6
2257807,28.47,50.31,101274,51148,38613,1,23806,13454,28136,16009,7
2258807,28.47,50.26,101274,53123,39325,1,24517,13628,28170,15991,8
2259807,28.47,50.22,101273,54829,39485,1,25318,13772,28214,15975,9
2260807,28.47,50.19,101273,56239,40323,1,25525,13559,28200,15957,10
2261807,28.48,50.16,101273,57142,40596,1,25646,13819,28216,15935,11
2262807,28.48,50.14,101273,58155,40734,1,25934,13861,28268,15921,12
2263807,28.49,50.11,101274,58796,40914,1,25917,13735,28279,15918,13
2264807,28.49,50.08,101274,59827,41668,1,26556,13880,28239,15889,14
2265807,28.5,50.04,101274,60249,41795,1,26872,14102,28289,15883,15
2266807,28.51,50.01,101274,61200,42595,1,27666,14319,28249,15872,16
2267807,28.51,49.99,101273,61731,43059,1,27722,14538,28273,15858,17
2268807,28.52,49.97,101273,62545,43234,1,28503,14558,28266,15847,18
2269807,28.52,49.96,101273,63054,43278,1,28387,14617,28290,15832,19
2270807,28.52,49.93,101272,63288,43469,1,28387,14333,28294,15824,20
2271848,28.52,49.92,101273,63429,43469,1,28930,14792,28288,15810,22
2272898,28.52,49.91,101272,63760,44106,1,28989,14862,28266,15807,23
2273937,28.53,49.9,101272,64048,44017,1,29544,14852,28312,15788,24
2274806,28.54,49.89,101272,65173,44017,1,29544,14852,28293,15783,24
2275807,28.55,49.87,101273,65523,44226,1,29524,14988,28297,15771,25
2276807,28.55,49.85,101274,65372,44136,1,29474,15054,28313,15760,26
2277807,28.56,49.83,101273,65826,44241,1,29734,14787,28288,15754,27
2278807,28.56,49.81,101273,65979,44753,1,29225,14762,28309,15748,28
2279807,28.56,49.8,101274,66030,44707,1,30038,14847,28269,15736,29
2280807,28.57,49.79,101274,66338,45578,1,30048,15213,28331,15720,30
2281807,28.57,49.78,101274,66597,45547,1,30385,15249,28280,15712,31
2282807,28.58,49.78,101274,66649,45240,1,30602,15337,28281,15705,32
2283807,28.58,49.76,101274,66805,45640,1,30561,15259,28296,15698,33
2284807,28.59,49.71,101274,67439,44829,1,30396,15301,28307,15690,34
2285807,28.59,49.71,101273,66753,45594,1,30737,15126,28309,15684,35
2286807,28.59,49.71,101272,67173,45255,1,30468,15311,28285,15682,36
2287807,28.6,49.69,101272,67492,45271,1,30592,15177,28313,15672,37
2288807,28.6,49.69,101273,67492,45255,1,30129,14988,28306,15663,38
2289807,28.61,49.68,101272,67226,44256,1,30028,15085,28307,15656,39
2290807,28.61,49.67,101273,68085,44738,1,29724,14702,28303,15644,40
2291807,28.62,49.67,101273,67976,44076,1,29176,14712,28301,15642,41
2292818,28.62,49.65,101273,67922,44996,1,29255,14712,28302,15634,42
2293868,28.62,49.65,101274,67922,44481,1,29624,14852,28273,15632,44
2294918,28.62,49.65,101274,67706,44121,1,29785,15085,28294,15622,45
2295957,28.63,49.63,101275,68030,45072,1,29764,14892,28290,15621,46
2296806,28.64,49.62,101275,68909,45072,1,29764,14892,28293,15609,46
2297807,28.65,49.61,101274,68854,44768,1,30038,14953,28294,15609,47
2298807,28.65,49.6,101274,68412,44813,1,30355,15116,28305,15603,48
2299807,28.65,49.59,101274,68687,45240,1,30242,15039,28269,15603,49
2300807,28.66,49.58,101274,68854,45363,1,30675,15151,28288,15590,50
2301807,28.66,49.55,101274,68577,45225,1,30303,15131,28247,15582,51
2302807,28.66,49.56,101274,69077,45179,1,30303,15405,28274,15581,52
2303807,28.66,49.54,101274,68965,45686,1,31082,15410,28291,15576,53
2304807,28.67,49.52,101273,69021,45950,1,31527,15415,28281,15572,54
2305807,28.67,49.53,101274,68965,45440,1,31463,15249,28271,15570,55
2306807,28.67,49.52,101274,69414,46200,1,31093,15034,28290,15570,56
2307807,28.67,49.53,101274,69189,45179,1,30685,15141,28257,15558,57
2308807,28.68,49.51,101274,69301,45087,1,30841,15208,28284,15560,58
2309807,28.68,49.51,101274,69357,45810,1,30946,15208,28269,15554,59
2310807,28.68,49.49,101274,69301,46403,1,31591,15572,28279,15549,60
2311807,28.68,49.5,101274,69189,47275,1,32109,15903,28277,15544,61
2312807,28.69,49.49,101274,69301,46861,1,32790,15795,28280,15540,62
