timestamp,BME688_TEMP,BME688_HUM,BME688_PRES,BME688_R,ENS160_R0,ENS160_R1,ENS160_R2,ENS160_R3,SGP41_VOC,SGP41_NOX,timestamp_s
1072432,28.27,50.07,101255,68743,68114,1,88243,24492,27403,16027,0
1073432,28.25,50.04,101255,73289,50262,1,66631,15865,27801,16049,1
1074432,28.25,49.98,101255,76784,53401,1,70054,18055,28066,15989,2
1075432,28.25,49.9,101256,78914,55034,1,74027,19543,28224,15959,3
1076432,28.26,49.83,101256,81244,55935,1,75597,20561,28371,15937,4
1077432,28.27,49.75,101256,83306,58077,1,77567,21333,28487,15918,5
1078432,28.27,49.69,101256,84628,58848,1,78837,21742,28572,15909,6
1079432,28.28,49.64,101257,85992,59751,1,79212,22376,28659,15894,7
1080432,28.29,49.6,101257,87312,60361,1,81276,22505,28733,15882,8
1081432,28.3,49.55,101257,88489,60895,1,80400,22944,28765,15871,9
1082432,28.3,49.52,101256,89416,61558,1,83506,23534,28846,15864,10
1083432,28.31,49.5,101256,90747,62039,1,81911,23774,28895,15855,11
1084432,28.31,49.45,101256,91135,62736,1,82523,23693,28914,15847,12
1085432,28.32,49.43,101256,91330,63076,1,83281,24081,28948,15830,13
1086432,28.32,49.42,101257,92418,63979,1,84188,24098,28998,15825,14
1087432,28.33,49.39,101257,93858,63612,1,85335,23887,29019,15826,15
1088432,28.34,49.39,101257,94797,63634,1,85076,24147,29005,15820,16
1089432,28.34,49.36,101257,94902,64458,1,84903,24459,29067,15801,17
1090432,28.34,49.32,101257,95970,64392,1,86791,24147,29060,15793,18
1091472,28.35,49.32,101256,95862,65027,1,85711,24319,29057,15792,19
1092521,28.35,49.3,101257,96458,65558,1,87174,24634,29106,15777,20
1093431,28.36,49.29,101258,97282,65558,1,87174,24634,29134,15780,20
1094432,28.36,49.29,101257,97616,65270,1,87233,24843,29118,15772,22
1095432,28.37,49.27,101256,97952,65735,1,87263,24509,29147,15764,23
1096432,28.37,49.27,101257,98121,66182,1,87974,24684,29138,15762,24
1097432,28.37,49.26,101256,98860,66092,1,88243,24826,29153,15754,25
1098432,28.38,49.26,101257,99263,66857,1,89446,24995,29153,15748,26
1099432,28.38,49.25,101257,99090,66631,1,89658,24784,29157,15743,27
1100432,28.38,49.23,101258,99032,66857,1,89597,25029,29215,15738,28
1101432,28.38,49.21,101257,100372,66339,1,89567,24970,29178,15740,29
1102432,28.38,49.2,101256,100490,67175,1,89718,25190,29193,15728,30
1103432,28.39,49.19,101256,101386,67243,1,91188,25301,29206,15720,31
1104432,28.39,49.18,101255,101567,67061,1,90542,25088,29194,15713,32
1105432,28.39,49.18,101255,101870,67425,1,90603,25046,29185,15711,33
1106432,28.39,49.18,101255,101931,68067,1,92056,25063,29155,15701,34
1107432,28.4,49.18,101256,101325,68252,1,91497,25336,29200,15696,35
1108432,28.4,49.16,101256,102666,68344,1,92400,25037,29165,15701,36
1109432,28.4,49.15,101256,102666,68252,1,92525,25148,29185,15693,37
1110482,28.4,49.14,101256,102728,69346,1,92181,25499,29177,15680,38
1111542,28.4,49.14,101256,102359,68855,1,94072,25456,29148,15676,39
1112591,28.4,49.13,101257,103225,69346,1,93122,25370,29190,15677,40
1113431,28.41,49.14,101257,104939,69346,1,93122,25370,29188,15675,40
1114432,28.41,49.12,101257,104617,69912,1,94936,25353,29188,15666,42
1115432,28.41,49.1,101257,104810,68972,1,92996,25396,29180,15655,43
1116432,28.41,49.09,101258,105393,69511,1,93406,25439,29179,15657,44
1117432,28.41,49.1,101258,105263,68995,1,95290,25224,29220,15648,45
1118432,28.41,49.07,101258,105654,69747,1,94455,25707,29202,15645,46
1119432,28.42,49.07,101258,105850,69676,1,95322,25473,29230,15643,47
1120432,28.42,49.07,101257,106113,69912,1,95322,25620,29192,15639,48
1121432,28.42,49.07,101257,106048,69817,1,94519,25310,29198,15630,49
1122432,28.42,49.05,101257,106444,70196,1,95354,25603,29211,15633,50
1123432,28.43,49.04,101257,106711,70387,1,95451,25681,29203,15621,51
1124432,28.43,49.04,101257,106978,70030,1,97475,25629,29217,15621,52
1125432,28.43,49.03,101257,107112,70078,1,96458,25603,29233,15619,53
1126432,28.44,49.01,101257,107721,70125,1,96164,25284,29257,15612,54
1127432,28.44,49.01,101257,107857,70578,1,97212,25768,29240,15608,55
1128442,28.44,49.01,101258,108130,70578,1,96197,25794,29239,15610,56
1129491,28.44,49.01,101257,107857,71057,1,97244,25768,29218,15598,57
1130431,28.44,49.02,101257,108336,71057,1,97244,25768,29261,15600,57
1131432,28.44,48.99,101258,108543,71564,1,97014,25864,29226,15595,59
1132432,28.45,48.99,101258,109238,71298,1,97640,25611,29235,15586,60
1133432,28.45,48.99,101258,109308,70817,1,99273,25568,29245,15589,61
1134432,28.45,48.98,101258,110297,71274,1,98871,25812,29259,15587,62
1135432,28.45,48.99,101258,109942,71977,1,99139,25707,29251,15580,63
1136432,28.45,48.97,101257,110154,70649,1,98737,25864,29249,15576,64
1137432,28.46,48.96,101257,110440,72245,1,98804,25812,29225,15577,65
1138432,28.46,48.95,101256,110368,71491,1,99880,25629,29249,15572,66
1139432,28.46,48.96,101256,110511,71806,1,98270,25908,29243,15575,67
1140432,28.47,48.97,101256,110440,72050,1,99307,25724,29245,15566,68
1141432,28.48,48.97,101256,110440,72099,1,100049,25908,29254,15567,69
1142432,28.49,48.96,101257,111231,72221,1,100117,25978,29237,15558,70
1143432,28.5,48.96,101257,111449,71758,1,100831,26119,29246,15558,71
