timestamp,BME688_TEMP,BME688_HUM,BME688_PRES,BME688_R,ENS160_R0,ENS160_R1,ENS160_R2,ENS160_R3,SGP41_VOC,SGP41_NOX,timestamp_s
1076556,28.34,49.46,101338,46766,55464,1,115527,26404,27834,16201,0
1077606,28.3,49.43,101338,51926,59048,1,121666,28940,28251,16189,1
1078656,28.28,49.35,101338,55113,61475,1,125006,30406,28496,16135,2
1079706,28.28,49.28,101338,57489,63419,1,128046,32120,28693,16100,3
1080756,28.27,49.21,101338,59204,65049,1,131872,33012,28851,16073,4
1081795,28.27,49.14,101338,60764,66903,1,133444,34661,28949,16061,5
1082534,28.3,49.09,101338,62914,66903,1,133444,34661,29028,16046,5
1083535,28.31,49.02,101338,63952,66993,1,137758,35588,29096,16033,6
1084535,28.31,48.96,101338,64386,67562,1,138131,34638,29157,16027,7
1085535,28.32,48.91,101338,65173,68067,1,141299,35745,29200,16016,8
1086535,28.32,48.88,101338,66030,68972,1,141778,35456,29275,16011,9
1087535,28.32,48.83,101338,66701,69323,1,144344,36319,29331,15997,10
1088535,28.33,48.82,101339,67332,69794,1,144834,35709,29341,15997,11
1089535,28.33,48.81,101339,67599,70292,1,147256,36466,29352,15988,12
1090535,28.33,48.78,101338,67814,71782,1,147605,36355,29438,15980,13
1091535,28.34,48.77,101339,68467,71467,1,150735,37379,29399,15981,14
1092535,28.34,48.76,101339,69189,72074,1,149820,37152,29407,15973,15
1093535,28.35,48.73,101340,69357,72001,1,151810,37064,29428,15967,16
1094535,28.35,48.71,101340,69811,72196,1,152531,37139,29434,15963,17
1095535,28.36,48.69,101339,70041,73007,1,156347,37328,29478,15951,18
1096535,28.36,48.68,101339,70503,73106,1,156135,37013,29511,15949,19
1097534,28.37,48.64,101340,71091,73255,1,155555,37442,29500,15944,20
1098534,28.37,48.63,101340,71032,73255,1,155555,37442,29475,15939,21
1099535,28.37,48.62,101340,71448,72417,1,157302,38055,29473,15938,22
1100535,28.38,48.6,101340,71568,73478,1,156294,37493,29480,15924,23
1101535,28.38,48.6,101340,72051,74707,1,159824,37632,29523,15921,24
1102535,28.38,48.59,101339,72418,73877,1,158585,38301,29508,15917,25
1103535,28.38,48.59,101340,72418,75240,1,159608,37888,29513,15913,26
1104535,28.39,48.59,101339,72295,73354,1,162552,38430,29556,15900,27
1105535,28.39,48.57,101340,72976,73927,1,161346,38236,29514,15910,28
1106535,28.39,48.56,101340,73289,75393,1,163103,38561,29526,15904,29
1107535,28.4,48.57,101340,73415,74480,1,165606,38016,29544,15895,30
1108535,28.4,48.55,101340,73732,76265,1,165718,38836,29571,15891,31
1109535,28.4,48.54,101340,74116,74859,1,166562,39206,29571,15885,32
1110535,28.41,48.53,101340,73988,75367,1,165214,38522,29551,15873,33
1111535,28.41,48.53,101340,74375,76602,1,165606,38482,29537,15873,34
1112535,28.41,48.51,101340,74570,76395,1,167750,38613,29600,15871,35
1113535,28.42,48.51,101341,74963,77253,1,168034,38249,29597,15864,36
1114535,28.42,48.5,101341,75095,75879,1,168775,38770,29577,15863,37
1115535,28.42,48.48,101341,75095,76472,1,170786,39033,29598,15851,38
1116535,28.42,48.47,101342,75627,77436,1,169175,38391,29619,15852,39
1117535,28.42,48.48,101342,75627,76420,1,172237,38158,29615,15844,40
1118535,28.42,48.46,101341,75829,77672,1,171191,38522,29581,15837,41
1119576,28.42,48.46,101342,75829,75982,1,171307,39073,29594,15833,43
1120626,28.42,48.46,101341,76235,76809,1,172646,39458,29606,15838,44
1121676,28.42,48.48,101341,75896,77672,1,171481,38443,29644,15829,45
1122715,28.42,48.46,101341,76167,76992,1,174054,38652,29597,15823,46
1123534,28.44,48.47,101340,77201,76992,1,174054,38652,29574,15824,46
1124535,28.44,48.45,101341,77271,77410,1,178106,38770,29641,15812,47
1125535,28.45,48.42,101341,77552,77436,1,175652,39458,29628,15815,48
