timestamp,BME688_TEMP,BME688_HUM,BME688_PRES,BME688_R,ENS160_R0,ENS160_R1,ENS160_R2,ENS160_R3,SGP41_VOC,SGP41_NOX,timestamp_s
2488247,28.76,50.87,101272,45373,92807,1,154140,19662,26882,16208,0
2489247,28.66,50.83,101272,50423,50075,1,81029,8647,27268,16195,1
2490247,28.6,50.73,101272,55471,55577,1,89931,10728,27441,16114,2
2491247,28.56,50.64,101273,60249,60137,1,94231,11963,27540,16076,3
2492247,28.53,50.54,101273,64974,62376,1,99139,12927,27657,16038,4
2493247,28.51,50.46,101273,68798,63226,1,101412,13675,27699,15999,5
2494247,28.5,50.4,101272,72727,66609,1,104478,14285,27752,15975,6
2495247,28.5,50.32,101272,76372,68785,1,107419,14812,27790,15951,7
2496247,28.5,50.26,101272,79134,69794,1,110404,15208,27829,15929,8
2497247,28.5,50.22,101272,82182,70149,1,111871,15652,27857,15897,9
2498247,28.5,50.16,101272,84377,72515,1,115175,15849,27876,15880,10
2499247,28.5,50.13,101271,86779,73827,1,114864,16016,27894,15860,11
2500247,28.51,50.1,101272,89229,74304,1,116706,16301,27946,15847,12
2501247,28.51,50.06,101272,90844,73977,1,119382,16256,27959,15830,13
2502247,28.52,50.03,101273,92518,74530,1,119746,16788,27951,15810,14
2503247,28.52,50.02,101273,95326,75597,1,122369,16573,27955,15793,15
2504247,28.53,49.99,101271,96512,78094,1,122659,17086,27982,15776,16
2505247,28.54,49.97,101271,97840,77909,1,123576,17213,28004,15762,17
2506247,28.54,49.93,101271,98860,78412,1,125472,17313,28011,15744,18
2507287,28.54,49.93,101272,99960,79804,1,125260,17513,28018,15729,19
2508246,28.55,49.92,101272,101265,79804,1,125260,17513,27988,15718,19
2509247,28.56,49.9,101272,102114,79777,1,129703,17573,28013,15703,21
2510247,28.57,49.88,101272,103038,80400,1,129528,17424,28019,15697,22
2511247,28.57,49.88,101273,103538,80591,1,129222,17644,28019,15684,23
2512247,28.58,49.85,101273,104425,80673,1,130983,17722,28026,15668,24
2513247,28.58,49.84,101273,105068,80837,1,130806,17915,28006,15657,25
2514247,28.59,49.83,101272,105850,81966,1,132006,17969,28028,15648,26
2515247,28.59,49.81,101272,106180,81331,1,131249,17854,27998,15636,27
2516247,28.59,49.81,101272,106444,82161,1,133579,17969,28005,15631,28
2517247,28.6,49.79,101272,107180,83224,1,133489,18030,27993,15619,29
2518247,28.6,49.78,101272,108199,82523,1,134396,17976,28022,15617,30
2519247,28.61,49.78,101271,108474,82971,1,136504,18159,28004,15596,31
2520247,28.61,49.77,101272,108405,82216,1,135034,17969,27996,15595,32
2521247,28.62,49.74,101272,108820,83960,1,137106,18159,28014,15584,33
2522247,28.62,49.74,101272,109098,84245,1,135675,18171,28046,15568,34
2523247,28.63,49.72,101272,109871,84359,1,137060,18289,28045,15568,35
2524247,28.63,49.72,101272,110297,84530,1,137060,18043,28049,15564,36
2525246,28.64,49.7,101272,110297,85076,1,136689,18400,28021,15553,36
2526246,28.64,49.69,101272,110368,85076,1,136689,18400,28043,15548,37
2527247,28.64,49.67,101274,111014,84530,1,138693,18620,28029,15543,39
2528247,28.65,49.65,101273,111231,84845,1,139258,18513,28030,15535,40
2529247,28.65,49.64,101273,111595,85248,1,137478,18664,28043,15528,41
2530247,28.66,49.65,101273,111668,85915,1,141156,18301,28018,15522,42
2531247,28.66,49.65,101272,112108,86002,1,137944,18525,27986,15519,43
2532247,28.67,49.65,101272,111961,86557,1,141395,18689,27987,15506,44
2533247,28.67,49.65,101272,112478,86850,1,141778,18626,28005,15497,45
2534247,28.67,49.64,101271,112626,86323,1,140061,18746,28006,15500,46
2535247,28.68,49.63,101272,113374,86791,1,142403,18899,27963,15487,47
2536247,28.68,49.62,101271,113450,86557,1,142596,18759,27994,15484,48
2537247,28.68,49.6,101271,113601,86909,1,142838,18841,27997,15482,49
2538247,28.69,49.61,101272,113828,87322,1,142355,18645,28005,15476,50
2539247,28.69,49.58,101272,113525,87056,1,144003,18759,28007,15471,51
2540247,28.69,49.57,101271,113676,87204,1,143954,18873,27993,15469,52
2541247,28.7,49.57,101271,114209,87440,1,143759,18976,27996,15463,53
2542247,28.71,49.57,101271,113904,88722,1,145079,19267,28003,15455,54
2543247,28.71,49.57,101271,114285,86909,1,144883,19234,28010,15456,55
2544268,28.71,49.55,101272,114209,87974,1,145177,19118,28003,15454,56
2545317,28.71,49.55,101272,114132,87677,1,147256,19176,28030,15449,57
2546246,28.72,49.53,101271,114901,87677,1,147256,19176,27994,15446,57
2547247,28.72,49.53,101271,114746,88722,1,145620,19150,27997,15438,59
2548247,28.72,49.53,101270,114515,88362,1,146411,19137,28006,15438,60
2549247,28.72,49.49,101271,115211,87440,1,146411,19040,28014,15430,61
2550247,28.73,49.49,101271,115367,87945,1,146114,19189,28006,15428,62
2551247,28.73,49.49,101270,115367,87974,1,146659,19169,27979,15429,63
2552247,28.73,49.48,101269,115837,87855,1,145867,19131,28053,15429,64
2553247,28.73,49.48,101269,115680,87855,1,146510,18905,28028,15420,65
2554247,28.73,49.47,101270,115915,87499,1,146411,18588,28003,15417,66
2555247,28.74,49.46,101270,115523,88963,1,147855,19008,27980,15407,67
2556247,28.75,49.47,101270,116073,88303,1,146659,19047,27997,15408,68
2557247,28.75,49.46,101270,116073,87945,1,146560,19027,28012,15408,69
2558247,28.75,49.45,101269,116310,88542,1,148708,19105,27980,15406,70
2559247,28.76,49.43,101269,115601,88362,1,146808,19241,28030,15408,71
2560247,28.76,49.42,101270,115837,88842,1,146560,18816,28006,15396,72
