timestamp,BME688_TEMP,BME688_HUM,BME688_PRES,BME688_R,ENS160_R0,ENS160_R1,ENS160_R2,ENS160_R3,SGP41_VOC,SGP41_NOX,timestamp_s
2475349,28.97,49.69,101425,22214,38561,1,22589,16793,26705,16589,0
2476349,28.85,49.64,101426,29622,19709,1,8225,6338,27066,16557,1
2477349,28.78,49.54,101426,36676,22820,1,9650,8289,27240,16463,2
2478349,28.74,49.44,101427,42996,24609,1,10692,9420,27377,16379,3
2479349,28.71,49.35,101427,49631,25742,1,11475,10242,27463,16320,4
2480349,28.69,49.26,101426,55077,27239,1,12506,10764,27561,16260,5
2481349,28.68,49.19,101426,59286,28167,1,13121,11487,27611,16204,6
2482349,28.68,49.13,101426,63665,28648,1,13772,12008,27657,16158,7
2483349,28.68,49.08,101426,66649,29977,1,14534,12741,27648,16117,8
2484349,28.68,49.02,101426,69470,30313,1,14953,12936,27710,16074,9
2485349,28.68,48.99,101426,71869,31019,1,15525,13148,27728,16031,10
2486349,28.69,48.94,101426,73796,31613,1,15919,13615,27712,15996,11
2487349,28.7,48.9,101427,76304,31968,1,16301,13601,27799,15974,12
2488349,28.71,48.87,101427,78191,32360,1,16545,14121,27798,15940,13
2489349,28.72,48.84,101427,78624,32646,1,17080,14484,27759,15907,14
2490349,28.73,48.81,101427,80629,32968,1,17196,14445,27803,15891,15
2491349,28.73,48.78,101427,81946,33474,1,17549,14484,27807,15859,16
2492349,28.74,48.75,101427,82740,33147,1,17897,14657,27856,15841,17
2493349,28.75,48.74,101426,82660,33964,1,17927,14534,27827,15822,18
2494369,28.76,48.71,101426,83550,33873,1,17903,14489,27851,15798,19
2495348,28.77,48.69,101426,85561,33873,1,17903,14489,27826,15781,19
2496349,28.78,48.67,101426,85561,33758,1,17788,14637,27814,15756,21
2497349,28.79,48.65,101426,86166,34544,1,18184,14772,27840,15745,22
2498349,28.8,48.63,101426,85475,33918,1,18208,14627,27850,15725,23
2499349,28.8,48.59,101427,87401,34826,1,18469,15014,27858,15716,24
2500349,28.81,48.58,101427,87581,34696,1,18683,15167,27883,15702,25
2501349,28.82,48.56,101426,88489,35146,1,18969,14993,27889,15680,26
2502349,28.82,48.54,101426,88950,34673,1,18632,15085,27848,15674,27
2503349,28.83,48.51,101427,89229,34838,1,18957,14973,27878,15664,28
2504349,28.84,48.51,101427,89698,35312,1,18899,15218,27861,15654,29
2505349,28.85,48.5,101427,90077,35964,1,18771,15192,27918,15638,30
2506349,28.85,48.48,101427,89982,34979,1,18867,14973,27891,15633,31
2507349,28.86,48.47,101428,89698,34732,1,18854,14902,27886,15620,32
2508349,28.87,48.44,101428,90459,34968,1,18721,14932,27844,15621,33
2509349,28.87,48.45,101428,89887,34979,1,18784,15085,27853,15607,34
2510349,28.88,48.43,101428,91428,35384,1,19034,14943,27878,15598,35
2511349,28.89,48.42,101428,91135,35348,1,18867,14973,27842,15588,36
2512349,28.89,48.39,101428,92020,35015,1,18759,15049,27854,15587,37
2513369,28.9,48.39,101428,92219,35420,1,18880,15105,27856,15571,38
2514348,28.9,48.37,101429,92318,35420,1,18880,15105,27885,15576,38
2515349,28.91,48.36,101428,94117,35229,1,18848,14998,27864,15571,40
2516349,28.91,48.36,101428,94325,35074,1,18810,15177,27866,15560,41
2517349,28.91,48.35,101428,91723,35745,1,19053,15363,27835,15557,42
2518349,28.92,48.33,101428,94013,35301,1,19345,15420,27846,15544,43
2519349,28.92,48.31,101428,95167,36208,1,19385,15467,27850,15543,44
2520349,28.93,48.3,101428,94849,35939,1,19516,15467,27840,15532,45
2521349,28.93,48.28,101428,95008,35456,1,19682,15599,27876,15528,46
2522349,28.94,48.28,101428,94534,36578,1,19642,15405,27872,15527,47
2523349,28.94,48.28,101428,95808,35733,1,19782,15641,27849,15529,48
2524349,28.95,48.25,101427,95220,36122,1,19636,15494,27883,15516,49
2525349,28.95,48.25,101428,96403,36245,1,19736,15467,27883,15511,50
2526349,28.96,48.24,101427,95061,35552,1,19843,15296,27861,15506,51
2527349,28.96,48.24,101428,95008,36417,1,19662,15316,27820,15506,52
2528349,28.97,48.21,101428,94169,35528,1,19543,15373,27846,15505,53
2529349,28.97,48.2,101428,94639,36000,1,19656,15436,27863,15497,54
2530349,28.98,48.19,101427,94744,36319,1,19729,15615,27848,15504,55
2531349,28.98,48.19,101427,95326,35492,1,19903,15758,27869,15490,56
2532369,28.99,48.17,101427,96240,36086,1,19897,15737,27820,15484,57
2533348,29,48.16,101428,95433,36086,1,19897,15737,27782,15480,57
2534349,29,48.14,101427,97116,36000,1,19897,15758,27826,15484,59
2535349,29.01,48.13,101427,96132,36789,1,19984,15801,27846,15473,60
2536349,29.01,48.12,101426,97061,36417,1,20339,15935,27860,15479,61
2537349,29.01,48.11,101427,95970,36454,1,20367,15951,27862,15468,62
2538349,29.02,48.1,101428,95916,35939,1,20257,16032,27821,15469,63
2539349,29.02,48.08,101428,97061,36739,1,20764,16022,27835,15466,64
2540349,29.02,48.08,101427,96676,37064,1,20792,15951,27856,15471,65
2541349,29.03,48.05,101427,96731,37315,1,20954,16545,27885,15466,66
2542349,29.03,48.05,101427,97282,37139,1,21132,16389,27854,15457,67
2543349,29.04,48.04,101427,97282,37303,1,21175,16540,27858,15460,68
2544349,29.04,48.04,101427,97282,37569,1,21269,16317,27826,15459,69
2545349,29.05,48.02,101427,97172,37569,1,21348,16384,27840,15453,70
2546349,29.05,48.02,101427,96786,37013,1,21197,16207,27836,15448,71
2547349,29.06,47.99,101427,96186,36627,1,21247,16076,27827,15450,72
2548349,29.06,48,101427,98121,37366,1,21132,16395,27829,15448,73
2549349,29.07,47.98,101426,97393,37875,1,21683,16624,27808,15449,74
2550349,29.08,47.97,101427,97393,38522,1,21653,16618,27810,15440,75
2551369,29.08,47.96,101427,97061,37696,1,21668,16500,27798,15443,76
2552348,29.09,47.95,101426,97952,37696,1,21668,16500,27814,15440,76
2553349,29.1,47.94,101426,97840,37811,1,21860,16754,27821,15438,78
2554349,29.1,47.95,101426,97840,37939,1,21837,16748,27844,15433,79
2555349,29.11,47.92,101427,96896,37594,1,21705,16850,27833,15431,80
2556349,29.11,47.91,101427,97505,38301,1,21778,16562,27822,15437,81
2557349,29.12,47.9,101426,98234,37671,1,21889,16551,27817,15431,82
2558349,29.12,47.88,101425,97672,37991,1,21949,16489,27848,15430,83
2559349,29.13,47.88,101425,98234,38210,1,21986,16422,27792,15429,84
2560349,29.13,47.86,101425,98404,38430,1,22075,17219,27819,15424,85
2561349,29.13,47.85,101424,98632,39047,1,22308,17144,27796,15422,86
2562349,29.14,47.84,101424,98348,38469,1,22543,16850,27804,15417,87
2563349,29.14,47.83,101424,98009,37518,1,22384,16839,27812,15425,88
2564349,29.14,47.81,101424,98234,38339,1,22490,16839,27864,15419,89
2565349,29.15,47.8,101423,97616,37875,1,22098,16467,27814,15411,90
2566349,29.15,47.81,101423,97616,38262,1,22083,16624,27825,15419,91
2567349,29.16,47.79,101423,97505,37518,1,21860,16607,27827,15416,92
2568349,29.16,47.79,101424,97952,38626,1,22301,16936,27825,15414,93
2569349,29.16,47.77,101425,98689,38262,1,21978,16976,27792,15408,94
2570380,29.16,47.75,101424,97616,37926,1,22490,17063,27828,15411,95
2571430,29.17,47.75,101425,97728,38574,1,22308,16765,27822,15413,96
2572490,29.17,47.74,101424,97616,37939,1,22255,16925,27818,15403,97
2573539,29.17,47.75,101424,97560,38496,1,22789,16993,27799,15412,98
2574348,29.19,47.74,101424,99552,38496,1,22789,16993,27773,15407,98
2575349,29.19,47.73,101425,98348,38443,1,22452,17074,27811,15410,100
2576349,29.19,47.71,101424,98746,38042,1,22195,16839,27792,15409,101
2577349,29.19,47.69,101424,98918,38404,1,22391,16663,27790,15400,102
2578349,29.19,47.69,101424,98632,38339,1,22113,16551,27802,15403,103
2579349,29.19,47.69,101424,98121,37683,1,21904,16624,27806,15401,104
2580349,29.19,47.7,101424,98065,38705,1,21742,16395,27812,15405,105
2581349,29.19,47.69,101424,98632,37952,1,21860,16624,27792,15396,106
2582349,29.2,47.68,101423,99436,38613,1,21978,16788,27802,15399,107
2583349,29.2,47.67,101424,98461,39179,1,22150,16748,27805,15399,108
2584349,29.2,47.66,101423,99552,38339,1,22528,16517,27790,15390,109
2585349,29.2,47.66,101424,99494,38352,1,21919,16545,27844,15391,110
2586349,29.21,47.65,101425,99090,37862,1,22090,16450,27857,15387,111
2587349,29.21,47.65,101425,99263,38210,1,21845,16339,27843,15395,112
2588349,29.21,47.65,101425,99090,37862,1,21580,16312,27822,15388,113
2589380,29.21,47.63,101425,97840,37240,1,21529,16301,27807,15388,114
2590429,29.21,47.65,101425,98689,37888,1,21377,15892,27834,15382,115
2591348,29.22,47.65,101424,99669,37888,1,21377,15892,27781,15384,115
2592349,29.22,47.63,101424,98803,37189,1,21096,16092,27841,15383,117
2593349,29.22,47.62,101423,99263,37811,1,21189,15973,27818,15388,118
2594349,29.23,47.61,101423,99552,37252,1,21240,16109,27824,15377,119
