timestamp,BME688_TEMP,BME688_HUM,BME688_PRES,BME688_R,ENS160_R0,ENS160_R1,ENS160_R2,ENS160_R3,SGP41_VOC,SGP41_NOX,timestamp_s
496846,28.9,52.26,101331,27397,49754,1,135951,18061,27322,16653,0
497896,28.76,52.18,101329,31387,55614,1,150378,21197,27879,16603,1
498946,28.67,52.09,101329,35754,60178,1,155924,23170,28169,16506,2
499996,28.61,51.98,101328,40163,63612,1,163269,24684,28404,16445,3
501046,28.57,51.88,101328,44061,65558,1,170152,26119,28594,16385,4
502096,28.54,51.82,101328,48530,67175,1,175177,27396,28743,16333,5
503135,28.53,51.72,101328,51863,68716,1,184800,28745,28863,16291,6
503824,28.54,51.7,101327,56313,68716,1,184800,28745,28901,16268,6
504825,28.54,51.61,101327,59245,70387,1,189294,29684,29006,16232,7
505825,28.54,51.54,101326,61508,71540,1,195545,30048,29072,16199,8
506825,28.54,51.51,101326,64000,72810,1,199557,31177,29121,16167,9
507825,28.54,51.47,101326,65573,73877,1,203513,31399,29174,16141,10
508825,28.54,51.44,101326,67814,74707,1,211590,32109,29252,16112,11
509825,28.54,51.4,101326,69133,76265,1,212380,33214,29275,16088,12
510825,28.55,51.35,101326,70679,76757,1,217471,33203,29273,16072,13
511825,28.55,51.33,101327,72541,77646,1,222459,33758,29329,16042,14
512825,28.55,51.31,101326,73732,78571,1,223591,33724,29337,16027,15
513825,28.56,51.28,101327,75095,78465,1,232938,34567,29346,15999,16
514825,28.57,51.25,101327,76032,79239,1,231132,34509,29381,15975,17
515825,28.57,51.24,101326,76715,79885,1,236033,34661,29378,15961,18
516825,28.58,51.21,101327,77835,80427,1,240794,34932,29400,15945,19
517836,28.59,51.21,101326,78407,80864,1,240794,35576,29414,15927,20
518886,28.59,51.18,101327,78842,81469,1,249420,35396,29440,15914,22
519936,28.6,51.14,101326,79577,81717,1,246316,35456,29474,15895,23
520975,28.6,51.15,101326,80175,82077,1,254279,35673,29447,15873,24
521824,28.62,51.13,101326,82182,82077,1,254279,35673,29437,15877,24
522825,28.63,51.1,101326,82024,82077,1,258094,35794,29493,15854,25
523825,28.63,51.09,101326,82341,82719,1,260199,36110,29518,15845,26
524825,28.63,51.09,101326,82821,83535,1,257832,36294,29485,15832,27
525825,28.64,51.08,101326,84044,84473,1,263478,36417,29497,15818,28
526825,28.64,51.07,101326,84127,84731,1,269429,36739,29521,15811,29
527825,28.64,51.04,101325,84293,85133,1,268701,37404,29497,15799,30
528825,28.64,51.02,101325,84965,84587,1,268337,37303,29470,15789,31
529825,28.65,50.98,101325,84880,83761,1,275236,37328,29466,15770,32
530825,28.65,50.95,101325,85304,85944,1,273009,36789,29437,15772,33
531825,28.66,50.94,101325,85475,85335,1,275702,37114,29457,15756,34
532825,28.66,50.91,101325,85733,85915,1,275702,37177,29489,15748,35
533825,28.67,50.91,101325,86079,85653,1,276543,36863,29483,15728,36
534825,28.67,50.89,101325,86515,85393,1,281358,36988,29463,15734,37
535825,28.68,50.88,101325,86515,86909,1,284326,37290,29515,15720,38
536825,28.68,50.86,101325,87134,85220,1,280313,37189,29486,15713,39
537825,28.69,50.87,101325,87851,88542,1,283845,37265,29513,15711,40
538825,28.7,50.86,101325,88397,87174,1,283173,38094,29527,15700,41
539865,28.7,50.87,101325,88123,86733,1,288299,37518,29523,15679,43
540824,28.71,50.85,101326,88673,86733,1,288299,37518,29584,15683,43
541825,28.71,50.84,101326,89604,87263,1,292129,38404,29556,15675,44
542825,28.72,50.85,101326,89323,88243,1,289962,37965,29571,15668,45
543825,28.72,50.83,101327,89229,89870,1,293020,38967,29559,15668,46
544825,28.73,50.83,101326,89887,88452,1,296111,38417,29565,15657,47
545825,28.73,50.82,101327,90267,87796,1,295710,38522,29529,15650,48
546825,28.73,50.8,101326,90459,89567,1,297921,38888,29527,15645,49
547825,28.74,50.79,101326,90172,89749,1,303621,38210,29543,15645,50
548825,28.74,50.77,101326,90555,90236,1,305683,38783,29541,15635,51
549825,28.75,50.76,101326,91038,89023,1,305476,39405,29544,15629,52
550825,28.75,50.74,101326,90844,89718,1,304135,39232,29543,15617,53
551825,28.76,50.72,101326,90844,90972,1,304650,39861,29554,15619,54
552825,28.76,50.73,101326,91330,89113,1,306616,40064,29582,15613,55
553825,28.77,50.71,101327,91921,90941,1,306304,39299,29557,15607,56
554825,28.78,50.71,101327,91723,88812,1,307031,39392,29546,15603,57
555825,28.78,50.69,101327,91921,88812,1,309221,39007,29541,15598,58
556825,28.79,50.68,101327,91723,90880,1,311216,39073,29564,15588,59
557825,28.79,50.66,101327,91723,89083,1,313330,39100,29524,15588,60
558825,28.79,50.63,101328,91822,91095,1,316956,38705,29539,15584,61
559825,28.8,50.61,101328,92418,88542,1,312800,39646,29549,15579,62
560856,28.8,50.58,101328,91921,88153,1,313436,38561,29542,15583,64
561906,28.8,50.6,101328,92219,90911,1,310690,38404,29541,15570,65
562956,28.81,50.58,101328,91428,89718,1,309954,38417,29558,15575,66
564006,28.81,50.56,101327,91723,91342,1,313967,38718,29572,15558,67
565056,28.81,50.55,101327,91330,88752,1,313436,39219,29500,15560,68
566106,28.81,50.53,101327,91330,88512,1,309745,37875,29524,15556,69
567156,28.81,50.51,101328,91428,90573,1,314498,38652,29537,15550,70
568206,28.81,50.51,101327,91723,89597,1,314498,38469,29556,15550,71
569256,28.82,50.5,101327,91233,90788,1,315565,38352,29537,15543,72
570306,28.82,50.48,101327,91330,89476,1,313967,38561,29552,15540,73
571356,28.82,50.48,101327,91428,89204,1,313648,37875,29514,15540,74
572406,28.82,50.48,101327,91624,90236,1,310164,38823,29553,15528,75
573450,28.83,50.47,101327,91921,88782,1,312482,38967,29564,15533,76
574504,28.83,50.46,101327,91526,90175,1,311111,38548,29505,15533,77
575547,28.84,50.44,101326,91428,89597,1,314711,38378,29541,15529,78
575969,28.91,50.46,101327,98178,89597,1,314711,38378,29511,15531,79
576825,28.93,50.4,101327,97505,90603,1,310059,38094,29515,15525,79
577825,28.92,50.36,101328,96458,90236,1,317708,37939,29548,15522,80
578825,28.92,50.32,101328,95754,89053,1,314392,38352,29530,15521,81
579825,28.91,50.32,101328,95061,90757,1,315138,37965,29529,15517,82
580825,28.91,50.3,101328,94902,89810,1,317708,37811,29556,15517,83
581845,28.9,50.3,101327,94639,89810,1,313330,38081,29541,15515,84
582824,28.9,50.3,101327,94849,89810,1,313330,38081,29579,15503,85
583825,28.9,50.29,101327,95114,90175,1,312060,37429,29522,15500,86
584825,28.91,50.29,101327,94902,89415,1,318138,37786,29486,15501,87
585825,28.91,50.29,101327,95167,91342,1,313224,37991,29515,15503,88
586825,28.91,50.28,101327,95273,88332,1,317385,38339,29572,15500,89
587825,28.92,50.3,101326,95273,90236,1,320733,38288,29572,15494,90
588825,28.93,50.29,101327,95433,90450,1,319109,38705,29544,15494,91
589825,28.93,50.29,101328,96132,90084,1,321711,38981,29580,15495,92
590825,28.94,50.28,101328,96132,91590,1,315671,38902,29567,15488,93
591825,28.94,50.29,101328,96458,91095,1,326538,40064,29520,15494,94
592825,28.94,50.27,101329,96024,89506,1,318462,38443,29560,15477,95
593825,28.95,50.27,101329,96294,91466,1,326428,39166,29572,15486,96
594825,28.95,50.26,101328,96676,90450,1,322038,38902,29529,15480,97
595825,28.95,50.24,101328,95754,92556,1,321929,39179,29560,15481,98
596825,28.95,50.22,101329,96132,91188,1,328089,39179,29550,15472,99
597825,28.96,50.21,101328,96024,91559,1,323458,38744,29553,15472,100
598825,28.96,50.21,101328,96078,92556,1,322475,38783,29550,15468,101
599825,28.97,50.2,101328,96078,91342,1,324335,39047,29544,15465,102
600825,28.98,50.2,101328,96731,92650,1,324555,39794,29551,15470,103
601825,28.98,50.19,101328,96403,92150,1,329982,40146,29554,15468,104
602836,28.99,50.19,101329,96294,92713,1,331774,39418,29551,15470,105
603886,28.99,50.18,101329,96512,92933,1,333124,40078,29536,15466,107
604936,28.99,50.17,101328,96294,92306,1,332224,39539,29521,15457,108
605986,28.99,50.16,101329,95754,92901,1,331886,38849,29529,15452,109
607036,28.99,50.15,101329,95540,92118,1,333350,39686,29546,15454,110
608086,28.99,50.14,101329,95916,92150,1,330429,38796,29557,15455,111
609136,28.99,50.13,101329,95593,92744,1,332111,39969,29559,15462,112
610186,28.99,50.13,101329,95540,91745,1,330989,39592,29545,15453,113
611236,28.99,50.11,101329,95486,92901,1,328979,39392,29531,15450,114
612286,28.99,50.1,101329,95540,91497,1,332674,38548,29524,15449,115
613336,28.99,50.1,101329,95326,91342,1,330429,38823,29534,15446,116
614386,28.99,50.1,101329,95167,91901,1,329759,39206,29524,15449,117
615436,28.99,50.09,101329,95808,91652,1,333350,38600,29572,15438,118
