timestamp,BME688_TEMP,BME688_HUM,BME688_PRES,BME688_R,ENS160_R0,ENS160_R1,ENS160_R2,ENS160_R3,SGP41_VOC,SGP41_NOX,timestamp_s
490687,28.66,53.18,101249,20253,23589,1,11903,6709,27444,16604,0
491737,28.57,53.11,101248,24446,27313,1,14372,9116,28005,16552,1
492787,28.51,52.99,101247,28880,29875,1,16125,10706,28348,16451,2
493826,28.47,52.88,101247,33402,31581,1,17567,12126,28559,16390,3
494665,28.46,52.79,101246,37813,31581,1,17567,12126,28675,16346,3
495666,28.44,52.7,101246,41410,33530,1,19053,13099,28831,16303,4
496666,28.44,52.61,101245,44521,34732,1,19971,13899,28923,16263,5
497666,28.43,52.52,101245,48120,35600,1,21290,14553,28992,16225,6
498666,28.43,52.47,101246,51087,36640,1,22505,15249,29063,16199,7
499666,28.43,52.41,101245,53255,38145,1,23470,16098,29130,16168,8
500666,28.44,52.36,101245,55615,38994,1,24818,16737,29171,16141,9
501666,28.44,52.31,101245,57918,40146,1,25698,17366,29251,16113,10
502666,28.45,52.27,101245,59534,40404,1,26682,17537,29256,16079,11
503666,28.46,52.24,101245,60677,40789,1,27055,17945,29315,16064,12
504666,28.46,52.21,101246,62454,41443,1,27854,18061,29336,16041,13
505666,28.47,52.17,101246,63570,41810,1,28291,18251,29396,16027,14
506666,28.47,52.14,101245,64826,42179,1,28531,18557,29382,16008,15
507666,28.48,52.12,101245,65725,42394,1,29087,18982,29388,15981,16
508666,28.49,52.08,101245,66390,43410,1,29424,19098,29416,15972,17
509666,28.49,52.09,101246,67279,43587,1,30140,19326,29465,15950,18
510666,28.5,52.07,101246,68139,43425,1,30396,19352,29423,15929,19
511666,28.5,52.04,101247,69021,43913,1,30488,19616,29466,15915,20
512696,28.51,52.02,101247,69357,44211,1,31209,20216,29457,15900,22
513665,28.51,52.02,101247,70329,44211,1,31209,20216,29485,15885,22
514666,28.52,51.98,101246,70973,45347,1,31570,20429,29489,15864,23
515666,28.53,51.96,101246,71150,45317,1,32393,20651,29471,15855,24
516666,28.53,51.96,101247,71628,45440,1,32065,20651,29494,15847,25
517666,28.54,51.93,101247,72418,45179,1,31925,20113,29516,15830,26
518666,28.54,51.92,101246,72603,45919,1,32734,20202,29507,15814,27
519666,28.55,51.91,101246,72913,46012,1,32823,20721,29497,15800,28
520666,28.55,51.88,101245,73796,46153,1,33553,21283,29516,15790,29
521666,28.56,51.86,101245,73924,46782,1,33758,21290,29546,15787,30
522666,28.56,51.85,101246,74181,46734,1,34427,22135,29523,15775,31
523666,28.57,51.83,101246,74245,47580,1,35134,22376,29523,15765,32
524666,28.57,51.81,101246,75029,47838,1,35134,22482,29486,15753,33
525666,28.58,51.8,101246,75029,48066,1,35939,22195,29578,15745,34
526666,28.58,51.79,101246,75762,48556,1,36184,22998,29548,15745,35
527666,28.58,51.78,101245,75829,48359,1,36429,23162,29549,15725,36
528666,28.59,51.76,101245,75762,49035,1,36951,23241,29579,15717,37
529666,28.59,51.74,101245,76032,48507,1,37089,23107,29568,15719,38
530666,28.6,51.75,101245,76440,48163,1,37177,22990,29581,15699,39
531666,28.6,51.74,101245,76577,48886,1,36405,22210,29584,15696,40
532666,28.6,51.72,101245,76784,48131,1,36269,22180,29544,15680,41
533666,28.61,51.72,101246,76923,47355,1,36220,22098,29556,15674,42
534717,28.61,51.7,101246,76923,48523,1,35927,21978,29556,15672,44
535767,28.61,51.71,101246,77341,48229,1,36405,22038,29542,15665,45
536817,28.61,51.69,101247,77062,48803,1,36171,22528,29578,15660,46
537867,28.61,51.7,101247,77131,47855,1,35685,21919,29580,15648,47
538906,28.62,51.7,101246,77062,47855,1,35733,21333,29613,15645,48
539665,28.64,51.69,101245,78842,47855,1,35733,21333,29606,15642,48
540666,28.64,51.66,101244,78987,47709,1,35062,20968,29563,15639,49
541666,28.64,51.69,101245,78479,47532,1,34732,20883,29573,15630,50
542666,28.65,51.7,101245,78696,48671,1,35027,21384,29597,15627,51
543666,28.65,51.73,101245,78551,47419,1,35134,20961,29592,15618,52
544666,28.65,51.73,101246,78551,47419,1,34708,21018,29574,15621,53
545666,28.65,51.72,101246,78769,47628,1,34849,20589,29584,15604,54
546666,28.65,51.72,101246,78842,47709,1,34732,21537,29598,15608,55
547666,28.65,51.69,101245,78987,48836,1,35420,21305,29619,15603,56
548666,28.65,51.68,101246,78987,47451,1,35480,21449,29598,15587,57
549666,28.66,51.65,101246,79207,48131,1,35324,21096,29554,15592,58
550666,28.66,51.63,101246,79429,47307,1,34720,20834,29605,15585,59
551666,28.67,51.62,101246,79725,47387,1,34567,20665,29573,15579,60
552666,28.67,51.6,101245,79725,47984,1,34404,20672,29569,15580,61
553666,28.67,51.58,101246,79800,47307,1,34392,20484,29598,15577,62
554666,28.68,51.57,101246,79429,46829,1,34241,20547,29560,15572,63
555687,28.68,51.57,101246,79577,47774,1,34172,20602,29605,15572,65
556737,28.68,51.56,101246,79281,47500,1,34626,21047,29571,15573,66
557776,28.68,51.58,101246,79503,48098,1,35456,21348,29580,15561,67
558665,28.69,51.54,101246,80326,48098,1,35456,21348,29602,15562,67
559666,28.7,51.53,101247,80477,47822,1,35576,21683,29594,15555,68
560666,28.7,51.52,101246,80402,48836,1,35830,21683,29595,15552,69
561666,28.71,51.51,101246,80250,47822,1,35348,21362,29584,15555,70
562666,28.71,51.5,101246,80706,47596,1,35122,21182,29596,15551,71
563666,28.71,51.51,101245,80706,48770,1,35528,21197,29617,15544,72
564666,28.72,51.5,101245,80859,47952,1,35685,21168,29571,15542,73
565666,28.72,51.5,101245,81012,48098,1,34968,20897,29587,15540,74
566666,28.72,51.51,101245,80629,47596,1,34873,20291,29579,15530,75
567666,28.72,51.5,101245,81089,47275,1,34567,20394,29592,15530,76
568666,28.73,51.48,101246,80935,48131,1,34172,19809,29607,15527,77
569666,28.73,51.46,101245,81321,46972,1,33987,19836,29580,15520,78
570666,28.74,51.46,101246,81089,47500,1,33907,19978,29584,15522,79
571666,28.74,51.44,101245,80859,47355,1,34022,20257,29578,15513,80
572666,28.75,51.42,101245,80629,47790,1,34767,20890,29613,15513,81
573666,28.75,51.39,101244,80629,48886,1,35348,20975,29549,15516,82
574666,28.75,51.38,101245,81244,48017,1,35408,21537,29595,15507,83
575666,28.75,51.37,101244,81012,49285,1,36184,22240,29605,15505,84
576666,28.75,51.37,101244,81554,49019,1,36789,22165,29618,15513,85
577696,28.75,51.36,101244,81244,48704,1,36739,22452,29579,15504,87
578665,28.76,51.36,101245,81554,48704,1,36739,22452,29581,15503,87
579666,28.76,51.33,101244,81399,49335,1,37114,22233,29592,15502,88
580666,28.76,51.34,101245,82024,48507,1,36528,21653,29569,15496,89
581666,28.76,51.33,101245,81166,48556,1,36503,21464,29580,15498,90
582666,28.76,51.33,101245,81476,48261,1,36355,21305,29607,15487,91
583666,28.77,51.33,101245,81867,48359,1,36516,21801,29555,15495,92
584666,28.77,51.32,101245,81789,49435,1,36220,21478,29604,15493,93
585666,28.77,51.32,101245,81399,48491,1,36726,21442,29582,15487,94
586666,28.77,51.32,101245,81789,48606,1,36368,21427,29622,15481,95
587666,28.77,51.31,101245,81789,48491,1,35952,21211,29615,15478,96
588666,28.77,51.3,101246,81789,48327,1,36269,21668,29628,15477,97
589666,28.77,51.28,101245,81789,50143,1,37114,22135,29602,15477,98
590666,28.77,51.29,101246,82024,50262,1,37939,23146,29600,15477,99
591666,28.77,51.29,101246,82262,51050,1,38496,23653,29572,15478,100
592666,28.77,51.29,101246,81867,50758,1,39592,24081,29589,15477,101
593666,28.77,51.28,101246,82341,50947,1,39499,23838,29640,15471,102
594666,28.78,51.28,101247,82341,51171,1,39726,23717,29552,15466,103
595666,28.78,51.27,101246,82500,50296,1,39807,23589,29609,15466,104
596666,28.78,51.26,101246,82103,50655,1,39592,23502,29587,15462,105
597666,28.78,51.26,101246,82500,50930,1,39485,23343,29570,15460,106
598666,28.78,51.26,101245,82341,52133,1,39726,23264,29579,15457,107
599717,28.78,51.26,101245,82182,51571,1,40241,23613,29557,15458,109
600767,28.78,51.27,101245,81789,51154,1,39753,23597,29554,15456,110
601817,28.77,51.28,101245,81710,51241,1,39983,23629,29614,15454,111
602867,28.77,51.3,101244,81244,50381,1,39499,22858,29557,15452,112
603906,28.77,51.28,101244,81476,49872,1,38626,22308,29568,15451,113
604665,28.8,51.29,101245,83143,49872,1,38626,22308,29578,15459,113
605666,28.8,51.25,101245,82901,49586,1,37811,21551,29559,15450,114
606666,28.8,51.25,101246,82660,48196,1,37001,20686,29582,15448,115
607666,28.8,51.25,101246,82821,48327,1,35733,20291,29545,15453,116
608666,28.8,51.23,101247,82341,48196,1,35253,20216,29589,15450,117
