timestamp,BME688_TEMP,BME688_HUM,BME688_PRES,BME688_R,ENS160_R0,ENS160_R1,ENS160_R2,ENS160_R3,SGP41_VOC,SGP41_NOX,timestamp_s
2744443,28.77,53.71,101297,14257,37914,1,77514,10801,26293,16132,0
2745493,28.6,53.64,101296,16886,42913,1,87381,14150,26920,16052,1
2746543,28.48,53.51,101295,19894,45640,1,93437,16350,27196,15971,2
2747593,28.4,53.4,101295,22857,48853,1,98403,17885,27426,15896,3
2748643,28.34,53.28,101294,26122,51293,1,102517,19603,27575,15841,4
2749682,28.3,53.2,101293,28686,52951,1,106694,20764,27735,15788,5
2750421,28.3,53.13,101293,31976,52951,1,106694,20764,27824,15757,5
2751422,28.29,53.06,101292,34454,55071,1,111418,21904,27959,15720,6
2752422,28.28,52.96,101291,36930,56832,1,116036,22936,28007,15683,7
2753422,28.27,52.9,101291,39095,58769,1,120112,23830,28103,15645,8
2754422,28.27,52.86,101290,41531,60096,1,125345,24843,28156,15620,9
2755422,28.27,52.79,101291,43611,60792,1,128089,25733,28249,15589,10
2756422,28.27,52.75,101291,45812,62186,1,130938,26181,28274,15563,11
2757422,28.27,52.69,101291,48093,63098,1,133579,26782,28307,15540,12
2758422,28.27,52.65,101290,50156,64109,1,138506,27037,28343,15522,13
2759422,28.28,52.62,101290,51675,65336,1,141922,27647,28388,15502,14
2760422,28.28,52.59,101290,53489,65691,1,145620,28205,28398,15483,15
2761422,28.29,52.6,101290,54935,67334,1,148206,28638,28433,15465,16
2762422,28.3,52.6,101290,56952,68137,1,152997,28950,28434,15451,17
2763422,28.31,52.6,101291,58036,68995,1,155502,29504,28421,15431,18
2764422,28.31,52.56,101291,59327,69983,1,159716,29825,28403,15418,19
2765421,28.32,52.54,101292,60377,70078,1,164712,30211,28463,15401,20
2766421,28.33,52.51,101291,61508,70078,1,164712,30211,28490,15387,21
2767422,28.34,52.49,101291,62961,70602,1,166337,30571,28441,15372,22
2768422,28.34,52.45,101291,64048,71057,1,167920,30252,28493,15365,23
2769422,28.35,52.43,101290,64483,72172,1,168262,30675,28466,15351,24
2770422,28.36,52.42,101290,65624,72343,1,172529,30789,28482,15337,25
2771422,28.37,52.4,101289,66910,72515,1,175592,31304,28489,15336,26
2772422,28.37,52.39,101289,67599,73057,1,177084,31485,28472,15325,27
2773422,28.38,52.36,101290,68303,73727,1,181023,31968,28478,15315,28
2774422,28.39,52.34,101289,69133,73802,1,184362,31559,28500,15300,29
2775422,28.4,52.34,101289,69584,74153,1,183739,32272,28524,15297,30
2776422,28.41,52.32,101289,70737,75393,1,189872,32218,28524,15292,31
2777422,28.42,52.31,101290,71269,75648,1,189166,32723,28510,15284,32
2778422,28.43,52.3,101290,71688,76111,1,194555,32338,28528,15276,33
2779422,28.43,52.28,101290,72541,76705,1,198479,33712,28513,15268,34
2780422,28.44,52.26,101290,73669,77593,1,200641,33440,28540,15259,35
2781422,28.44,52.23,101290,74052,77988,1,202003,33394,28515,15260,36
2782422,28.45,52.22,101290,74375,78837,1,206497,33621,28511,15259,37
2783422,28.45,52.18,101289,74831,77935,1,209595,33530,28554,15252,38
2784422,28.46,52.15,101290,75427,79453,1,209311,33907,28535,15243,39
2785422,28.47,52.16,101289,75627,78571,1,209666,33655,28558,15243,40
