timestamp,BME688_TEMP,BME688_HUM,BME688_PRES,BME688_R,ENS160_R0,ENS160_R1,ENS160_R2,ENS160_R3,SGP41_VOC,SGP41_NOX,timestamp_s
3045494,29.1,51.42,101356,18012,27433,1,9420,8583,26534,15936,0
3046544,28.99,51.38,101355,22711,32163,1,11640,11150,26921,15859,1
3047594,28.92,51.32,101353,28268,36025,1,13042,12689,27117,15779,2
3048644,28.87,51.22,101351,33015,38430,1,14212,13894,27265,15734,3
3049694,28.83,51.14,101351,37285,39956,1,15420,14358,27315,15702,4
3050744,28.81,51.06,101350,41290,41640,1,16136,15420,27376,15671,5
3051794,28.8,50.98,101350,44568,43927,1,17063,15737,27400,15642,6
3052844,28.79,50.91,101349,48558,45363,1,17495,16350,27466,15628,7
3053894,28.79,50.87,101350,51118,45919,1,18332,16596,27500,15600,8
3054944,28.79,50.82,101350,53156,46940,1,18803,16776,27563,15588,9
3055994,28.79,50.76,101349,55184,47919,1,19234,17330,27557,15573,10
3057044,28.8,50.73,101350,57181,48886,1,19749,17466,27609,15557,11
3058094,28.81,50.68,101350,58837,49569,1,19816,17454,27611,15540,12
3059137,28.81,50.64,101350,60548,50075,1,20672,17800,27630,15520,13
3059559,28.89,50.65,101350,65372,50075,1,20672,17800,27635,15525,14
3060474,28.9,50.58,101351,65473,51120,1,20785,18043,27645,15508,14
3061474,28.9,50.5,101352,66030,51554,1,21464,18351,27620,15497,15
3062474,28.9,50.45,101352,66235,51711,1,21478,18320,27644,15484,16
3063474,28.9,50.42,101351,67226,52115,1,21727,18544,27669,15477,17
3064474,28.9,50.38,101352,68030,52987,1,22053,18532,27678,15462,18
3065474,28.9,50.35,101352,68357,53528,1,21993,18784,27675,15450,19
3066494,28.9,50.34,101353,68577,53238,1,22498,18645,27657,15441,21
3067544,28.9,50.32,101352,68965,54220,1,22452,18746,27655,15432,22
3068594,28.9,50.28,101353,69301,54626,1,22820,18759,27676,15423,23
3069644,28.91,50.27,101353,69584,54922,1,22990,18714,27657,15413,24
