timestamp,BME688_TEMP,BME688_HUM,BME688_PRES,BME688_R,ENS160_R0,ENS160_R1,ENS160_R2,ENS160_R3,SGP41_VOC,SGP41_NOX,timestamp_s
3337077,28.41,53.85,101255,14479,17478,1,5647,5114,26516,16770,0
3338116,28.32,53.78,101254,19093,20547,1,6693,7068,26878,16699,1
3339066,28.26,53.67,101253,24700,20547,1,6693,7068,27028,16621,1
3340067,28.22,53.56,101252,29438,22429,1,7406,8197,27129,16557,2
3341067,28.2,53.45,101252,34069,24114,1,8145,9187,27178,16502,3
3342067,28.18,53.34,101251,38461,25370,1,8774,9928,27270,16456,4
3343067,28.18,53.26,101250,42398,26809,1,9620,10695,27310,16410,5
3344067,28.17,53.18,101250,45763,27986,1,10135,11433,27349,16372,6
3345067,28.17,53.12,101249,49545,28999,1,10692,12098,27422,16323,7
3346067,28.17,53.06,101249,52276,30365,1,11460,12616,27413,16285,8
3347067,28.18,52.99,101249,54584,31251,1,12004,13193,27421,16251,9
3348067,28.18,52.94,101249,56462,31968,1,12396,13427,27435,16225,10
3349067,28.19,52.89,101249,58274,32624,1,12927,14074,27441,16196,11
3350067,28.19,52.86,101249,60292,33315,1,13121,14285,27484,16165,12
3351067,28.2,52.82,101249,61420,33747,1,13504,14333,27490,16144,13
3352067,28.21,52.79,101248,62591,34149,1,13917,14475,27526,16115,14
3353067,28.22,52.77,101249,64240,34497,1,14155,14802,27515,16090,15
3354067,28.22,52.76,101249,64679,34968,1,14304,14998,27551,16070,16
3355067,28.23,52.71,101249,66030,35062,1,14489,15265,27588,16047,17
3356067,28.24,52.69,101249,66910,35770,1,14847,15400,27544,16033,18
3357067,28.25,52.67,101250,67706,35806,1,14822,15389,27562,16005,19
3358067,28.25,52.66,101249,67922,36122,1,15213,15473,27580,15995,20
3359067,28.26,52.63,101250,67922,36196,1,15095,15737,27568,15984,21
3360067,28.26,52.6,101250,68909,35637,1,14953,15525,27603,15966,22
3361067,28.27,52.56,101250,69245,36319,1,15177,15594,27619,15954,23
3362086,28.27,52.55,101250,69868,36602,1,15192,15662,27577,15936,25
3363066,28.28,52.55,101250,70737,36602,1,15192,15662,27573,15932,25
3364067,28.29,52.5,101251,70562,36826,1,15499,15806,27568,15916,26
3365067,28.29,52.49,101250,70855,36901,1,15275,15779,27604,15903,27
3366067,28.3,52.46,101250,71448,36528,1,15499,15876,27574,15897,28
3367067,28.31,52.45,101250,71032,37139,1,15572,15967,27572,15879,29
3368067,28.31,52.43,101250,71388,37126,1,15541,15989,27615,15881,30
3369067,28.32,52.42,101250,71809,37202,1,15641,15913,27607,15864,31
3370067,28.32,52.41,101249,72727,37353,1,15615,16136,27579,15864,32
3371067,28.33,52.4,101250,73226,37518,1,15822,16273,27624,15855,33
3372067,28.33,52.41,101250,74052,38197,1,16038,16461,27595,15846,34
3373067,28.34,52.42,101250,74831,38301,1,16361,16663,27589,15830,35
3374067,28.34,52.42,101249,75161,38744,1,16422,16833,27613,15819,36
3375067,28.34,52.4,101249,76099,39060,1,16624,17011,27643,15818,37
3376067,28.35,52.38,101248,74897,38652,1,16703,16663,27588,15819,38
3377067,28.35,52.39,101248,75161,39060,1,16839,16856,27611,15810,39
3378067,28.36,52.36,101249,75360,38823,1,16776,17051,27611,15798,40
3379067,28.36,52.34,101249,76167,38915,1,16930,16748,27608,15793,41
3380067,28.37,52.34,101249,76715,38849,1,16850,16839,27608,15790,42
3381067,28.37,52.32,101248,76235,39047,1,16833,16862,27619,15776,43
3382067,28.37,52.31,101248,76992,39525,1,16976,16793,27586,15771,44
3383067,28.38,52.29,101248,77271,39312,1,16873,16953,27576,15774,45
3384067,28.38,52.29,101247,77271,39126,1,16959,16793,27576,15769,46
3385067,28.39,52.27,101247,77906,39033,1,17034,17319,27578,15760,47
3386067,28.39,52.26,101247,78048,39392,1,17016,17011,27611,15752,48
3387107,28.39,52.24,101247,77693,39632,1,17074,16839,27597,15749,50
3388147,28.4,52.23,101247,76923,39219,1,17040,17080,27609,15742,51
3389186,28.4,52.21,101246,76992,39100,1,16810,16833,27615,15742,52
3390066,28.41,52.2,101247,77764,39100,1,16810,16833,27574,15733,52
3391067,28.42,52.17,101247,77271,38967,1,16799,16551,27594,15740,53
3392067,28.42,52.17,101247,77271,39007,1,16754,16810,27618,15735,54
3393067,28.42,52.15,101247,77764,39458,1,16925,16959,27621,15729,55
3394067,28.43,52.15,101248,78120,38954,1,16982,17243,27582,15717,56
3395067,28.43,52.15,101248,78769,39780,1,17243,17360,27588,15720,57
3396067,28.44,52.15,101248,78987,39606,1,17057,17231,27575,15712,58
3397067,28.44,52.14,101248,79134,39552,1,17225,17034,27574,15710,59
3398067,28.44,52.13,101248,78696,39299,1,17213,16862,27597,15708,60
3399067,28.45,52.11,101248,78407,39219,1,17016,16890,27604,15702,61
3400067,28.45,52.08,101249,77552,39619,1,16982,17179,27562,15705,62
3401067,28.46,52.06,101249,76992,39392,1,17057,16827,27537,15704,63
3402067,28.46,52.04,101249,76784,39206,1,17225,16810,27594,15702,64
3403067,28.47,52.04,101248,77201,39686,1,17161,17254,27590,15693,65
3404067,28.48,52.03,101248,77552,39700,1,17184,17080,27572,15696,66
3405067,28.49,52.04,101248,77977,40706,1,17722,17806,27617,15689,67
3406067,28.49,52.04,101248,78842,40789,1,17903,17752,27556,15687,68
3407067,28.5,52.03,101248,79281,41011,1,18276,17951,27569,15679,69
3408067,28.5,52.01,101248,79875,41895,1,18576,18456,27597,15681,70
3409067,28.51,52.02,101248,80175,41697,1,19066,18721,27578,15682,71
3410067,28.51,52.01,101248,80935,42094,1,18854,18494,27604,15675,72
3411087,28.51,52.01,101248,80782,42208,1,18995,18721,27593,15672,74
3412127,28.52,52.01,101248,80782,41980,1,19176,18513,27582,15672,75
3413167,28.52,51.99,101248,80025,41640,1,19027,18407,27589,15673,76
3414206,28.52,51.98,101248,79207,41725,1,18816,18320,27583,15675,77
3415066,28.53,51.97,101248,80477,41725,1,18816,18320,27595,15670,77
3416067,28.54,51.94,101248,79875,41471,1,18500,18000,27598,15673,78
3417067,28.54,51.91,101248,79577,40583,1,18177,17770,27569,15665,79
3418067,28.55,51.92,101248,79281,40679,1,18351,17495,27590,15660,80
3419067,28.55,51.9,101247,78769,40514,1,18104,17770,27562,15659,81
3420067,28.55,51.85,101248,77977,40200,1,17746,17295,27579,15657,82
3421067,28.56,51.82,101248,77977,40023,1,17602,17080,27608,15657,83
3422067,28.56,51.8,101247,77411,39753,1,17478,16890,27584,15654,84
