timestamp,BME688_TEMP,BME688_HUM,BME688_PRES,BME688_R,ENS160_R0,ENS160_R1,ENS160_R2,ENS160_R3,SGP41_VOC,SGP41_NOX,timestamp_s
477605,28.98,53.67,101315,55291,82300,1,122908,19809,27256,16435,0
478605,28.91,53.62,101317,58756,43794,1,58789,7196,27620,16411,1
479605,28.87,53.51,101319,63523,48392,1,64895,9385,27853,16320,2
480605,28.84,53.41,101320,68030,51694,1,67929,10812,28010,16243,3
481605,28.82,53.33,101321,72051,54867,1,71588,11794,28095,16189,4
482605,28.81,53.23,101321,76304,56525,1,73877,12552,28179,16140,5
483605,28.81,53.15,101322,79577,58353,1,76214,13546,28229,16093,6
484605,28.81,53.1,101323,82660,59893,1,78651,13908,28307,16042,7
485605,28.81,53.04,101324,85475,61725,1,80292,14832,28334,15993,8
486605,28.82,52.98,101324,88306,62165,1,81634,15203,28365,15957,9
487605,28.82,52.94,101324,90651,65336,1,83790,15758,28468,15929,10
488605,28.82,52.89,101323,93807,65491,1,85944,16103,28414,15893,11
489605,28.83,52.85,101324,95862,66631,1,87885,16350,28439,15855,12
490605,28.84,52.81,101324,97449,68344,1,90236,16993,28472,15830,13
491605,28.85,52.78,101324,99552,69393,1,92150,17184,28471,15794,14
492605,28.85,52.75,101324,101205,70411,1,93311,17776,28461,15773,15
493605,28.86,52.71,101324,102236,71419,1,93945,17927,28489,15739,16
494605,28.87,52.7,101324,103664,72368,1,96067,18202,28496,15718,17
495605,28.87,52.65,101324,104553,72785,1,97673,18576,28525,15697,18
496646,28.87,52.63,101324,105982,73702,1,100049,18708,28512,15678,19
497706,28.88,52.63,101324,106844,73528,1,99745,19053,28510,15655,20
498756,28.88,52.61,101325,107112,74178,1,101998,19008,28504,15628,21
499816,28.88,52.59,101325,108336,74304,1,102170,18854,28523,15612,22
500865,28.89,52.58,101325,108681,74178,1,102830,19163,28505,15587,23
501604,28.91,52.58,101325,111159,74178,1,102830,19163,28502,15583,23
502605,28.92,52.53,101325,111304,75393,1,103949,19027,28530,15565,25
503605,28.92,52.49,101326,112329,74480,1,104055,19385,28537,15558,26
504605,28.93,52.48,101326,112552,76085,1,106046,19437,28588,15536,27
505605,28.93,52.45,101327,113601,76757,1,105366,19418,28575,15524,28
506605,28.93,52.45,101326,113828,75214,1,106118,19930,28560,15514,29
507605,28.94,52.44,101327,114592,77672,1,107637,19897,28553,15489,30
508605,28.94,52.41,101327,114285,78147,1,108368,20181,28576,15488,31
509605,28.94,52.4,101327,115133,78306,1,109957,20223,28564,15478,32
510605,28.95,52.38,101326,115680,78200,1,112212,20305,28566,15467,33
511605,28.95,52.37,101326,116073,78253,1,110629,20381,28564,15458,34
512605,28.96,52.35,101326,115915,79400,1,112136,20381,28549,15448,35
