timestamp,BME688_TEMP,BME688_HUM,BME688_PRES,BME688_R,ENS160_R0,ENS160_R1,ENS160_R2,ENS160_R3,SGP41_VOC,SGP41_NOX,timestamp_s
830202,29.13,54.13,101499,16380,40983,1,26927,20429,26568,16674,0
831203,28.99,54.13,101504,21895,18159,1,7981,5822,27095,16627,1
832203,28.9,54.06,101509,27862,21297,1,9389,7852,27343,16503,2
833203,28.84,53.96,101512,33066,23446,1,10456,9092,27534,16403,3
834203,28.8,53.89,101514,38117,24517,1,11352,10159,27637,16311,4
835203,28.78,53.82,101515,42823,26234,1,12143,10841,27774,16232,5
836203,28.76,53.74,101516,46817,27183,1,13020,11858,27796,16161,6
837203,28.75,53.68,101517,51926,28282,1,13763,12438,27908,16107,7
838203,28.75,53.56,101518,55615,29235,1,14588,13350,27985,16051,8
839203,28.75,53.46,101519,59369,29967,1,15504,13998,28007,15997,9
840203,28.75,53.33,101519,62408,31421,1,16196,14622,28037,15950,10
841203,28.75,53.22,101519,65725,31272,1,16618,14842,28117,15909,11
842203,28.76,53.13,101520,66390,32065,1,17377,15332,28139,15868,12
843203,28.76,53.06,101520,69021,32668,1,17764,15473,28110,15837,13
844203,28.77,53,101520,70796,33147,1,18122,15865,28150,15802,14
845203,28.77,52.93,101520,72112,33896,1,18759,16130,28168,15776,15
846203,28.77,52.88,101519,74635,34265,1,19267,16799,28210,15747,16
847203,28.78,52.84,101519,75360,35637,1,19736,17016,28217,15720,17
848203,28.79,52.8,101520,77552,35456,1,20464,17395,28217,15697,18
849224,28.79,52.78,101520,78407,35492,1,20742,17722,28245,15681,19
850284,28.79,52.74,101520,79503,36171,1,21104,17788,28292,15666,20
851333,28.8,52.75,101520,79725,36098,1,21061,18369,28269,15642,21
852202,28.81,52.76,101520,81244,36098,1,21061,18369,28243,15630,22
853203,28.82,52.74,101519,83143,36294,1,21808,18147,28324,15612,23
854203,28.83,52.7,101519,82580,36988,1,21978,18382,28267,15598,24
855203,28.83,52.64,101519,82580,36963,1,22150,18208,28289,15585,25
856203,28.84,52.62,101519,84460,37747,1,22233,18338,28271,15576,26
857203,28.85,52.58,101518,83797,37139,1,22308,18626,28281,15567,27
858203,28.86,52.53,101518,84127,38107,1,22233,18227,28336,15558,28
859203,28.87,52.51,101518,83469,37747,1,22180,18196,28315,15541,29
860203,28.88,52.45,101519,84796,38145,1,22361,18177,28315,15530,30
861203,28.89,52.43,101520,84965,38042,1,22490,18251,28308,15521,31
862203,28.9,52.4,101520,85992,38004,1,22797,18957,28342,15520,32
863203,28.91,52.37,101520,85906,38184,1,23139,18976,28356,15515,33
864203,28.92,52.33,101520,85561,38132,1,23256,19241,28317,15503,34
865203,28.93,52.28,101520,87312,38145,1,23201,18620,28364,15492,35
866201,28.94,52.26,101520,86868,38678,1,23280,18538,28335,15495,35
867203,28.95,52.22,101521,86868,38068,1,23272,18613,28344,15489,37
868224,28.95,52.19,101521,88215,38210,1,23092,18848,28333,15481,38
869284,28.96,52.17,101521,88397,39606,1,23264,18905,28321,15478,39
870334,28.96,52.15,101521,87942,39686,1,23217,18976,28327,15468,40
871394,28.97,52.11,101521,87581,38770,1,23367,18816,28336,15464,41
872444,28.97,52.09,101521,87491,38443,1,23895,18905,28369,15459,42
873504,28.98,52.05,101521,88215,38994,1,23549,18714,28363,15450,43
874553,28.98,52.04,101521,89604,38391,1,23766,18620,28347,15444,44
875202,29.02,52.01,101521,95114,38391,1,23766,18620,28327,15447,45
876203,29.03,51.94,101521,94325,39086,1,23494,18873,28322,15446,46
877203,29.03,51.96,101520,92219,38915,1,23774,18714,28319,15441,47
878203,29.04,52,101521,94482,38561,1,23661,19021,28315,15429,48
879203,29.04,52.04,101521,92119,39285,1,23919,18601,28335,15432,49
880203,29.04,52.06,101521,90941,38561,1,23750,19047,28307,15426,50
881203,29.05,52.11,101521,94117,39047,1,24008,18727,28339,15422,51
882203,29.05,52.16,101520,92219,39552,1,24163,19053,28335,15420,52
883203,29.05,52.17,101520,95220,39033,1,24016,19457,28313,15413,53
884203,29.06,52.16,101519,92318,39713,1,24443,19169,28363,15409,54
885203,29.07,52.15,101519,95593,39632,1,24650,19689,28321,15412,55
886203,29.08,52.11,101519,95540,40473,1,25037,20120,28339,15409,56
887224,29.08,52.08,101518,95754,40610,1,25611,20512,28342,15402,57
888284,29.09,52.03,101519,96078,41025,1,26655,20806,28358,15404,58
889334,29.09,52.01,101518,95167,40803,1,26359,21096,28339,15401,59
890394,29.1,51.95,101518,95061,41542,1,26502,20609,28359,15396,60
891444,29.1,51.93,101518,95008,41584,1,26137,20890,28386,15396,61
892504,29.11,51.89,101518,95754,40679,1,25908,20665,28368,15392,62
893554,29.11,51.86,101518,96349,40446,1,26493,20714,28384,15392,63
894614,29.11,51.85,101518,96132,41528,1,26673,20990,28365,15393,64
895663,29.12,51.85,101518,96567,41513,1,26927,21118,28372,15387,65
896202,29.18,51.85,101517,101386,41513,1,26927,21118,28349,15389,66
897203,29.19,51.81,101517,100195,42079,1,27055,21610,28336,15386,67
898203,29.19,51.8,101517,99090,41345,1,27368,21742,28366,15376,68
899203,29.19,51.77,101517,97896,41192,1,27713,21837,28356,15374,69
900203,29.2,51.72,101518,98518,42379,1,27854,22128,28401,15372,70
901203,29.2,51.7,101517,97896,41909,1,28081,22210,28398,15378,71
902203,29.21,51.67,101517,97393,42308,1,28696,22255,28384,15378,72
903203,29.22,51.64,101518,97227,42624,1,29077,22735,28354,15370,73
904203,29.23,51.59,101518,96567,42122,1,29127,22866,28320,15374,74
905203,29.23,51.58,101519,97393,42151,1,28589,22866,28363,15366,75
906224,29.24,51.54,101520,95916,42466,1,28891,22543,28372,15367,76
907273,29.24,51.51,101521,96294,42208,1,28619,22308,28375,15371,77
908202,29.25,51.48,101521,97560,42208,1,28619,22308,28347,15364,78
909203,29.25,51.46,101522,96622,41951,1,28157,21595,28344,15360,79
910203,29.26,51.42,101522,97227,41275,1,28234,21269,28391,15358,80
911203,29.26,51.41,101523,95916,42022,1,27713,21305,28383,15360,81
912203,29.27,51.37,101523,95540,41584,1,27239,20778,28404,15362,82
913203,29.27,51.34,101522,95167,41150,1,27517,20714,28402,15356,83
914203,29.28,51.34,101522,95380,41219,1,26565,20264,28409,15352,84
915203,29.28,51.31,101522,95593,41331,1,26745,20367,28368,15360,85
916203,29.29,51.29,101522,95273,41443,1,26243,19910,28431,15354,86
917203,29.29,51.29,101522,96512,40831,1,26386,19856,28364,15360,87
918203,29.29,51.28,101522,96294,41052,1,26208,19897,28376,15357,88
919203,29.29,51.28,101522,96731,40831,1,26137,19876,28386,15355,89
920203,29.3,51.27,101522,96731,40665,1,26093,19991,28376,15351,90
921203,29.3,51.26,101523,96458,41233,1,25952,19897,28424,15345,91
922203,29.32,51.25,101523,96896,41528,1,26057,20202,28384,15354,92
923203,29.32,51.28,101522,97449,41753,1,26529,20700,28384,15349,93
924203,29.33,51.25,101522,98009,41542,1,27092,21047,28407,15350,94
925224,29.33,51.26,101521,98291,42509,1,27331,21218,28373,15347,95
926274,29.33,51.24,101520,97896,41980,1,27498,21312,28365,15348,96
927334,29.33,51.25,101520,97952,42022,1,27294,21075,28357,15341,97
928383,29.33,51.23,101520,97338,42236,1,27331,20905,28369,15339,98
929202,29.35,51.22,101519,98803,42236,1,27331,20905,28422,15338,99
930203,29.36,51.21,101519,98803,41359,1,27220,20679,28379,15336,100
931203,29.36,51.22,101518,98746,41640,1,27331,20764,28356,15339,101
932203,29.37,51.22,101517,99032,42122,1,27517,21175,28377,15333,102
933203,29.38,51.25,101517,98975,42509,1,27461,21175,28346,15337,103
934203,29.38,51.24,101516,99727,42451,1,28091,22233,28376,15342,104
935203,29.39,51.24,101516,99610,42509,1,28803,22038,28332,15333,105
936203,29.4,51.23,101515,100313,43395,1,28989,23115,28386,15336,106
937203,29.41,51.18,101514,100019,43366,1,29087,22936,28357,15333,107
938203,29.42,51.13,101514,99727,42870,1,29374,23256,28334,15331,108
939203,29.42,51.1,101513,99552,42928,1,29484,22689,28356,15332,109
940203,29.43,51.07,101512,99902,42797,1,29009,22743,28412,15328,110
941203,29.43,51.02,101512,98803,42855,1,29374,22498,28348,15328,111
942203,29.43,50.99,101512,99090,43220,1,29206,22225,28382,15326,112
943203,29.44,50.98,101512,98689,43249,1,28881,22255,28349,15329,113
944213,29.44,50.96,101512,98291,43278,1,29117,21764,28387,15333,114
945202,29.45,50.93,101511,99205,43278,1,29117,21764,28377,15329,115
946203,29.45,50.91,101511,99494,42870,1,28813,21624,28380,15323,116
947203,29.46,50.91,101512,99090,43132,1,28920,22135,28391,15328,117
948203,29.46,50.91,101511,99960,43015,1,28901,22346,28377,15325,118
949203,29.47,50.92,101511,99263,44436,1,29275,22346,28388,15324,119
