timestamp,BME688_TEMP,BME688_HUM,BME688_PRES,BME688_R,ENS160_R0,ENS160_R1,ENS160_R2,ENS160_R3,SGP41_VOC,SGP41_NOX,timestamp_s
1143608,29.21,53.52,101353,19265,25777,1,14208,7591,27400,16584,0
1144658,29.1,53.46,101352,22735,29764,1,17213,10104,27971,16542,1
1145697,29.03,53.34,101351,26744,32425,1,19424,11659,28231,16448,2
1146586,28.99,53.25,101349,30910,32425,1,19424,11659,28410,16395,2
1147587,28.96,53.14,101348,34371,34755,1,21182,12638,28531,16341,3
1148587,28.94,53.02,101347,37713,36764,1,22983,13679,28643,16302,4
1149587,28.93,52.95,101348,40660,38081,1,24418,14832,28707,16263,5
1150587,28.93,52.86,101348,43257,39565,1,26110,15415,28818,16223,6
1151587,28.92,52.8,101349,45861,40997,1,27498,16229,28839,16190,7
1152587,28.92,52.75,101350,48558,41640,1,28648,16523,28915,16173,8
1153587,28.93,52.69,101350,50483,42972,1,29394,16850,28942,16139,9
1154587,28.93,52.65,101350,52729,44466,1,30211,17219,28971,16118,10
1155587,28.93,52.61,101350,54619,44361,1,31251,17436,29008,16094,11
1156587,28.94,52.57,101349,56128,45332,1,31827,17561,29033,16072,12
1157587,28.94,52.54,101348,57489,45240,1,32152,17336,29021,16043,13
1158587,28.95,52.5,101348,58554,45210,1,32768,17555,29071,16028,14
1159587,28.95,52.49,101348,59995,46529,1,33508,18018,29073,16005,15
1160587,28.96,52.45,101348,60548,46624,1,33542,18289,29090,15994,16
1161587,28.97,52.45,101349,61508,47227,1,34673,18301,29092,15968,17
1162587,28.97,52.43,101350,62271,47500,1,34790,18651,29102,15955,18
1163587,28.98,52.39,101350,63241,47871,1,35745,18544,29128,15941,19
1164587,28.98,52.39,101350,63952,48392,1,35588,18899,29128,15918,20
1165617,28.99,52.37,101349,64728,48952,1,36294,18873,29135,15909,22
1166586,28.99,52.35,101349,64777,48952,1,36294,18873,29168,15888,22
1167587,29,52.33,101349,65422,49168,1,36640,18893,29192,15877,23
1168587,29,52.33,101350,66493,49085,1,36627,19124,29143,15864,24
1169587,29.01,52.31,101350,66493,49586,1,37798,19649,29114,15854,25
1170587,29.01,52.3,101350,67279,50637,1,37353,19536,29174,15837,26
1171587,29.02,52.29,101351,67653,50177,1,38352,19516,29134,15826,27
1172587,29.02,52.27,101352,68467,51206,1,38783,19897,29193,15810,28
1173587,29.02,52.26,101351,68467,50689,1,38928,20236,29173,15797,29
1174587,29.02,52.26,101351,68909,51449,1,39565,20312,29163,15785,30
1175587,29.03,52.24,101351,69245,51659,1,39929,20457,29159,15777,31
1176587,29.03,52.23,101351,69811,51293,1,40132,20609,29216,15767,32
1177587,29.04,52.2,101351,69811,52434,1,40487,20742,29179,15754,33
1178587,29.04,52.21,101351,70503,52045,1,40146,20623,29146,15751,34
1179587,29.04,52.21,101351,70737,52987,1,40775,20596,29166,15740,35
1180587,29.05,52.2,101351,71091,52045,1,40432,20181,29186,15729,36
1181587,29.05,52.19,101350,71269,51781,1,40914,20236,29195,15717,37
1182587,29.05,52.18,101351,71508,52665,1,40789,20547,29224,15711,38
1183587,29.05,52.16,101350,71329,52754,1,41192,20820,29221,15700,39
1184587,29.06,52.16,101351,71568,53782,1,42022,21305,29184,15695,40
1185587,29.06,52.14,101351,71809,54092,1,42394,21624,29197,15689,41
1186587,29.07,52.13,101351,71688,53800,1,43132,21919,29168,15680,42
1187638,29.07,52.14,101351,71869,55090,1,43942,22240,29239,15677,44
1188688,29.07,52.11,101351,71568,54885,1,43557,22727,29225,15671,45
1189727,29.07,52.11,101351,71748,55633,1,44662,22743,29182,15660,46
1190586,29.09,52.12,101351,73101,55633,1,44662,22743,29217,15654,46
1191587,29.09,52.1,101351,73226,55333,1,44859,22620,29226,15649,47
1192587,29.1,52.08,101351,72603,55034,1,45271,22620,29212,15646,48
1193587,29.1,52.06,101351,72851,56258,1,45317,22905,29172,15637,49
1194587,29.11,52.04,101350,72913,55483,1,44753,23194,29179,15634,50
1195587,29.11,52.03,101351,73289,56068,1,45764,23645,29234,15629,51
1196587,29.12,52.02,101351,73478,56564,1,46466,23774,29189,15622,52
1197587,29.12,52,101351,73226,56755,1,46372,23903,29214,15614,53
1198587,29.13,51.99,101351,73796,57335,1,47275,23879,29217,15610,54
1199587,29.13,51.99,101351,73669,57141,1,47628,24212,29203,15604,55
1200587,29.14,52,101351,73860,57451,1,47709,24098,29259,15607,56
1201587,29.14,51.98,101351,73796,57335,1,48229,24642,29191,15596,57
1202587,29.15,51.96,101351,73669,57276,1,48491,24443,29207,15598,58
1203587,29.16,51.96,101350,73924,57783,1,48474,24642,29234,15585,59
1204587,29.16,51.93,101351,73478,57044,1,48688,24418,29214,15586,60
1205587,29.17,51.94,101351,73796,57783,1,49085,24584,29206,15580,61
1206587,29.18,51.93,101351,74116,57880,1,48803,24418,29215,15576,62
1207587,29.18,51.91,101351,73860,57704,1,48919,25012,29231,15582,63
1208608,29.19,51.89,101352,73860,57822,1,49335,24368,29237,15566,65
1209647,29.19,51.89,101352,73669,58650,1,49502,24684,29222,15567,66
1210586,29.2,51.87,101353,74375,58650,1,49502,24684,29217,15557,66
1211587,29.2,51.85,101352,74831,58471,1,49218,24360,29225,15557,67
1212587,29.2,51.84,101352,75029,57763,1,48392,23557,29249,15559,68
1213587,29.21,51.84,101353,74897,56698,1,48622,23241,29213,15544,69
1214587,29.21,51.81,101352,74831,57607,1,48409,22467,29215,15546,70
1215587,29.21,51.8,101353,74963,56182,1,47211,22369,29230,15544,71
1216587,29.22,51.79,101353,74440,57102,1,47036,22353,29201,15551,72
1217587,29.22,51.77,101353,75095,56602,1,47355,22766,29204,15538,73
1218587,29.23,51.74,101354,74635,56525,1,47903,23470,29216,15544,74
1219587,29.23,51.75,101353,74635,57763,1,48294,23422,29249,15534,75
1220587,29.23,51.73,101352,74700,56640,1,48261,22804,29212,15537,76
1221587,29.24,51.72,101353,74897,57568,1,47758,22369,29206,15523,77
1222587,29.24,51.72,101353,75095,57044,1,46940,22068,29236,15531,78
1223587,29.24,51.72,101353,75227,56296,1,46576,21478,29250,15523,79
1224587,29.24,51.71,101353,75694,56049,1,45966,21082,29232,15531,80
1225587,29.24,51.71,101353,75627,55633,1,46372,20799,29213,15513,81
1226587,29.25,51.71,101353,75560,55090,1,45594,20905,29212,15512,82
1227587,29.25,51.7,101353,75560,55558,1,45486,21011,29254,15509,83
1228587,29.26,51.68,101353,75360,56049,1,44647,20568,29198,15508,84
1229587,29.26,51.68,101353,75560,55090,1,44571,20161,29201,15508,85
1230617,29.26,51.68,101354,75627,55202,1,44707,20018,29232,15510,87
1231586,29.27,51.66,101354,75560,55202,1,44707,20018,29211,15504,87
1232587,29.27,51.65,101353,76032,55860,1,44859,20443,29228,15501,88
1233587,29.27,51.66,101354,75964,55539,1,44723,20940,29249,15500,89
1234587,29.27,51.65,101354,76032,55671,1,44965,21580,29241,15494,90
1235587,29.27,51.64,101353,76032,57102,1,46184,22369,29242,15492,91
1236587,29.27,51.63,101353,76509,57102,1,46972,22437,29237,15490,92
1237587,29.27,51.63,101354,76099,57529,1,47211,22505,29246,15495,93
1238587,29.27,51.62,101354,76167,57315,1,46639,22612,29228,15488,94
1239587,29.27,51.63,101355,75896,58590,1,48131,23186,29262,15488,95
1240587,29.28,51.61,101354,76304,58928,1,48474,23830,29207,15484,96
1241587,29.28,51.61,101354,75896,58195,1,49687,23734,29242,15479,97
1242587,29.28,51.6,101354,75627,58968,1,48638,23589,29206,15480,98
1243587,29.28,51.59,101354,76235,58353,1,49052,23653,29234,15480,99
1244587,29.29,51.59,101353,76099,59529,1,49335,23895,29228,15476,100
1245587,29.29,51.57,101353,75896,59610,1,49720,24081,29238,15475,101
1246587,29.3,51.56,101353,75896,58948,1,49923,24567,29229,15476,102
1247587,29.3,51.57,101352,75964,60015,1,50569,24684,29237,15476,103
1248587,29.31,51.53,101351,75762,59268,1,50947,25224,29263,15469,104
1249587,29.31,51.54,101350,75762,59028,1,51624,25224,29213,15468,105
1250587,29.32,51.52,101349,75427,61122,1,51624,24885,29261,15470,106
1251587,29.32,51.51,101349,75694,59570,1,50947,25122,29261,15463,107
1252638,29.33,51.5,101349,75095,60239,1,51362,25182,29226,15463,109
1253688,29.33,51.5,101349,75029,59308,1,51275,24809,29246,15459,110
1254738,29.32,51.49,101349,75829,58570,1,51328,23597,29206,15463,111
1255788,29.32,51.5,101349,75829,58274,1,50228,22758,29244,15453,112
1256827,29.32,51.5,101349,75493,58630,1,49469,23194,29221,15452,113
1257586,29.34,51.49,101349,77131,58630,1,49469,23194,29236,15454,113
1258587,29.35,51.48,101349,76923,58293,1,50262,23494,29255,15448,114
1259587,29.35,51.47,101349,76715,59048,1,50535,23846,29212,15452,115
1260587,29.35,51.44,101349,76784,60259,1,50999,24179,29256,15445,116
1261587,29.35,51.44,101349,76440,60259,1,50947,24659,29230,15452,117
1262587,29.35,51.42,101349,76440,59832,1,51120,25097,29239,15441,118
