timestamp,BME688_TEMP,BME688_HUM,BME688_PRES,BME688_R,ENS160_R0,ENS160_R1,ENS160_R2,ENS160_R3,SGP41_VOC,SGP41_NOX,timestamp_s
3234432,28.64,54.33,101346,16393,20264,1,6800,6942,27269,17406,0
3235472,28.54,54.26,101344,21199,23879,1,8281,9491,27727,17380,1
3236421,28.47,54.14,101342,26761,23879,1,8281,9491,27965,17286,1
3237422,28.43,54.02,101342,31832,26163,1,9456,10915,28239,17212,2
3238422,28.4,53.9,101341,36644,28205,1,10371,12379,28344,17157,3
3239422,28.39,53.82,101340,40738,29785,1,11379,13688,28436,17104,4
3240422,28.38,53.72,101339,44802,31346,1,12205,15024,28560,17061,5
3241422,28.37,53.64,101339,48976,33102,1,13255,16060,28587,17017,6
3242422,28.37,53.57,101338,52149,33918,1,14261,16765,28682,16974,7
3243422,28.37,53.51,101338,54759,35552,1,15228,17951,28767,16940,8
3244422,28.38,53.46,101338,57411,36319,1,15881,18925,28816,16904,9
3245422,28.38,53.41,101338,59534,37026,1,16657,19483,28856,16873,10
3246422,28.39,53.37,101337,61910,38482,1,17377,19984,28887,16845,11
3247422,28.39,53.34,101338,62868,38875,1,18012,20526,28932,16811,12
3248422,28.4,53.3,101338,64483,39285,1,18394,20890,28926,16786,13
3249422,28.41,53.28,101338,65979,39956,1,18931,20728,29000,16764,14
3250422,28.42,53.25,101338,67279,39888,1,19124,21182,29008,16740,15
3251422,28.43,53.22,101338,68412,41136,1,19563,21515,29045,16710,16
3252422,28.43,53.18,101338,69868,41640,1,20134,22827,29069,16694,17
3253422,28.44,53.17,101337,70796,42208,1,20919,22897,29077,16668,18
3254422,28.45,53.14,101337,71628,42972,1,21370,23327,29100,16645,19
3255422,28.46,53.11,101337,72173,43513,1,21815,23709,29074,16636,20
3256422,28.46,53.09,101337,72976,43410,1,22301,23919,29076,16611,21
3257422,28.47,53.09,101337,73988,43337,1,22105,23304,29066,16585,22
3258422,28.48,53.07,101338,74570,42624,1,21830,22797,29110,16578,23
3259453,28.48,53.05,101338,74700,42667,1,21631,22735,29131,16556,25
3260492,28.48,53.04,101338,75427,43543,1,21595,23209,29117,16542,26
3261533,28.48,53.03,101338,75762,43675,1,21793,22889,29128,16521,27
3262571,28.49,53.02,101338,75829,42595,1,21756,22951,29138,16512,28
3263421,28.5,53.01,101337,78048,42595,1,21756,22951,29158,16494,28
3264422,28.51,52.99,101337,78191,43132,1,21537,22482,29163,16487,29
3265422,28.51,52.95,101336,78335,42422,1,21362,21971,29147,16467,30
3266422,28.52,52.97,101336,78551,42696,1,21132,22090,29198,16457,31
3267422,28.52,52.95,101335,78914,42236,1,20990,21566,29173,16449,32
3268422,28.53,52.93,101335,78551,42480,1,20778,21801,29167,16433,33
3269422,28.53,52.92,101335,78914,43161,1,21391,22384,29189,16422,34
3270422,28.54,52.91,101334,79134,43410,1,21283,22361,29151,16405,35
3271422,28.54,52.89,101334,79875,43234,1,21333,22827,29177,16400,36
3272422,28.55,52.87,101335,79725,44196,1,21963,22490,29211,16384,37
3273422,28.55,52.86,101335,80250,43220,1,21661,22460,29180,16380,38
3274422,28.56,52.84,101335,80553,43425,1,21874,22536,29235,16369,39
3275422,28.57,52.83,101335,81089,44136,1,22038,23014,29222,16360,40
3276422,28.57,52.8,101335,80477,44707,1,22406,23984,29213,16349,41
3277422,28.58,52.8,101334,81632,45363,1,22843,24114,29191,16337,42
3278422,28.58,52.78,101335,82024,45332,1,23565,24294,29214,16330,43
3279422,28.58,52.76,101335,81632,45394,1,23312,24726,29250,16327,44
3280422,28.59,52.76,101335,82103,45609,1,23502,24592,29183,16319,45
3281422,28.59,52.74,101334,82500,45640,1,23895,24634,29220,16305,46
3282422,28.59,52.74,101334,82580,46608,1,24492,25318,29219,16298,47
3283421,28.6,52.74,101334,82821,47020,1,25131,26368,29203,16293,48
3284421,28.6,52.73,101335,82500,47020,1,25131,26368,29200,16286,49
3285422,28.6,52.72,101334,82580,47068,1,25882,26700,29221,16270,50
3286422,28.61,52.73,101334,82660,48131,1,26093,26764,29219,16272,51
3287422,28.61,52.71,101334,83143,48196,1,26208,26964,29207,16264,52
3288422,28.61,52.71,101334,83062,49035,1,26854,27064,29204,16258,53
3289422,28.62,52.69,101334,83143,49151,1,27313,27863,29187,16253,54
3290422,28.62,52.67,101334,83306,49838,1,27424,27666,29211,16245,55
3291422,28.63,52.67,101335,83143,48787,1,27350,27055,29216,16247,56
3292422,28.63,52.65,101335,83469,48115,1,26288,26664,29229,16238,57
3293422,28.64,52.65,101335,83387,47790,1,26163,25952,29238,16229,58
3294422,28.64,52.62,101334,84044,48196,1,26066,26520,29223,16222,59
3295422,28.65,52.6,101334,83632,48066,1,26430,26084,29295,16225,60
3296422,28.65,52.6,101333,83714,48229,1,26137,25724,29241,16212,61
3297422,28.65,52.6,101333,84544,48392,1,26084,26093,29244,16201,62
3298422,28.66,52.57,101332,84044,48474,1,26128,26297,29253,16207,63
3299422,28.66,52.56,101332,85134,47903,1,25785,26190,29264,16200,64
3300422,28.67,52.56,101332,84965,47355,1,25890,25838,29269,16200,65
3301422,28.67,52.55,101332,84880,47725,1,25207,25029,29214,16195,66
3302422,28.67,52.53,101332,84880,46655,1,24919,24809,29253,16191,67
3303422,28.68,52.52,101332,85390,46372,1,24634,24443,29225,16188,68
3304422,28.69,52.49,101332,84544,46466,1,24476,24600,29263,16179,69
3305422,28.69,52.49,101333,84460,46466,1,24418,24826,29237,16180,70
3306422,28.7,52.48,101333,84460,46450,1,24492,24970,29248,16177,71
3307422,28.7,52.48,101333,84460,45671,1,24492,24098,29294,16172,72
3308442,28.71,52.46,101333,83961,45225,1,23446,23304,29214,16163,74
3309421,28.71,52.46,101332,84965,45225,1,23446,23304,29216,16161,74
3310422,28.72,52.45,101332,84712,44602,1,23154,23335,29227,16158,75
3311422,28.72,52.44,101332,84965,44481,1,22998,22998,29241,16158,76
3312422,28.72,52.42,101332,85304,44768,1,22727,23170,29251,16154,77
3313422,28.72,52.42,101332,84712,45225,1,22666,22843,29244,16149,78
3314422,28.73,52.41,101332,85475,44707,1,22920,23037,29242,16153,79
3315422,28.73,52.39,101331,85561,44151,1,22308,23194,29244,16143,80
3316422,28.74,52.39,101332,85561,43513,1,22203,22566,29252,16149,81
3317422,28.74,52.37,101332,85647,44226,1,22150,22498,29288,16130,82
3318422,28.75,52.38,101331,85733,44361,1,22308,22905,29282,16136,83
3319422,28.75,52.36,101331,86253,44571,1,22797,23162,29278,16141,84
3320422,28.76,52.35,101331,85906,44981,1,22936,23581,29280,16134,85
3321422,28.76,52.33,101332,86428,44436,1,23343,23734,29230,16129,86
3322422,28.76,52.33,101331,85733,45072,1,23581,24147,29292,16126,87
3323422,28.77,52.31,101331,85647,45363,1,23312,24065,29260,16129,88
3324422,28.77,52.3,101330,85647,45042,1,23399,23725,29275,16125,89
3325422,28.78,52.3,101331,85134,44859,1,23256,23862,29241,16126,90
3326422,28.78,52.28,101331,85219,44707,1,23241,23406,29253,16118,91
3327422,28.79,52.27,101330,85390,43987,1,22650,23123,29257,16118,92
3328422,28.79,52.24,101331,85304,44316,1,22490,22990,29266,16117,93
3329422,28.79,52.25,101331,85992,44783,1,22482,22998,29247,16113,94
3330422,28.8,52.22,101330,85819,44226,1,22758,23296,29265,16116,95
3331422,28.8,52.22,101330,86166,44692,1,22797,22889,29250,16114,96
3332433,28.8,52.23,101329,86340,44692,1,22766,22905,29230,16107,98
3333472,28.8,52.21,101329,86340,44361,1,22689,23280,29248,16103,99
3334513,28.8,52.22,101329,86253,44859,1,22905,23573,29237,16102,100
3335551,28.8,52.21,101330,85992,44481,1,22889,23534,29280,16107,101
3336421,28.82,52.21,101330,88033,44481,1,22889,23534,29272,16106,101
3337422,28.83,52.17,101330,87851,44783,1,23399,23494,29247,16099,102
3338422,28.83,52.17,101330,86691,45286,1,23225,23510,29262,16097,103
3339422,28.84,52.17,101329,86340,45317,1,23613,23935,29258,16099,104
3340422,28.84,52.14,101329,86166,45919,1,23693,24509,29214,16099,105
3341422,28.84,52.14,101328,86340,45888,1,23935,24534,29290,16092,106
3342422,28.85,52.12,101329,87134,46388,1,24327,24509,29262,16095,107
3343422,28.85,52.11,101328,87045,46576,1,24742,25165,29265,16094,108
3344422,28.85,52.1,101329,86691,46639,1,24826,25182,29262,16086,109
3345422,28.85,52.09,101329,86956,46940,1,24843,25054,29268,16086,110
3346422,28.85,52.08,101329,86779,46734,1,24944,25370,29268,16082,111
3347422,28.85,52.09,101330,86868,46340,1,25182,24851,29268,16082,112
3348422,28.85,52.07,101330,87045,46435,1,24717,24717,29280,16084,113
3349422,28.85,52.07,101330,87312,45919,1,24286,23911,29243,16084,114
3350422,28.85,52.06,101330,86956,45872,1,24212,23959,29231,16083,115
3351422,28.85,52.05,101330,87491,46293,1,24393,24526,29244,16078,116
3352422,28.85,52.05,101330,87223,46655,1,25148,25250,29306,16079,117
