timestamp,BME688_TEMP,BME688_HUM,BME688_PRES,BME688_R,ENS160_R0,ENS160_R1,ENS160_R2,ENS160_R3,SGP41_VOC,SGP41_NOX,timestamp_s
3236224,28.95,54.1,101278,44991,98170,1,172237,25190,27294,16531,0
3237224,28.86,54.03,101276,49060,50262,1,77909,8451,27842,16527,1
3238224,28.8,53.93,101274,53322,56182,1,87440,10699,28093,16442,2
3239224,28.77,53.82,101272,58036,59954,1,93881,12167,28302,16379,3
3240224,28.75,53.72,101272,62454,63677,1,98804,13368,28484,16330,4
3241224,28.73,53.62,101270,66338,66182,1,103318,14548,28594,16281,5
3242224,28.73,53.55,101270,70271,65958,1,105938,15198,28719,16241,6
3243224,28.72,53.45,101269,73605,69534,1,109178,15860,28820,16200,7
3244224,28.72,53.4,101269,77411,71419,1,112099,16389,28874,16171,8
3245224,28.73,53.34,101268,80553,72810,1,114359,16965,28943,16139,9
3246224,28.73,53.29,101269,83143,74228,1,116982,17466,29063,16113,10
3247224,28.73,53.26,101268,85733,75342,1,120928,17994,29060,16081,11
3248224,28.74,53.22,101267,88489,76317,1,121009,18363,29143,16062,12
3249224,28.74,53.2,101267,90363,77856,1,123241,18854,29097,16035,13
3250224,28.75,53.17,101267,92418,79212,1,124837,18937,29188,16009,14
3251224,28.75,53.14,101267,95754,79750,1,126410,19550,29218,15992,15
3252224,28.76,53.12,101266,97282,79939,1,128785,19669,29239,15972,16
3253224,28.77,53.11,101267,98575,81358,1,130320,19910,29243,15944,17
3254224,28.77,53.1,101267,100727,82384,1,132006,20637,29293,15933,18
3255265,28.77,53.08,101266,102175,84416,1,133896,20862,29328,15913,19
3256314,28.78,53.08,101267,102728,83676,1,135629,21456,29334,15888,20
3257223,28.79,53.07,101266,105068,83676,1,135629,21456,29349,15881,20
3258224,28.79,53.07,101266,106113,85191,1,139305,22008,29398,15860,22
3259224,28.79,53.04,101265,107045,85857,1,141443,22308,29381,15853,23
3260224,28.8,53.04,101265,108199,85711,1,140679,22582,29382,15826,24
3261224,28.8,53.02,101265,109098,88094,1,142596,22559,29344,15812,25
3262224,28.81,53,101266,109659,88542,1,143322,22735,29355,15801,26
3263224,28.81,52.97,101266,110440,85335,1,146659,22882,29381,15789,27
3264224,28.82,52.95,101266,111087,89567,1,146560,22874,29388,15777,28
3265224,28.82,52.94,101266,111522,89113,1,147007,22627,29375,15761,29
3266224,28.83,52.91,101266,112552,88452,1,147655,22429,29386,15746,30
3267224,28.84,52.9,101266,112924,89506,1,147805,22627,29407,15733,31
3268224,28.84,52.88,101267,113676,90175,1,149313,22475,29398,15723,32
3269224,28.85,52.86,101266,114285,89992,1,149465,22673,29412,15713,33
3270224,28.86,52.86,101266,114901,91901,1,151759,23107,29410,15705,34
3271224,28.87,52.85,101266,115133,91065,1,152635,23494,29430,15694,35
3272224,28.88,52.82,101266,115445,92243,1,152016,23709,29451,15688,36
3273224,28.89,52.8,101266,115994,92493,1,155187,23838,29480,15674,37
3274275,28.89,52.79,101266,116152,91932,1,155187,24098,29418,15662,38
3275335,28.89,52.78,101266,116549,92150,1,156506,23502,29453,15654,39
3276384,28.89,52.76,101266,116868,92431,1,156506,23750,29445,15642,40
3277223,28.91,52.73,101266,118738,92431,1,156506,23750,29468,15637,40
3278224,28.92,52.72,101266,117999,92996,1,155397,23557,29454,15639,42
3279224,28.92,52.67,101266,118986,92901,1,157782,23233,29450,15633,43
3280224,28.92,52.66,101266,118821,91188,1,156135,23264,29441,15620,44
3281224,28.93,52.65,101267,119486,92556,1,158103,23154,29418,15618,45
3282224,28.93,52.63,101267,119486,92118,1,157462,23139,29443,15606,46
3283224,28.94,52.63,101266,119654,92713,1,156824,23446,29438,15603,47
3284224,28.94,52.61,101266,119319,92650,1,158692,23107,29452,15598,48
3285224,28.95,52.61,101266,120075,93596,1,160801,23367,29475,15585,49
3286224,28.95,52.61,101266,120413,93216,1,160475,23312,29505,15578,50
3287224,28.96,52.59,101266,120159,93311,1,161346,23327,29462,15577,51
3288224,28.96,52.58,101266,120669,94359,1,161346,23502,29459,15578,52
3289224,28.96,52.57,101266,121355,93374,1,160258,23391,29449,15566,53
3290224,28.96,52.54,101265,120840,93786,1,160910,23645,29435,15558,54
3291224,28.97,52.52,101266,120669,94807,1,161292,23549,29468,15550,55
3292235,28.97,52.52,101265,121528,93754,1,159716,23391,29462,15554,56
3293284,28.97,52.51,101265,121528,93342,1,161784,23581,29470,15543,57
3294223,28.97,52.51,101266,122752,93342,1,161784,23581,29464,15540,57
3295224,28.98,52.5,101266,122488,94199,1,164044,23557,29460,15533,59
3296224,28.98,52.5,101266,122752,94551,1,162003,23565,29485,15531,60
3297224,28.98,52.48,101265,122752,94615,1,164378,23549,29470,15526,61
3298224,28.98,52.46,101266,122929,95032,1,162497,23758,29477,15526,62
3299224,28.98,52.46,101265,123731,94295,1,163435,23422,29462,15519,63
3300224,28.98,52.44,101264,123017,94839,1,162717,23462,29452,15515,64
3301224,28.99,52.45,101265,123195,94839,1,165775,23685,29472,15513,65
3302224,28.99,52.43,101265,123106,94711,1,164100,23549,29457,15514,66
3303224,28.99,52.43,101265,123641,94871,1,162717,23685,29462,15504,67
3304224,29,52.42,101266,123552,95000,1,164600,23549,29480,15509,68
3305224,29,52.42,101266,124817,94008,1,163214,23565,29457,15498,69
3306224,29,52.41,101265,123910,95354,1,164211,23621,29433,15490,70
3307224,29.01,52.4,101264,123821,95064,1,165103,23478,29462,15490,71
3308224,29.01,52.4,101264,124453,94583,1,164433,23774,29473,15488,72
3309224,29.01,52.39,101264,123552,95516,1,164155,23870,29466,15486,73
3310224,29.02,52.38,101264,124453,94936,1,164545,23677,29451,15481,74
3311245,29.02,52.37,101263,123821,95322,1,164712,23782,29456,15480,75
3312305,29.02,52.36,101263,123731,96262,1,168490,24041,29481,15474,76
3313354,29.02,52.35,101263,123552,96458,1,166449,23870,29484,15474,77
3314223,29.03,52.36,101263,124725,96458,1,166449,23870,29491,15468,77
3315224,29.04,52.34,101263,124634,96132,1,165831,23838,29469,15464,79
3316224,29.04,52.33,101262,124725,96132,1,168490,23984,29492,15462,80
3317224,29.05,52.35,101262,125183,96197,1,166112,24492,29468,15458,81
3318224,29.05,52.31,101262,125736,96916,1,169462,24418,29462,15458,82
3319224,29.05,52.31,101262,125183,96949,1,166280,24534,29467,15454,83
3320224,29.05,52.3,101262,125551,96949,1,168376,24352,29496,15456,84
3321224,29.06,52.29,101263,125736,96458,1,169979,24600,29500,15448,85
3322224,29.06,52.3,101263,125736,96588,1,168490,24509,29461,15455,86
3323224,29.07,52.29,101262,126576,97839,1,169691,24344,29462,15447,87
3324224,29.07,52.29,101262,126015,98038,1,168946,24742,29481,15445,88
3325224,29.08,52.28,101263,126576,97310,1,170555,24459,29497,15445,89
3326224,29.09,52.25,101263,127047,97640,1,170786,24809,29495,15441,90
3327224,29.1,52.26,101264,126952,98737,1,172179,25370,29477,15442,91
3328224,29.1,52.24,101264,127521,98904,1,174408,25777,29532,15435,92
3329224,29.11,52.23,101262,128000,98871,1,172646,26031,29532,15444,93
3330254,29.11,52.21,101262,127331,98470,1,172997,25812,29512,15435,94
3331223,29.11,52.19,101263,128096,98470,1,172997,25812,29509,15432,94
3332224,29.11,52.19,101262,128000,98104,1,174585,25672,29483,15428,96
3333224,29.11,52.18,101261,128288,98971,1,172997,25353,29506,15426,97
3334224,29.11,52.17,101261,128578,98137,1,172646,25276,29462,15424,98
