timestamp,BME688_TEMP,BME688_HUM,BME688_PRES,BME688_R,ENS160_R0,ENS160_R1,ENS160_R2,ENS160_R3,SGP41_VOC,SGP41_NOX,timestamp_s
1470604,28.91,47.92,101429,25152,28764,1,10967,11279,26702,16162,0
1471654,28.8,47.89,101429,31785,33147,1,13656,15029,27274,16133,1
1472704,28.73,47.78,101429,38740,35903,1,15394,17034,27594,16057,2
1473754,28.68,47.69,101429,44802,37379,1,16697,18375,27879,16009,3
1474804,28.65,47.6,101428,50996,39126,1,18043,19796,28085,15981,4
1475854,28.63,47.54,101428,55471,40446,1,18759,20637,28235,15951,5
1476904,28.61,47.47,101428,59451,41781,1,19776,21319,28344,15927,6
1477954,28.6,47.4,101428,62500,42509,1,20264,21897,28428,15917,7
1479004,28.6,47.35,101427,65173,43410,1,20933,22582,28583,15898,8
1480054,28.6,47.32,101427,67173,44241,1,21661,22797,28614,15891,9
1481104,28.6,47.26,101427,69697,44950,1,21904,23107,28699,15881,10
1482154,28.6,47.24,101427,71329,45286,1,22429,23534,28740,15865,11
1483204,28.61,47.21,101428,72541,46090,1,22712,23565,28830,15860,12
1484258,28.61,47.19,101428,73988,46639,1,22866,23734,28838,15855,13
1485302,28.62,47.16,101428,75095,46608,1,23414,23959,28866,15844,14
1486356,28.62,47.12,101428,76167,47211,1,23677,24426,28937,15835,15
1487399,28.63,47.11,101428,77062,47099,1,23911,24418,28925,15825,16
1487821,28.7,47.12,101427,83143,47099,1,23911,24418,28948,15823,17
1488583,28.73,47.08,101428,83224,48507,1,23968,24784,28955,15812,17
1489583,28.73,47.01,101428,81946,48196,1,24860,24584,28986,15807,18
1490583,28.72,46.97,101427,82024,48261,1,24701,24860,28986,15799,19
1491604,28.71,46.94,101427,81554,48952,1,24936,24995,29015,15794,21
1492654,28.71,46.93,101427,81789,48886,1,24927,25114,29025,15791,22
1493704,28.7,46.92,101427,82262,49285,1,25054,25473,29034,15789,23
1494754,28.7,46.9,101427,82103,49402,1,25499,25046,29053,15771,24
1495804,28.7,46.9,101426,82580,49118,1,25456,25250,29027,15779,25
1496854,28.7,46.88,101427,82901,49218,1,25611,25396,29042,15760,26
1497904,28.7,46.87,101427,83062,49771,1,25499,25122,29038,15765,27
1498954,28.7,46.86,101427,83306,50245,1,25620,25542,29057,15759,28
1500004,28.7,46.85,101427,83469,49821,1,26040,25742,29075,15750,29
1501054,28.71,46.83,101427,83632,50415,1,25996,25594,29079,15753,30
1502104,28.71,46.82,101427,84127,50330,1,26368,25499,29088,15744,31
1503154,28.71,46.82,101428,84377,50552,1,26163,25759,29095,15744,32
1504204,28.72,46.81,101428,84712,50211,1,26084,25847,29098,15744,33
1505258,28.72,46.81,101427,84377,50535,1,26484,25812,29085,15729,34
1506302,28.72,46.78,101427,85304,50296,1,26439,25430,29088,15720,35
1507356,28.72,46.77,101427,85475,50655,1,26700,25751,29099,15720,36
1508399,28.73,46.77,101426,85733,50637,1,26583,26243,29114,15717,37
1508821,28.8,46.77,101427,91822,50637,1,26583,26243,29102,15715,38
1509583,28.83,46.72,101427,91428,50999,1,26682,25742,29105,15711,38
1510583,28.82,46.69,101427,89604,50947,1,26773,25934,29120,15709,39
1511583,28.81,46.65,101427,88858,51484,1,26592,25594,29161,15707,40
1512604,28.8,46.64,101428,88123,51345,1,26619,26005,29152,15706,42
1513654,28.8,46.63,101428,88215,51449,1,27064,25473,29139,15702,43
1514704,28.79,46.63,101429,87761,51676,1,26845,25794,29122,15687,44
1515754,28.79,46.62,101428,87761,51275,1,26836,25820,29126,15693,45
1516804,28.78,46.62,101427,87491,51449,1,26863,25742,29114,15687,46
1517854,28.78,46.64,101428,87581,51171,1,27128,26217,29120,15684,47
1518904,28.78,46.63,101429,87223,51869,1,26863,25698,29116,15680,48
1519954,28.78,46.62,101428,87942,52239,1,26854,25838,29123,15679,49
1521004,28.78,46.61,101428,87312,51397,1,27046,25672,29133,15668,50
1522054,28.78,46.62,101427,86956,51816,1,26964,26031,29127,15672,51
1523104,28.78,46.62,101427,87761,52062,1,27037,25794,29149,15667,52
1524154,28.79,46.61,101428,87761,51641,1,27331,26084,29124,15661,53
1525204,28.79,46.6,101427,88215,51781,1,27396,25961,29140,15659,54
1526258,28.79,46.62,101427,88123,51729,1,27174,25698,29139,15655,55
1527301,28.79,46.6,101427,88215,52204,1,27064,25908,29117,15654,56
1527723,28.86,46.62,101427,96078,52204,1,27064,25908,29148,15657,57
1528583,28.87,46.58,101427,94692,52452,1,27331,26137,29131,15655,57
1529583,28.86,46.53,101428,91822,52310,1,27183,25829,29145,15646,58
1530583,28.86,46.51,101428,91038,52736,1,27193,25873,29139,15644,59
1531583,28.85,46.51,101428,90363,52168,1,27666,26155,29117,15642,60
1532583,28.85,46.51,101429,90459,52452,1,27128,25733,29159,15639,61
1533604,28.85,46.5,101429,89982,52345,1,27368,25655,29168,15637,63
1534654,28.84,46.48,101429,89793,52345,1,27276,25890,29141,15631,64
1535704,28.84,46.49,101428,89604,52701,1,27657,25794,29142,15630,65
1536754,28.84,46.47,101428,89323,52469,1,27498,25768,29148,15622,66
1537803,28.84,46.47,101428,89416,52398,1,27340,25864,29146,15627,67
1538582,28.87,46.48,101428,91624,52398,1,27340,25864,29114,15626,67
1539583,28.87,46.45,101427,91135,52647,1,27779,25934,29114,15618,68
1540583,28.87,46.45,101428,90941,53005,1,27535,25890,29151,15615,69
1541583,28.88,46.44,101427,90651,52363,1,27675,25777,29129,15611,70
1542583,28.88,46.43,101427,90941,52540,1,27892,25525,29134,15605,71
1543583,28.88,46.42,101426,90172,52540,1,27331,25812,29148,15605,72
1544583,28.88,46.4,101426,90555,53112,1,27601,25698,29125,15607,73
1545583,28.88,46.42,101427,90844,53095,1,27470,25961,29132,15602,74
1546583,28.88,46.4,101428,90077,53112,1,27601,25925,29122,15596,75
1547583,28.89,46.4,101428,90555,52933,1,27685,26057,29146,15595,76
1548583,28.89,46.37,101427,91233,53202,1,27461,26199,29123,15603,77
1549583,28.89,46.38,101428,91038,52951,1,27535,25733,29131,15589,78
1550583,28.9,46.36,101427,90941,52969,1,27939,25698,29129,15587,79
1551583,28.9,46.34,101427,91038,52736,1,27854,26208,29164,15593,80
1552583,28.9,46.35,101427,91624,53059,1,27986,26155,29133,15583,81
1553583,28.9,46.35,101427,91233,53059,1,27563,26110,29114,15576,82
1554614,28.91,46.33,101427,90844,53059,1,28072,26163,29089,15580,84
1555664,28.9,46.33,101427,90941,52790,1,27798,26243,29129,15580,85
1556714,28.91,46.33,101426,89982,53419,1,27629,26093,29143,15577,86
1557764,28.91,46.32,101426,90459,53311,1,28157,25751,29130,15568,87
1558814,28.91,46.32,101427,90267,53419,1,27704,25759,29151,15573,88
1559864,28.91,46.29,101427,90077,53166,1,28043,26102,29143,15572,89
1560914,28.92,46.3,101427,89887,53202,1,27741,25952,29120,15571,90
1561964,28.92,46.28,101427,90459,53546,1,27582,25987,29099,15567,91
1563014,28.93,46.29,101427,90747,53636,1,27939,26314,29155,15559,92
