timestamp,BME688_TEMP,BME688_HUM,BME688_PRES,BME688_R,ENS160_R0,ENS160_R1,ENS160_R2,ENS160_R3,SGP41_VOC,SGP41_NOX,timestamp_s
1480117,27.99,50.8,101337,25211,25199,1,10753,11546,26897,17010,0
1481156,27.89,50.72,101337,32364,28657,1,13121,14993,27398,17001,1
1482105,27.84,50.66,101338,40012,28657,1,13121,14993,27709,16934,1
1483106,27.8,50.54,101337,46209,31177,1,14757,16993,27925,16898,2
1484106,27.78,50.46,101337,52534,31752,1,16054,18400,28079,16863,3
1485106,27.76,50.36,101336,57450,33712,1,17266,19274,28252,16837,4
1486106,27.75,50.3,101337,61776,34814,1,18122,20147,28331,16822,5
1487106,27.75,50.24,101336,65222,35806,1,18771,20883,28443,16802,6
1488106,27.75,50.18,101337,68522,36343,1,19267,21391,28544,16789,7
1489106,27.75,50.12,101337,71329,37026,1,20100,21683,28600,16781,8
1490106,27.76,50.09,101337,72976,37620,1,20408,22369,28689,16766,9
1491106,27.76,50.02,101337,75360,38055,1,20919,22528,28724,16757,10
1492106,27.77,50.01,101337,77201,38327,1,21254,22589,28787,16745,11
1493106,27.77,49.96,101337,78987,38496,1,21734,23241,28795,16735,12
1494106,27.78,49.94,101337,79281,38902,1,21845,23391,28874,16726,13
1495106,27.78,49.91,101337,80553,39272,1,21986,23391,28906,16716,14
1496106,27.79,49.88,101337,82182,40078,1,22758,23766,28957,16711,15
1497106,27.8,49.86,101337,83143,39983,1,22797,23959,28964,16709,16
1498106,27.8,49.83,101336,83387,40295,1,22920,24098,28993,16701,17
1499106,27.81,49.8,101336,84712,40254,1,23233,24294,29046,16701,18
1500106,27.82,49.77,101336,85733,40596,1,23241,24368,29027,16694,19
1501106,27.83,49.75,101336,86515,40983,1,23661,24098,29061,16687,20
1502106,27.83,49.73,101336,86428,40665,1,23774,24742,29038,16687,21
1503106,27.83,49.7,101336,87312,40227,1,23814,24426,29057,16677,22
1504106,27.84,49.68,101336,87942,41011,1,23976,24667,29100,16672,23
1505137,27.84,49.67,101337,88306,41457,1,24098,24642,29114,16667,25
1506177,27.84,49.64,101337,89229,41513,1,24261,24768,29112,16665,26
1507217,27.84,49.63,101337,88950,41373,1,24286,24885,29081,16657,27
1508256,27.84,49.6,101336,89698,41345,1,24551,24936,29123,16653,28
1509105,27.86,49.6,101337,91135,41345,1,24551,24936,29207,16652,28
1510106,27.87,49.56,101337,91428,41668,1,24734,25131,29148,16645,29
1511106,27.87,49.54,101336,91723,41895,1,24575,25046,29176,16638,30
1512106,27.88,49.52,101336,92020,41753,1,24667,25190,29199,16638,31
1513106,27.89,49.5,101336,92020,41795,1,24575,25131,29165,16637,32
1514106,27.89,49.48,101336,93910,42122,1,24978,25344,29181,16634,33
1515106,27.9,49.47,101337,94273,42236,1,24953,24961,29177,16629,34
