timestamp,BME688_TEMP,BME688_HUM,BME688_PRES,BME688_R,ENS160_R0,ENS160_R1,ENS160_R2,ENS160_R3,SGP41_VOC,SGP41_NOX,timestamp_s
3847406,29.13,53.54,101409,15869,20066,1,9141,6828,26769,16788,0
3848385,28.99,53.5,101408,21283,20066,1,9141,6828,27305,16743,0
3849386,28.9,53.41,101408,27101,23280,1,10841,9206,27572,16593,1
3850386,28.84,53.33,101407,32413,25404,1,11854,10845,27788,16451,2
3851386,28.8,53.24,101406,37448,27276,1,13042,11862,27958,16342,3
3852386,28.77,53.15,101406,42188,28745,1,13988,13144,28049,16237,4
3853386,28.76,53.05,101406,46360,29835,1,15049,13965,28210,16153,5
3854386,28.75,52.97,101406,51364,31019,1,15973,14817,28261,16071,6
3855386,28.75,52.91,101406,54759,31838,1,16725,15530,28312,16006,7
3856386,28.75,52.83,101406,58076,32513,1,17704,16267,28398,15945,8
3857386,28.75,52.77,101407,60894,33781,1,18307,16686,28460,15889,9
3858386,28.76,52.68,101408,64000,34230,1,18963,17196,28484,15837,10
3859386,28.77,52.62,101408,65272,35146,1,19702,17891,28569,15800,11
3860386,28.77,52.58,101408,67439,35842,1,19971,18264,28553,15756,12
3861386,28.78,52.52,101408,68854,36516,1,20771,18702,28587,15727,13
3862386,28.79,52.47,101408,70855,37026,1,21312,19040,28629,15691,14
3863386,28.8,52.46,101407,72357,37747,1,21771,19523,28640,15663,15
3864386,28.8,52.43,101408,74181,37786,1,22218,19742,28649,15637,16
3865386,28.81,52.4,101408,74570,37569,1,23092,19951,28718,15619,17
3866407,28.82,52.36,101408,77622,38158,1,23534,20195,28694,15590,19
3867467,28.83,52.33,101408,77271,38705,1,23534,20623,28741,15566,20
3868517,28.83,52.29,101409,78551,39060,1,24065,20876,28736,15557,21
3869577,28.84,52.25,101410,79429,39942,1,24919,21247,28741,15540,22
3870627,28.84,52.24,101411,79651,39592,1,25131,21727,28731,15513,23
3871687,28.85,52.21,101411,80935,39821,1,25344,22008,28770,15506,24
3872737,28.86,52.19,101411,82103,40432,1,25777,22038,28812,15495,25
3873797,28.86,52.16,101410,82182,40569,1,26413,22789,28776,15476,26
3874847,28.87,52.12,101411,81946,41219,1,26845,22758,28819,15472,27
3875907,28.88,52.1,101411,83714,41011,1,26882,22920,28821,15458,28
3876956,28.89,52.07,101411,83143,41824,1,27433,23446,28793,15436,29
3877385,28.97,52.1,101412,90172,41824,1,27433,23446,28798,15435,29
3878386,28.97,52.01,101410,88581,41838,1,27563,23510,28789,15439,30
3879386,28.97,51.97,101410,87045,42336,1,28282,23549,28812,15427,31
3880386,28.97,51.92,101410,87942,42293,1,28969,23406,28847,15418,32
3881386,28.97,51.9,101411,86340,42538,1,28541,24041,28825,15406,33
3882386,28.97,51.88,101410,88306,42236,1,28282,23605,28826,15401,34
3883386,28.98,51.87,101408,87312,42696,1,28969,24065,28811,15394,35
3884386,28.98,51.85,101410,88306,43190,1,28920,23992,28835,15383,36
3885407,28.98,51.83,101412,88858,43030,1,29325,24459,28848,15388,38
3886457,28.99,51.81,101410,88858,43249,1,30119,24294,28828,15377,39
3887517,28.99,51.78,101410,88489,43440,1,29825,24418,28868,15372,40
3888567,28.99,51.76,101410,89698,44002,1,30550,24600,28885,15363,41
3889627,29,51.74,101410,89698,44571,1,30303,24826,28849,15355,42
3890677,29,51.73,101410,88215,44241,1,30303,24751,28857,15353,43
3891737,29,51.71,101409,88765,43794,1,31061,24517,28892,15355,44
3892786,29.01,51.7,101408,90363,44753,1,30727,24609,28865,15342,45
3893385,29.05,51.69,101408,95970,44753,1,30727,24609,28839,15338,45
3894386,29.06,51.65,101408,94117,44076,1,30873,24860,28841,15335,46
3895386,29.07,51.6,101408,92219,43868,1,30998,25370,28850,15331,47
3896386,29.07,51.59,101407,92219,44859,1,30988,26005,28864,15329,48
3897386,29.07,51.57,101407,91428,43779,1,31623,25165,28876,15332,49
3898386,29.08,51.54,101407,93858,45026,1,31463,25603,28899,15321,50
3899386,29.08,51.53,101407,91822,45981,1,31914,25890,28962,15327,51
3900386,29.09,51.52,101406,93807,44526,1,32011,25551,28921,15322,52
3901386,29.09,51.49,101407,91723,45347,1,32502,25404,28908,15322,53
3902386,29.1,51.48,101407,91330,44481,1,31881,25396,28905,15312,54
3903386,29.1,51.46,101407,90651,45347,1,31677,25199,28884,15308,55
3904397,29.11,51.43,101407,90941,44723,1,31763,25396,28897,15309,56
3905457,29.11,51.42,101408,91921,46012,1,32033,25190,28871,15303,58
3906506,29.12,51.4,101407,94221,45594,1,32141,25276,28864,15302,59
3907385,29.13,51.41,101407,95220,45594,1,32141,25276,28872,15297,59
3908386,29.14,51.36,101406,95326,45409,1,32174,25224,28887,15295,60
3909386,29.15,51.36,101406,95540,45594,1,32098,25165,28888,15298,61
3910386,29.15,51.34,101406,94797,45072,1,31602,25182,28869,15289,62
3911386,29.16,51.34,101405,94117,46388,1,32000,25430,28891,15288,63
3912386,29.17,51.35,101406,95808,45810,1,32011,25421,28892,15284,64
3913386,29.18,51.34,101406,96024,44511,1,32327,25293,28886,15282,65
3914386,29.18,51.32,101406,95540,45255,1,31979,25379,28876,15278,66
3915386,29.19,51.32,101406,95380,45578,1,32272,25301,28893,15272,67
3916386,29.19,51.3,101406,95700,44798,1,32022,24826,28880,15282,68
3917386,29.19,51.29,101406,95647,45225,1,31925,25190,28880,15271,69
3918386,29.2,51.26,101406,95061,44829,1,32109,25097,28878,15279,70
3919386,29.2,51.25,101405,95486,44996,1,31914,25267,28899,15265,71
3920386,29.21,51.24,101404,95114,45748,1,32546,25499,28916,15262,72
3921386,29.22,51.2,101405,96622,45702,1,32185,25855,28906,15266,73
3922386,29.22,51.17,101405,96896,45919,1,32690,25794,28938,15265,74
3923397,29.22,51.13,101405,96786,45872,1,33701,26252,28928,15261,75
3924446,29.22,51.1,101405,97116,46829,1,33599,26836,28892,15260,77
3925385,29.23,51.09,101406,98575,46829,1,33599,26836,28948,15258,77
3926386,29.23,51.1,101406,98404,46075,1,33633,26502,28899,15262,78
3927386,29.24,51.12,101405,99090,47115,1,34080,26529,28927,15261,79
3928386,29.24,51.15,101406,99205,47919,1,33953,27037,28920,15259,80
3929386,29.24,51.2,101405,99669,45966,1,34544,27526,28905,15256,81
3930386,29.24,51.21,101405,99960,46877,1,34661,27387,28921,15254,82
3931386,29.24,51.2,101405,99785,46513,1,34334,27573,28941,15246,83
3932386,29.24,51.19,101405,98918,46153,1,34497,26682,28901,15249,84
3933386,29.24,51.17,101405,98689,46356,1,34114,26745,28879,15248,85
