timestamp,BME688_TEMP,BME688_HUM,BME688_PRES,BME688_R,ENS160_R0,ENS160_R1,ENS160_R2,ENS160_R3,SGP41_VOC,SGP41_NOX,timestamp_s
3849672,29.35,51.62,101413,15169,20778,1,6416,5802,26757,16346,0
3850722,29.22,51.58,101411,19637,24801,1,7720,8095,27297,16252,1
3851772,29.14,51.48,101411,24729,27545,1,8718,9791,27591,16106,2
3852822,29.08,51.4,101411,29297,29574,1,9624,10856,27813,15985,3
3853872,29.04,51.3,101411,33773,31731,1,10420,11879,27970,15877,4
3854922,29.02,51.2,101412,37547,33102,1,11207,12849,28106,15788,5
3855972,29.01,51.13,101412,40816,34369,1,11979,13527,28246,15699,6
3857022,29,51.05,101411,43925,36098,1,12544,14548,28318,15624,7
3858072,28.99,51,101412,46460,36963,1,13354,14932,28412,15565,8
3859122,28.99,50.94,101412,49718,38094,1,13969,15541,28449,15501,9
3860172,28.99,50.86,101412,52053,39458,1,14792,16109,28518,15441,10
3861222,29,50.83,101411,53928,40391,1,15090,16697,28550,15396,11
3862272,29,50.79,101412,55615,41668,1,15913,17354,28628,15352,12
3863315,29.01,50.74,101411,57142,42008,1,16191,17632,28585,15302,13
3863737,29.08,50.76,101412,62181,42008,1,16191,17632,28646,15288,14
3864651,29.1,50.68,101412,62914,43220,1,16948,18128,28663,15261,14
3865651,29.1,50.63,101412,63194,44106,1,17330,18456,28694,15235,15
3866651,29.1,50.6,101413,64386,44981,1,17945,19079,28717,15199,16
3867651,29.1,50.56,101413,64532,45455,1,18251,19622,28726,15177,17
3868651,29.1,50.54,101413,65272,45903,1,18588,19622,28743,15146,18
3869651,29.1,50.51,101413,65674,46482,1,18727,19702,28762,15129,19
3870672,29.1,50.5,101414,66338,46028,1,19079,20032,28791,15100,21
3871722,29.1,50.46,101414,66545,46829,1,19072,19749,28767,15097,22
3872772,29.1,50.47,101414,67226,46545,1,19398,19964,28771,15077,23
3873822,29.1,50.45,101416,67546,46671,1,19497,19971,28813,15058,24
3874872,29.11,50.41,101415,67976,47403,1,19576,20264,28815,15031,25
3875922,29.11,50.4,101415,68577,48033,1,19776,20526,28839,15027,26
