timestamp,BME688_TEMP,BME688_HUM,BME688_PRES,BME688_R,ENS160_R0,ENS160_R1,ENS160_R2,ENS160_R3,SGP41_VOC,SGP41_NOX,timestamp_s
4115182,28.99,53.54,101248,20765,26066,1,13763,8158,27690,16747,0
4116232,28.93,53.47,101248,24488,30232,1,16652,10598,28280,16697,1
4117271,28.89,53.36,101248,28212,33057,1,18778,11979,28569,16599,2
4118160,28.89,53.27,101247,32168,33057,1,18778,11979,28746,16534,2
4119161,28.88,53.15,101247,35251,35384,1,20575,13161,28935,16475,3
4120161,28.87,53.05,101247,37780,36664,1,22135,13665,29081,16431,4
4121161,28.87,52.97,101248,39937,38404,1,23367,13518,29090,16379,5
4122161,28.88,52.9,101248,41653,40254,1,24401,12767,29221,16344,6
4123161,28.88,52.82,101247,42996,41108,1,25224,12413,29234,16311,7
4124161,28.88,52.75,101247,44153,41838,1,25646,12184,29233,16271,8
4125161,28.89,52.72,101247,45325,42972,1,26484,12434,29247,16237,9
4126161,28.89,52.68,101247,46360,43764,1,27424,12689,29237,16204,10
4127161,28.9,52.65,101246,48120,45026,1,28397,12945,29229,16176,11
4128161,28.9,52.64,101246,48976,45872,1,28842,13555,29191,16152,12
4129161,28.91,52.61,101246,50245,46262,1,29414,13908,29170,16120,13
4130161,28.91,52.6,101246,50965,46718,1,30355,13260,29139,16100,14
4131161,28.92,52.56,101247,51895,47355,1,30344,13086,29171,16077,15
4132161,28.92,52.54,101246,52405,47419,1,31019,13211,29099,16053,16
4133161,28.93,52.52,101247,53255,48458,1,31645,13596,29123,16030,17
4134161,28.93,52.5,101246,53860,48261,1,32272,13610,29132,16013,18
4135161,28.94,52.48,101246,54549,49019,1,32250,14078,29132,15990,19
4136161,28.94,52.45,101246,55255,48919,1,32591,13941,29131,15973,20
4137202,28.94,52.44,101246,55327,49335,1,33428,14212,29122,15948,22
4138241,28.95,52.42,101246,55834,50058,1,33428,14583,29126,15935,23
4139160,28.96,52.41,101246,57296,50058,1,33428,14583,29130,15916,23
4140161,28.97,52.4,101246,57722,50262,1,34323,14943,29084,15909,24
4141161,28.98,52.38,101246,58554,51171,1,34579,15285,29123,15891,25
4142161,28.98,52.36,101246,58999,50843,1,34755,14802,29100,15873,26
4143161,28.99,52.35,101246,59286,51816,1,35649,15594,29162,15861,27
4144161,29,52.34,101246,59369,51957,1,35384,15833,29191,15845,28
4145161,29.01,52.31,101246,59743,51904,1,36220,16251,29145,15828,29
4146161,29.01,52.29,101246,60164,52754,1,36615,16284,29165,15818,30
4147161,29.02,52.27,101246,60037,52062,1,35964,14993,29181,15810,31
4148161,29.03,52.24,101246,60462,51974,1,36294,15105,29215,15792,32
4149161,29.04,52.23,101246,60807,52647,1,36553,15131,29218,15785,33
4150161,29.04,52.21,101246,60807,52879,1,36565,15141,29212,15781,34
4151161,29.05,52.19,101246,61068,53564,1,36689,14882,29226,15763,35
4152161,29.06,52.17,101247,61553,52826,1,36578,15100,29226,15756,36
4153161,29.07,52.16,101247,61597,53528,1,36615,15368,29230,15751,37
4154161,29.07,52.15,101247,61776,53691,1,36789,16081,29222,15742,38
4155161,29.08,52.12,101247,61156,53891,1,37811,16528,29248,15731,39
4156161,29.09,52.1,101247,61288,54147,1,38236,16635,29238,15728,40
4157161,29.09,52.06,101248,61686,53528,1,38378,16816,29250,15722,41
4158160,29.1,52.03,101247,62271,54257,1,38107,15973,29242,15711,42
4159160,29.1,52,101246,62454,54257,1,38107,15973,29229,15700,43
4160161,29.1,51.98,101246,62868,54700,1,38535,16005,29269,15689,44
4161161,29.1,51.94,101247,63570,54294,1,38574,15822,29250,15683,45
4162161,29.11,51.94,101246,63760,55558,1,38378,15876,29248,15681,46
4163161,29.11,51.93,101245,63808,54607,1,38561,16081,29256,15675,47
4164161,29.11,51.91,101245,64240,54478,1,39007,16748,29249,15674,48
4165161,29.12,51.93,101245,64679,55784,1,39700,16771,29272,15659,49
4166161,29.12,51.9,101245,64728,55727,1,39969,17051,29277,15659,50
4167161,29.13,51.92,101246,64875,56087,1,40078,17436,29309,15652,51
4168161,29.13,51.88,101246,65222,55633,1,40336,17484,29295,15635,52
4169161,29.14,51.88,101246,65322,56353,1,40186,17034,29354,15641,53
4170161,29.15,51.86,101246,65624,56144,1,39956,16545,29369,15632,54
4171161,29.15,51.86,101246,65877,55558,1,40569,16517,29389,15624,55
4172161,29.16,51.85,101247,65523,56182,1,40446,16725,29358,15629,56
4173161,29.17,51.82,101247,65624,55727,1,40241,17348,29342,15621,57
4174161,29.17,51.81,101246,65573,56890,1,40596,17561,29333,15617,58
4175161,29.18,51.81,101246,65322,56794,1,40858,17336,29332,15612,59
4176161,29.18,51.78,101246,65725,56353,1,41261,17818,29358,15605,60
4177161,29.19,51.76,101246,65422,56948,1,41178,18018,29333,15602,61
4178161,29.19,51.74,101245,65877,55822,1,41359,18110,29369,15594,62
4179161,29.2,51.73,101245,65928,57218,1,41485,17915,29348,15594,63
4180182,29.2,51.71,101245,66030,56353,1,41711,17794,29347,15598,65
4181232,29.2,51.72,101245,65928,57568,1,41951,17897,29394,15593,66
4182282,29.21,51.69,101246,66081,56564,1,41951,17866,29392,15592,67
4183321,29.21,51.7,101245,65826,56220,1,41528,17915,29382,15584,68
4184160,29.23,51.69,101246,66753,56220,1,41528,17915,29348,15578,68
4185161,29.24,51.65,101244,66963,57083,1,41401,17764,29387,15582,69
4186161,29.24,51.63,101243,66805,56948,1,41528,17644,29349,15576,70
4187161,29.25,51.61,101243,67068,57025,1,41866,17614,29414,15573,71
4188161,29.26,51.6,101243,67173,57548,1,41178,17395,29374,15566,72
4189161,29.26,51.59,101244,67068,56372,1,41697,16725,29403,15567,73
4190161,29.27,51.57,101244,67706,56621,1,41401,16450,29361,15573,74
4191161,29.27,51.57,101244,67015,56948,1,40858,16523,29383,15566,75
4192161,29.28,51.56,101244,67386,56832,1,41359,17138,29394,15558,76
4193161,29.28,51.54,101244,67279,57704,1,42379,17776,29380,15561,77
4194161,29.28,51.53,101244,67546,57238,1,42638,18431,29377,15556,78
4195161,29.29,51.52,101244,67439,58057,1,43132,18937,29396,15554,79
4196161,29.29,51.5,101244,67226,58451,1,42870,18982,29405,15557,80
4197161,29.3,51.49,101244,66910,57763,1,43381,18759,29387,15542,81
4198161,29.3,51.48,101244,66805,58590,1,43646,18626,29402,15550,82
4199161,29.31,51.47,101244,66858,57607,1,43234,18110,29413,15548,83
4200161,29.31,51.46,101244,67226,58234,1,42928,18233,29416,15548,84
4201161,29.31,51.44,101244,66805,57724,1,42638,18344,29402,15530,85
4202202,29.31,51.42,101244,66649,57587,1,42768,18239,29415,15540,87
4203241,29.31,51.41,101243,67439,58116,1,42972,18184,29385,15536,88
4204160,29.32,51.39,101244,68577,58116,1,42972,18184,29406,15533,88
4205161,29.32,51.37,101244,68632,57841,1,43616,18563,29439,15529,89
4206161,29.32,51.36,101244,68577,57998,1,43572,18320,29398,15531,90
4207161,29.32,51.34,101244,69301,58531,1,43587,18620,29419,15529,91
4208161,29.33,51.34,101244,69021,58313,1,43868,18676,29443,15530,92
4209161,29.32,51.34,101244,69133,59188,1,44181,18931,29448,15529,93
4210161,29.33,51.32,101243,69414,58412,1,45240,18645,29453,15527,94
4211161,29.33,51.31,101243,69584,58451,1,44406,18937,29458,15520,95
4212161,29.33,51.32,101244,69811,59028,1,44647,19248,29431,15522,96
4213161,29.33,51.32,101244,69926,59449,1,45087,19411,29476,15516,97
4214161,29.34,51.3,101245,70387,59489,1,45087,19105,29472,15530,98
4215161,29.34,51.29,101245,70445,59208,1,45332,18771,29490,15518,99
4216161,29.35,51.29,101245,70213,59368,1,44617,18664,29516,15519,100
4217161,29.35,51.29,101245,70445,58550,1,45057,19040,29479,15516,101
4218161,29.36,51.3,101245,69926,59913,1,45363,19241,29515,15513,102
4219161,29.36,51.28,101245,69926,59650,1,44981,19497,29511,15513,103
4220161,29.36,51.3,101245,70271,58471,1,45547,19169,29478,15511,104
4221161,29.37,51.27,101245,69926,59650,1,45087,19079,29501,15507,105
4222161,29.38,51.25,101245,70562,58313,1,45026,18957,29510,15513,106
4223172,29.38,51.26,101246,70445,58848,1,45179,18957,29511,15508,107
4224211,29.39,51.23,101246,70041,59409,1,44768,19131,29494,15504,109
4225160,29.39,51.23,101246,70387,59409,1,44768,19131,29482,15509,109
4226161,29.4,51.21,101246,70503,58968,1,45455,19079,29512,15510,110
4227161,29.4,51.19,101246,70855,59873,1,46121,19215,29511,15499,111
4228161,29.41,51.19,101246,70503,59048,1,45547,19398,29486,15503,112
4229161,29.41,51.17,101245,70503,60341,1,45810,19424,29549,15499,113
4230161,29.42,51.15,101245,70271,59348,1,45440,19749,29537,15494,114
4231161,29.42,51.16,101246,70098,59268,1,46075,20018,29553,15506,115
4232161,29.42,51.15,101246,69926,59832,1,46153,19696,29522,15499,116
4233161,29.43,51.13,101247,70098,59068,1,45286,19536,29540,15502,117
4234161,29.43,51.13,101246,69811,60198,1,45826,19352,29510,15496,118
