timestamp,BME688_TEMP,BME688_HUM,BME688_PRES,BME688_R,ENS160_R0,ENS160_R1,ENS160_R2,ENS160_R3,SGP41_VOC,SGP41_NOX,timestamp_s
396996,28.96,52.39,101266,34454,37875,1,14164,14682,27913,17858,0
398046,28.91,52.35,101264,41290,42480,1,16635,17213,28282,17870,1
399086,28.88,52.26,101263,48948,45271,1,18532,18475,28483,17771,2
400126,28.87,52.16,101262,55041,46877,1,19863,19079,28685,17717,3
401166,28.86,52.07,101262,60079,48820,1,20735,19530,28785,17672,4
402216,28.85,52,101262,64048,49368,1,21882,20168,28907,17629,5
403256,28.85,51.93,101263,67068,50109,1,22203,20312,28952,17603,6
404296,28.85,51.87,101262,69245,51345,1,22804,20284,29050,17570,7
405335,28.86,51.82,101261,71748,51362,1,23351,20742,29059,17553,8
405984,28.89,51.79,101262,76715,51362,1,23351,20742,29142,17545,8
406986,28.9,51.73,101261,76784,51974,1,23637,20381,29148,17526,9
407986,28.89,51.68,101261,77693,52629,1,24393,20841,29168,17503,10
408986,28.89,51.66,101261,78551,53238,1,24245,20883,29211,17492,11
409986,28.9,51.65,101262,79134,53401,1,25250,21413,29209,17468,12
410986,28.9,51.63,101262,80402,53673,1,25611,21771,29251,17463,13
411986,28.9,51.61,101262,80629,53745,1,26110,22897,29217,17444,14
412986,28.9,51.6,101262,81089,55671,1,27000,23838,29232,17430,15
413986,28.9,51.58,101262,81554,55539,1,27276,23677,29300,17420,16
414986,28.9,51.55,101262,82262,55803,1,27461,23597,29302,17399,17
415986,28.9,51.54,101261,82500,56068,1,27230,23029,29336,17390,18
416986,28.91,51.53,101261,82740,55558,1,26836,22429,29345,17377,19
417986,28.91,51.51,101261,82901,55841,1,26872,22635,29314,17361,20
418986,28.91,51.5,101262,83550,55426,1,26764,21860,29325,17352,21
419986,28.91,51.49,101262,84127,55464,1,26945,22075,29350,17345,22
420986,28.91,51.47,101262,84460,55841,1,27276,22620,29368,17331,23
422026,28.91,51.47,101262,84044,56602,1,28176,24294,29362,17322,25
423066,28.91,51.46,101262,83797,58077,1,29097,25131,29370,17309,26
424106,28.91,51.45,101262,84127,57783,1,30262,26863,29360,17299,27
425145,28.91,51.46,101263,84460,57626,1,31114,27285,29357,17288,28
425984,28.92,51.45,101262,85390,57626,1,31114,27285,29374,17277,28
426986,28.93,51.43,101262,85561,58689,1,31188,27156,29394,17274,29
427986,28.93,51.42,101262,85049,58353,1,30602,26040,29390,17262,30
428986,28.92,51.44,101261,84796,58809,1,30232,24944,29417,17248,31
429986,28.92,51.42,101262,84796,57822,1,29684,24303,29374,17245,32
430986,28.93,51.41,101261,84712,57006,1,30038,23709,29366,17235,33
431986,28.93,51.42,101261,84377,57607,1,28793,23359,29355,17220,34
432986,28.93,51.43,101260,84796,57393,1,28667,23060,29346,17216,35
433986,28.93,51.43,101260,84544,57939,1,28474,22944,29361,17203,36
434986,28.93,51.41,101261,84965,57335,1,28609,23037,29375,17191,37
435986,28.93,51.42,101261,84377,58018,1,28638,22735,29370,17187,38
436986,28.93,51.42,101261,85304,58175,1,28425,22559,29363,17172,39
437986,28.93,51.41,101261,85219,57841,1,28301,22331,29330,17171,40
438986,28.93,51.42,101262,85906,56948,1,28100,22248,29340,17154,41
439986,28.93,51.43,101262,86079,57783,1,28349,22735,29350,17160,42
440986,28.93,51.43,101262,86166,57959,1,28387,22490,29347,17151,43
441986,28.93,51.41,101263,86603,58689,1,28667,22689,29344,17137,44
442986,28.93,51.43,101263,87045,57607,1,28823,23076,29313,17136,45
443986,28.93,51.42,101263,87312,59068,1,29344,24245,29362,17129,46
444986,28.93,51.42,101262,88123,59751,1,30211,25165,29342,17111,47
