timestamp,BME688_TEMP,BME688_HUM,BME688_PRES,BME688_R,ENS160_R0,ENS160_R1,ENS160_R2,ENS160_R3,SGP41_VOC,SGP41_NOX,timestamp_s
878596,29.46,52.34,101367,23898,52790,1,39807,24212,27296,16960,0
879596,29.34,52.31,101367,30622,27563,1,14792,12246,27689,16953,1
880596,29.27,52.22,101369,37122,31784,1,17086,15228,27943,16865,2
881596,29.23,52.13,101369,43700,33553,1,19105,17011,28094,16811,3
882596,29.19,52.04,101370,50097,35842,1,20602,18320,28297,16786,4
883596,29.18,51.95,101370,55148,36814,1,21756,18969,28394,16753,5
884596,29.16,51.87,101370,60037,38004,1,23272,19411,28510,16743,6
885596,29.16,51.81,101370,64434,39312,1,24642,20243,28514,16718,7
886596,29.16,51.73,101370,67546,40969,1,25250,20305,28618,16701,8
887596,29.16,51.66,101371,70855,41275,1,26155,20890,28721,16697,9
888596,29.16,51.6,101370,73542,41895,1,27073,20912,28790,16684,10
889596,29.16,51.52,101370,75762,42899,1,27526,20990,28815,16665,11
890596,29.17,51.45,101371,77764,43103,1,27901,21507,28908,16665,12
891596,29.17,51.41,101371,79875,44723,1,28793,21602,28931,16647,13
892596,29.18,51.33,101371,81399,44106,1,29325,21370,28979,16641,14
893596,29.18,51.28,101371,82421,43898,1,29514,22308,28979,16629,15
894596,29.19,51.25,101370,84210,44783,1,30160,22016,29036,16623,16
895596,29.19,51.19,101372,85561,44905,1,30644,22218,29042,16613,17
896596,29.2,51.15,101372,86253,45640,1,31688,22498,29076,16611,18
897627,29.21,51.13,101371,87401,45779,1,31752,22437,29064,16596,19
898677,29.21,51.12,101372,88123,45717,1,32393,22820,29107,16594,20
899737,29.22,51.1,101371,89043,46262,1,32779,22827,29111,16582,21
900787,29.22,51.1,101371,89416,46293,1,32768,23060,29147,16579,22
901847,29.23,51.06,101371,89698,46419,1,32901,22990,29124,16574,23
902896,29.24,51.06,101371,90267,46845,1,33508,23100,29160,16567,24
903595,29.27,51.06,101370,95114,46845,1,33508,23100,29182,16561,24
904596,29.28,51.03,101370,93910,46592,1,33964,23312,29156,16553,26
905596,29.28,51.01,101369,94117,47468,1,33918,22536,29170,16546,27
906596,29.29,51.01,101370,94377,46766,1,34149,23194,29171,16540,28
907596,29.29,51.01,101370,95380,47227,1,33440,22820,29197,16539,29
908596,29.3,51.01,101370,95273,47195,1,34160,22612,29220,16535,30
909596,29.3,51,101370,95380,47036,1,34509,22990,29161,16534,31
910596,29.31,51,101370,96024,47822,1,34849,23194,29224,16524,32
911596,29.31,50.98,101371,96403,48359,1,35110,23100,29198,16518,33
912596,29.32,50.97,101370,97006,48294,1,35146,23391,29206,16519,34
913596,29.32,50.94,101371,96786,48066,1,35384,23296,29198,16505,35
914596,29.33,50.94,101370,96896,47709,1,35794,22936,29211,16503,36
915596,29.33,50.9,101370,97560,48655,1,35289,22944,29217,16503,37
916627,29.34,50.9,101370,97061,48589,1,35806,23335,29187,16494,38
