timestamp,BME688_TEMP,BME688_HUM,BME688_PRES,BME688_R,ENS160_R0,ENS160_R1,ENS160_R2,ENS160_R3,SGP41_VOC,SGP41_NOX,timestamp_s
405671,27.21,46.24,101816,5684,46845,1,40295,30028,27947,16929,0
406671,27.42,46.26,101816,5684,48359,1,40955,30447,28269,16981,1
407671,27.6,46.21,101816,5746,46734,1,41192,30160,28517,16895,2
408671,27.73,46.15,101817,6993,47195,1,40610,29825,28633,16848,3
409671,27.84,46.08,101816,7928,47355,1,40569,30232,28803,16809,4
410671,27.93,46,101816,9137,47195,1,40638,30078,28927,16783,5
411671,28,45.99,101816,10342,46766,1,40446,30499,28999,16754,6
412671,28.05,46,101816,11602,47068,1,41233,30385,29096,16740,7
413671,28.1,45.99,101814,13141,46655,1,40610,30571,29145,16717,8
414671,28.14,45.98,101816,14430,46215,1,41052,30160,29205,16702,9
415671,28.17,45.94,101817,15693,47291,1,40596,30119,29242,16684,10
416671,28.19,45.87,101819,16967,47275,1,41233,30355,29352,16681,11
417671,28.21,45.8,101819,18181,47758,1,40831,29825,29378,16655,12
418671,28.23,45.75,101818,19352,46972,1,40900,29956,29367,16647,13
419671,28.25,45.68,101818,20605,46153,1,41359,30170,29419,16642,14
420671,28.27,45.64,101817,21761,46325,1,40817,30028,29394,16619,15
421671,28.28,45.58,101818,22930,48163,1,40900,30252,29416,16608,16
422671,28.29,45.51,101818,24502,47323,1,40997,30758,29419,16601,17
423671,28.3,45.47,101818,25605,47596,1,40900,30540,29436,16592,18
424691,28.31,45.41,101818,26677,46940,1,40858,30365,29467,16585,19
425670,28.32,45.38,101819,27826,46940,1,40858,30365,29501,16575,19
426671,28.33,45.34,101819,28900,47307,1,41219,30956,29508,16564,21
427671,28.34,45.29,101819,29976,46893,1,40900,30303,29481,16554,22
428671,28.35,45.24,101820,31067,47677,1,41513,30416,29525,16544,23
429671,28.36,45.23,101821,32144,47628,1,41038,30416,29529,16534,24
430671,28.36,45.19,101818,33143,46734,1,41345,30831,29519,16527,25
431671,28.37,45.18,101818,34124,47628,1,41094,29906,29518,16518,26
432671,28.38,45.15,101819,35281,47036,1,41025,30561,29540,16503,27
433671,28.38,45.12,101818,36178,47968,1,41598,30303,29540,16502,28
434671,28.39,45.12,101818,37285,47115,1,41401,30365,29539,16485,29
435671,28.4,45.09,101818,38083,47887,1,41011,30675,29559,16488,30
436671,28.4,45.08,101818,39167,47115,1,41767,30427,29555,16476,31
437671,28.41,45.06,101818,39937,47693,1,41205,30283,29559,16462,32
438671,28.42,45.04,101817,40933,47516,1,42394,30737,29597,16461,33
439671,28.42,45.02,101817,41816,47628,1,41261,30396,29550,16451,34
440671,28.43,45.01,101818,42737,47307,1,41513,30201,29531,16442,35
441671,28.43,44.99,101818,44198,47838,1,41401,30334,29553,16436,36
442671,28.44,44.97,101818,44708,47855,1,41261,30509,29588,16431,37
443691,28.44,44.96,101817,45277,47227,1,41682,30160,29558,16421,38
444670,28.45,44.94,101818,46259,47227,1,41682,30160,29577,16415,38
445671,28.45,44.92,101818,47985,48392,1,41373,30727,29579,16414,40
446671,28.45,44.91,101818,48752,48523,1,41345,30385,29579,16405,41
447671,28.46,44.89,101818,50363,47774,1,41598,29855,29579,16397,42
448671,28.46,44.89,101818,50632,48638,1,41471,30283,29574,16393,43
449671,28.47,44.88,101819,51179,47677,1,41937,30017,29593,16382,44
450671,28.47,44.85,101818,52244,48098,1,41909,30068,29568,16374,45
451671,28.48,44.85,101819,52794,47451,1,41753,30201,29612,16376,46
452671,28.48,44.83,101819,53928,48229,1,41725,30324,29596,16359,47
453671,28.48,44.82,101819,54549,47580,1,41697,30365,29586,16361,48
454671,28.49,44.8,101819,55291,46734,1,41824,29764,29575,16349,49
455671,28.49,44.79,101819,57104,48327,1,41471,30478,29593,16347,50
456671,28.49,44.76,101819,56952,47099,1,42122,30303,29580,16337,51
457671,28.49,44.77,101819,57450,48163,1,42151,30028,29617,16336,52
458671,28.5,44.77,101818,58554,48163,1,41178,30946,29626,16333,53
459671,28.5,44.73,101817,59286,48294,1,41980,30252,29622,16320,54
460671,28.5,44.7,101818,60079,49335,1,42437,30530,29618,16321,55
461671,28.5,44.68,101818,60420,48523,1,41937,30737,29572,16315,56
462691,28.5,44.66,101818,62045,48033,1,42494,30716,29652,16310,57
463670,28.51,44.64,101818,61865,48033,1,42494,30716,29646,16305,57
464671,28.51,44.63,101818,63618,48115,1,41682,30447,29617,16298,59
465671,28.51,44.62,101817,63523,47984,1,42870,30355,29625,16292,60
466671,28.52,44.61,101817,63808,49135,1,42336,30416,29632,16289,61
467671,28.53,44.62,101818,64483,47564,1,42466,30293,29642,16287,62
468671,28.53,44.61,101818,65422,47580,1,42293,31051,29640,16276,63
469671,28.54,44.62,101819,66649,47806,1,42422,30883,29611,16279,64
470671,28.54,44.6,101819,66390,48425,1,42494,31103,29618,16275,65
471671,28.55,44.61,101820,66910,48458,1,42826,30048,29655,16269,66
472671,28.55,44.58,101819,68854,48491,1,42768,29906,29608,16257,67
473671,28.56,44.59,101820,68248,48573,1,42351,30375,29576,16259,68
474671,28.56,44.56,101820,69189,48066,1,42122,30242,29598,16256,69
475671,28.57,44.55,101820,70098,49368,1,42667,30499,29617,16250,70
476671,28.57,44.54,101820,69926,48803,1,42394,30499,29596,16237,71
477671,28.58,44.53,101821,71448,48392,1,42236,30468,29581,16239,72
478671,28.58,44.5,101821,71032,48952,1,42928,30427,29610,16233,73
479671,28.59,44.49,101821,72051,49052,1,42768,30262,29582,16229,74
480671,28.59,44.49,101820,73226,47758,1,42725,30355,29602,16225,75
481691,28.6,44.48,101820,73478,49235,1,42322,30160,29606,16220,76
482670,28.61,44.47,101820,73289,49235,1,42322,30160,29577,16216,76
483671,28.61,44.45,101820,73732,47822,1,42899,31040,29608,16214,78
484671,28.62,44.45,101820,74310,48033,1,42783,30967,29627,16212,79
485671,28.63,44.42,101819,74831,48458,1,43190,30478,29579,16207,80
486671,28.63,44.42,101820,75964,47500,1,42768,30779,29615,16197,81
487671,28.64,44.4,101820,76099,49402,1,42754,30779,29612,16196,82
488671,28.65,44.39,101820,77271,48952,1,42638,30416,29605,16189,83
489671,28.65,44.37,101820,77201,48770,1,42365,31019,29581,16180,84
490671,28.66,44.36,101820,78551,48671,1,43337,30758,29580,16178,85
491671,28.66,44.35,101820,79207,48803,1,42957,30561,29597,16175,86
492671,28.67,44.32,101820,78624,48985,1,42972,30675,29625,16172,87
493671,28.67,44.34,101820,78479,49285,1,43044,30499,29596,16175,88
494671,28.67,44.29,101820,79577,48803,1,43410,30904,29627,16166,89
495671,28.68,44.28,101820,80477,48721,1,43015,30344,29615,16163,90
496671,28.68,44.27,101820,80553,48886,1,43987,30293,29616,16162,91
497671,28.68,44.28,101821,81244,48474,1,42957,30644,29612,16161,92
498671,28.68,44.26,101820,80859,48163,1,42451,30592,29627,16161,93
499671,28.69,44.25,101820,81632,49135,1,43103,30170,29631,16146,94
500691,28.69,44.24,101821,82103,48688,1,42768,30664,29634,16146,95
501670,28.7,44.22,101821,82982,48688,1,42768,30664,29625,16149,95
502671,28.7,44.23,101820,84210,48409,1,43337,30789,29605,16141,97
503671,28.71,44.21,101821,84210,49586,1,43587,30654,29618,16139,98
504671,28.71,44.21,101821,85049,49703,1,43161,30779,29593,16132,99
505671,28.72,44.19,101822,85475,49502,1,43161,30457,29635,16137,100
506671,28.73,44.19,101822,85561,49452,1,43543,30499,29627,16133,101
507671,28.73,44.19,101822,86428,48853,1,43898,30396,29615,16125,102
508671,28.74,44.19,101822,86956,49135,1,43395,30293,29627,16129,103
509671,28.75,44.17,101823,85992,48803,1,43779,31188,29644,16118,104
