timestamp,BME688_TEMP,BME688_HUM,BME688_PRES,BME688_R,ENS160_R0,ENS160_R1,ENS160_R2,ENS160_R3,SGP41_VOC,SGP41_NOX,timestamp_s
409789,27.51,44.77,101821,5684,66025,1,36171,28911,27683,16567,0
410789,27.72,44.76,101821,5684,67266,1,36726,29285,28016,16580,1
411789,27.89,44.7,101821,5684,66541,1,36257,29235,28220,16490,2
412789,28.03,44.64,101822,6374,67107,1,36319,29504,28406,16436,3
413789,28.13,44.55,101821,7354,67084,1,36503,29117,28601,16399,4
414789,28.22,44.49,101822,8599,66160,1,36355,29077,28728,16371,5
415789,28.28,44.46,101822,9828,67425,1,36615,29644,28847,16350,6
416789,28.33,44.44,101822,11107,67175,1,36764,29384,28931,16331,7
417789,28.37,44.41,101821,12658,66294,1,36196,29344,29004,16314,8
418789,28.4,44.39,101822,14041,67631,1,36454,29235,29085,16302,9
419789,28.43,44.36,101822,15421,67425,1,36615,29534,29125,16287,10
420789,28.45,44.31,101824,16649,66993,1,36764,29354,29177,16276,11
421789,28.47,44.26,101823,17997,66429,1,36751,29724,29220,16266,12
422789,28.49,44.22,101823,19282,66903,1,36479,29325,29248,16241,13
423789,28.5,44.18,101823,20408,67198,1,36751,29156,29287,16233,14
424789,28.52,44.14,101822,21783,66316,1,36553,29315,29312,16221,15
425789,28.53,44.1,101823,23005,67175,1,36739,29325,29327,16216,16
426789,28.54,44.07,101823,24658,67334,1,37114,29225,29342,16205,17
427789,28.54,44.05,101823,25806,68206,1,36355,29694,29344,16195,18
428789,28.55,44.01,101823,26964,67700,1,36751,29414,29348,16180,19
429789,28.56,43.98,101824,28119,66789,1,36951,29865,29372,16173,20
430820,28.57,43.97,101824,29277,67403,1,36814,29206,29400,16170,21
431870,28.57,43.94,101825,30338,67084,1,36963,29364,29404,16155,22
432920,28.58,43.92,101826,31527,68344,1,36528,29514,29407,16151,23
433970,28.59,43.9,101826,32661,68321,1,37189,29206,29419,16143,24
435020,28.59,43.89,101826,33639,67975,1,36888,29414,29407,16130,25
436070,28.6,43.88,101825,34848,68067,1,36826,29764,29422,16129,26
437120,28.61,43.87,101824,35995,69323,1,36888,29364,29448,16127,27
438170,28.61,43.85,101824,36994,67700,1,36988,29875,29431,16109,28
439220,28.62,43.84,101825,37948,68160,1,37089,29584,29466,16096,29
440270,28.63,43.83,101824,38953,67517,1,37177,29196,29472,16091,30
441320,28.64,43.8,101824,40012,67929,1,36764,28930,29420,16089,31
442370,28.65,43.78,101824,41012,67243,1,36988,29235,29426,16086,32
443413,28.65,43.76,101825,41898,68160,1,37064,29166,29445,16073,33
443835,28.73,43.78,101825,45038,68160,1,37064,29166,29436,16069,34
444789,28.74,43.72,101825,45229,68809,1,37202,29414,29439,16067,35
445789,28.73,43.67,101825,45616,68437,1,37240,29364,29438,16062,36
446789,28.73,43.65,101825,46511,67975,1,37064,29038,29465,16048,37
447789,28.73,43.63,101824,47877,68206,1,37001,29484,29497,16051,38
448789,28.73,43.6,101824,48976,68114,1,36851,29206,29448,16038,39
449789,28.73,43.6,101824,49344,68460,1,37064,29048,29464,16042,40
450789,28.73,43.59,101824,50393,68044,1,37001,28999,29455,16031,41
451820,28.73,43.57,101824,51210,67814,1,36764,28881,29460,16027,42
452870,28.73,43.59,101823,51769,68137,1,37013,29664,29456,16017,43
453920,28.74,43.61,101824,52664,68160,1,36640,29564,29465,16016,44
454970,28.74,43.6,101824,53156,68321,1,36938,29404,29442,16007,45
456020,28.74,43.6,101824,53928,67631,1,37493,29684,29484,16000,46
457070,28.75,43.59,101825,54935,67814,1,37543,29058,29488,15991,47
458120,28.75,43.57,101824,55615,68344,1,37013,29644,29472,15988,48
459170,28.75,43.56,101824,56276,68809,1,37202,29434,29466,15987,49
460220,28.75,43.54,101824,56952,68855,1,37051,29156,29487,15976,50
461269,28.75,43.53,101824,57761,69159,1,36938,28979,29507,15967,51
461788,28.81,43.54,101825,60894,69159,1,36938,28979,29491,15963,51
462789,28.81,43.49,101825,60634,67792,1,37493,29018,29485,15966,53
463789,28.81,43.46,101824,60721,68879,1,37114,29107,29477,15962,54
464789,28.81,43.45,101825,60981,68391,1,37152,29404,29475,15958,55
465789,28.81,43.43,101825,61776,69159,1,37290,29245,29475,15945,56
466789,28.81,43.41,101825,62362,68995,1,37734,29206,29479,15947,57
467789,28.81,43.36,101825,62961,69276,1,36726,29374,29506,15931,58
468789,28.81,43.35,101824,63429,69253,1,37709,29235,29475,15931,59
469789,28.81,43.35,101824,64386,68972,1,37076,29654,29495,15934,60
470789,28.82,43.34,101824,64875,69253,1,37252,29235,29483,15923,61
471789,28.82,43.32,101824,65422,69089,1,37620,29255,29452,15924,62
472830,28.82,43.32,101825,65674,68298,1,36951,29245,29473,15916,63
473880,28.82,43.32,101825,66235,68623,1,37328,28832,29476,15910,64
474930,28.82,43.31,101825,66441,68785,1,37493,29235,29476,15904,65
475980,28.83,43.3,101825,66805,69253,1,37442,29186,29470,15900,66
477030,28.83,43.31,101825,67226,68553,1,37089,28871,29496,15903,67
478080,28.83,43.31,101824,67814,68553,1,37189,29176,29506,15888,68
479130,28.83,43.3,101825,68522,68298,1,37416,29484,29484,15888,69
480180,28.84,43.29,101825,68798,68623,1,37353,29354,29472,15884,70
481230,28.84,43.29,101825,69584,68437,1,37556,29404,29517,15882,71
482280,28.84,43.26,101826,70041,68902,1,37709,28940,29463,15870,72
483330,28.85,43.26,101827,70620,69135,1,37353,29374,29473,15877,73
484380,28.85,43.22,101827,70737,68925,1,37671,29206,29484,15864,74
485434,28.86,43.21,101827,71269,69676,1,37569,29146,29473,15861,75
486478,28.86,43.2,101827,71869,68623,1,37366,29275,29454,15855,76
487532,28.87,43.2,101827,71991,69417,1,37991,29038,29482,15851,77
488575,28.87,43.21,101826,73101,69229,1,37189,29206,29498,15851,78
488997,28.95,43.23,101826,77131,69229,1,37189,29206,29496,15849,79
489789,28.97,43.19,101827,76923,69276,1,38042,29624,29463,15848,80
490789,28.97,43.13,101827,76372,69652,1,37416,29235,29514,15846,81
491789,28.97,43.12,101827,76032,70721,1,37914,29245,29482,15842,82
492789,28.97,43.11,101827,76167,69276,1,38210,29424,29472,15829,83
493830,28.96,43.07,101826,75896,68669,1,37518,29394,29489,15831,84
494880,28.96,43.05,101826,76167,69534,1,37734,29186,29506,15818,85
495930,28.95,43.05,101827,76784,69135,1,37543,29334,29486,15819,86
496980,28.95,43.04,101827,76992,69440,1,38016,29285,29459,15815,87
498029,28.95,43.02,101827,76853,69581,1,38158,29384,29468,15813,88
498788,28.97,43.03,101827,78914,69581,1,38158,29384,29461,15815,88
499789,28.97,43,101827,78696,69865,1,37632,29146,29485,15801,90
500789,28.97,42.98,101827,78842,69581,1,38275,29444,29470,15805,91
501789,28.97,42.97,101827,79355,69276,1,37991,28901,29482,15802,92
502789,28.97,42.98,101827,79281,70268,1,38158,29404,29475,15794,93
503789,28.98,42.97,101827,79875,69770,1,37850,29206,29459,15799,94
504789,28.98,42.96,101828,79725,69629,1,37734,29364,29473,15783,95
505789,28.98,42.95,101827,80250,69817,1,37914,29494,29480,15787,96
506789,28.98,42.95,101827,80402,70125,1,38352,29564,29486,15784,97
507789,28.99,42.93,101827,80859,70196,1,37939,29156,29486,15777,98
508789,28.99,42.94,101827,81012,70387,1,38288,28950,29477,15776,99
509789,29,42.94,101827,81867,70030,1,38482,29384,29475,15782,100
510789,29,42.93,101827,82024,70769,1,38561,29344,29469,15767,101
511789,29.01,42.92,101828,82262,70339,1,38404,29494,29503,15769,102
512789,29.01,42.91,101828,82182,70268,1,38301,29474,29478,15767,103
513789,29.02,42.9,101828,82740,70411,1,38443,29504,29475,15766,104
514840,29.02,42.89,101828,82660,69511,1,38262,29235,29469,15751,105
515890,29.02,42.9,101829,82660,69652,1,38262,29805,29494,15756,106
516940,29.03,42.87,101830,82982,70220,1,38378,29825,29463,15749,107
517990,29.03,42.85,101829,83550,71057,1,38613,29504,29459,15748,108
519040,29.03,42.85,101829,84127,70530,1,38107,29504,29459,15747,109
520090,29.04,42.83,101829,83632,70817,1,38081,29594,29460,15736,110
521140,29.04,42.83,101829,83961,70625,1,38391,29644,29477,15737,111
522190,29.05,42.81,101829,83961,70149,1,38652,29805,29497,15738,112
523240,29.05,42.82,101829,84544,70387,1,38535,29364,29498,15738,113
524290,29.05,42.82,101829,85304,70411,1,38574,29554,29467,15730,114
525340,29.05,42.81,101829,85647,70196,1,38626,29018,29478,15723,115
526390,29.06,42.81,101828,85390,70244,1,38705,29926,29487,15720,116
527444,29.06,42.8,101829,86340,69983,1,38249,29694,29503,15729,117
528487,29.06,42.79,101829,85390,70985,1,38443,29494,29494,15716,118
