timestamp,BME688_TEMP,BME688_HUM,BME688_PRES,BME688_R,ENS160_R0,ENS160_R1,ENS160_R2,ENS160_R3,SGP41_VOC,SGP41_NOX,timestamp_s
806992,27.96,47.62,101737,16268,24751,1,9633,10566,26672,17150,0
808031,27.83,47.57,101735,20545,29295,1,11903,13693,27209,17146,1
808980,27.75,47.47,101735,25437,29295,1,11903,13693,27466,17065,1
809981,27.69,47.37,101735,29520,31946,1,13610,15636,27715,17024,2
810981,27.66,47.27,101735,33773,34323,1,14907,16771,27903,16997,3
811981,27.63,47.16,101736,37415,35444,1,16212,18227,28054,16972,4
812981,27.62,47.1,101735,40583,37824,1,17179,18854,28207,16946,5
813981,27.61,47.02,101734,43745,38705,1,18073,19543,28289,16934,6
814981,27.61,46.97,101734,46511,39592,1,19002,19971,28445,16914,7
815981,27.61,46.93,101734,49718,40391,1,19398,20168,28505,16901,8
816981,27.61,46.9,101734,52085,41429,1,20298,20554,28575,16891,9
817981,27.61,46.85,101734,53962,42165,1,20855,20897,28636,16882,10
818981,27.62,46.8,101733,55797,42624,1,21348,21218,28739,16869,11
819981,27.63,46.77,101732,57528,43220,1,21742,21146,28760,16862,12
820981,27.63,46.75,101733,59286,44166,1,22038,21240,28816,16862,13
821981,27.64,46.71,101733,60420,44241,1,22482,21580,28905,16850,14
822981,27.65,46.69,101732,62000,45179,1,22858,21993,28958,16846,15
823981,27.65,46.66,101732,63382,45210,1,23060,22513,28979,16837,16
824981,27.66,46.63,101732,64679,46231,1,23693,22128,29053,16828,17
825981,27.67,46.61,101732,65422,46419,1,23502,21919,29047,16825,18
826981,27.67,46.6,101732,67015,47259,1,23984,22180,29074,16815,19
827981,27.68,46.58,101730,67653,46893,1,24294,22240,29099,16810,20
828981,27.69,46.55,101731,68193,47952,1,24443,22482,29130,16806,21
829981,27.69,46.51,101732,68854,47871,1,24801,22735,29161,16801,22
830981,27.7,46.47,101732,70098,47919,1,24684,22758,29177,16802,23
832012,27.71,46.46,101733,70973,48163,1,25063,22920,29196,16787,25
833052,27.71,46.44,101733,71388,48985,1,25473,22951,29230,16788,26
834092,27.72,46.43,101733,72173,48688,1,25594,23170,29258,16795,27
835132,27.73,46.41,101733,72665,49335,1,25873,23256,29240,16788,28
836171,27.73,46.4,101734,72976,49452,1,25838,23014,29299,16780,29
836980,27.76,46.39,101734,75029,49452,1,25838,23014,29293,16781,29
837981,27.77,46.33,101734,75560,49603,1,25890,22983,29343,16765,30
838981,27.77,46.3,101734,75896,50245,1,25917,22566,29264,16765,31
839981,27.78,46.28,101734,76167,50092,1,25882,22697,29327,16764,32
840981,27.78,46.26,101735,76715,50740,1,26413,23296,29289,16757,33
841981,27.79,46.27,101735,77271,50432,1,26199,22882,29339,16760,34
842981,27.8,46.24,101735,77271,50552,1,26547,23037,29291,16757,35
843981,27.81,46.21,101735,78263,50809,1,26102,22673,29375,16748,36
844981,27.81,46.18,101734,78407,51189,1,26745,23092,29337,16742,37
845981,27.82,46.16,101735,78914,50999,1,26556,22944,29352,16747,38
846981,27.83,46.13,101734,79355,51120,1,26646,23162,29355,16734,39
847981,27.83,46.13,101733,79800,51345,1,27396,23534,29423,16738,40
848981,27.84,46.13,101733,80100,51033,1,27064,23597,29387,16734,41
849981,27.85,46.11,101732,80629,51746,1,27424,23478,29386,16731,42
850981,27.85,46.1,101731,81244,51869,1,27882,23685,29360,16728,43
851981,27.86,46.11,101731,81244,51922,1,27313,23597,29380,16727,44
852981,27.87,46.11,101730,82262,52452,1,27873,23677,29368,16723,45
853981,27.88,46.11,101730,82421,52487,1,27489,23661,29374,16723,46
854981,27.88,46.11,101730,82500,52469,1,27685,23919,29406,16718,47
855981,27.89,46.11,101730,83469,52327,1,27798,23903,29385,16717,48
857022,27.89,46.08,101729,83143,52204,1,27769,24033,29392,16713,50
858061,27.9,46.07,101729,83387,52790,1,27930,24147,29386,16710,51
858980,27.91,46.07,101729,84044,52790,1,27930,24147,29386,16702,51
859981,27.92,46.04,101730,84712,53059,1,27779,23903,29371,16704,52
860981,27.93,46.04,101730,84544,52933,1,28005,24114,29417,16701,53
861981,27.93,46.01,101730,84796,53005,1,27967,23943,29443,16699,54
862981,27.94,45.99,101731,85390,53220,1,27760,23992,29428,16697,55
863981,27.94,45.97,101731,85647,53238,1,28148,24098,29452,16691,56
864981,27.95,45.94,101731,85906,53600,1,28024,23968,29415,16683,57
865981,27.95,45.93,101732,86340,52808,1,28310,23557,29432,16683,58
866981,27.96,45.89,101732,86340,53238,1,28329,23734,29427,16680,59
867981,27.96,45.89,101732,86868,53582,1,28034,23478,29401,16681,60
868981,27.97,45.88,101732,87045,54074,1,28503,23758,29411,16675,61
869981,27.97,45.84,101732,87401,53673,1,28072,23597,29385,16678,62
870981,27.98,45.83,101732,87312,53709,1,28100,23549,29404,16674,63
871981,27.98,45.8,101733,88215,54019,1,28215,23430,29466,16667,64
872981,27.99,45.8,101732,88581,54496,1,28005,23693,29426,16676,65
873981,27.99,45.78,101733,88033,53946,1,28531,24081,29412,16670,66
874981,28,45.77,101732,88489,53764,1,28091,23549,29434,16665,67
875981,28.01,45.78,101732,88858,54165,1,28483,23581,29449,16659,68
876981,28.01,45.79,101732,88858,54589,1,28551,23367,29421,16652,69
877981,28.01,45.78,101732,88950,54904,1,28301,23693,29432,16665,70
878981,28.02,45.76,101732,89793,55108,1,28339,23486,29421,16655,71
879981,28.02,45.73,101732,89982,54184,1,28454,23854,29424,16655,72
881002,28.02,45.73,101733,89698,54386,1,28551,23549,29445,16657,74
882042,28.03,45.74,101733,89982,55258,1,28725,23383,29444,16653,75
883081,28.03,45.72,101732,89793,54607,1,28725,23701,29456,16649,76
883980,28.04,45.72,101733,90747,54607,1,28725,23701,29444,16646,76
884981,28.04,45.7,101732,90941,54867,1,28696,24081,29439,16646,77
885981,28.05,45.68,101732,91330,54737,1,28686,23621,29445,16647,78
886981,28.05,45.67,101732,91135,54848,1,28725,23462,29445,16644,79
887981,28.05,45.66,101732,92020,55502,1,28735,23838,29404,16643,80
888981,28.05,45.64,101732,91921,55558,1,28589,23838,29445,16637,81
889981,28.06,45.63,101732,91921,55239,1,29305,24261,29449,16638,82
890981,28.06,45.64,101732,92418,55520,1,28725,24360,29485,16636,83
891981,28.06,45.62,101732,93962,55577,1,29484,24024,29438,16628,84
892981,28.06,45.62,101732,92418,55822,1,29166,24319,29448,16629,85
893981,28.07,45.59,101732,94065,55239,1,28745,24278,29418,16629,86
894981,28.07,45.61,101733,94482,55426,1,29344,24410,29438,16627,87
895981,28.07,45.59,101733,94534,55426,1,29524,23968,29459,16620,88
896981,28.07,45.58,101732,94797,55090,1,29644,24476,29444,16621,89
897981,28.08,45.56,101732,94587,55784,1,29404,24717,29419,16619,90
898981,28.08,45.55,101732,95167,56449,1,29196,24393,29441,16620,91
899981,28.08,45.56,101732,95167,56372,1,29865,24701,29426,16620,92
900981,28.09,45.57,101731,95380,55709,1,29058,23951,29452,16608,93
901981,28.1,45.55,101731,95486,56144,1,29524,24368,29445,16607,94
902981,28.1,45.55,101732,95486,56068,1,29584,24534,29431,16611,95
903981,28.11,45.54,101731,95380,56125,1,29494,23992,29477,16603,96
904981,28.11,45.54,101731,95808,55520,1,29196,24311,29472,16606,97
906022,28.11,45.53,101731,95647,56411,1,29255,24360,29448,16603,99
907061,28.11,45.52,101731,95700,56087,1,29926,24229,29489,16597,100
907980,28.12,45.53,101732,96896,56087,1,29926,24229,29484,16603,100
908981,28.13,45.48,101731,96676,56392,1,29364,24081,29464,16603,101
909981,28.13,45.47,101731,97061,55746,1,29166,23879,29468,16605,102
910981,28.13,45.45,101731,96024,56583,1,29785,24278,29463,16595,103
