timestamp,BME688_TEMP,BME688_HUM,BME688_PRES,BME688_R,ENS160_R0,ENS160_R1,ENS160_R2,ENS160_R3,SGP41_VOC,SGP41_NOX,timestamp_s
1201518,28.1,47.7,101661,43835,102795,1,182068,27986,26738,16227,0
1202518,28,47.65,101661,46410,51189,1,82272,11056,27282,16229,1
1203518,27.93,47.56,101660,51612,57025,1,93059,14450,27576,16161,2
1204518,27.89,47.46,101659,56017,60915,1,98804,16185,27786,16128,3
1205518,27.86,47.37,101659,60505,63162,1,102413,17644,28027,16094,4
1206518,27.84,47.28,101659,64826,67334,1,107528,18854,28225,16076,5
1207518,27.83,47.22,101659,69133,68716,1,111569,19729,28354,16064,6
1208518,27.83,47.16,101659,73415,70889,1,113434,20623,28481,16046,7
1209518,27.83,47.11,101659,76853,73156,1,116982,21566,28592,16042,8
1210518,27.83,47.04,101657,80326,74707,1,118136,21934,28688,16025,9
1211518,27.83,47.01,101657,83306,75214,1,121050,22475,28818,16017,10
1212518,27.84,46.97,101657,86340,75879,1,123952,22990,28905,16017,11
1213518,27.85,46.93,101657,89136,78598,1,126281,23194,28969,16008,12
1214518,27.85,46.9,101658,91822,80509,1,127139,23677,29035,15993,13
1215518,27.86,46.86,101658,95754,79239,1,128654,23782,29109,15992,14
1216518,27.87,46.83,101658,97896,81001,1,129703,24270,29163,15981,15
1217518,27.87,46.81,101658,99902,82022,1,132230,24534,29223,15976,16
1218518,27.88,46.77,101658,101870,84188,1,132768,24559,29321,15965,17
1219518,27.89,46.75,101658,103980,83450,1,136135,25012,29317,15966,18
1220558,27.89,46.73,101658,105850,84874,1,137711,24784,29362,15959,19
1221517,27.9,46.72,101658,106911,84874,1,137711,24784,29376,15958,19
1222518,27.91,46.7,101657,109168,85393,1,137618,25233,29419,15953,21
1223518,27.92,46.67,101657,110368,86645,1,140489,25413,29417,15949,22
1224518,27.93,46.64,101658,111741,86498,1,141682,25698,29478,15943,23
1225518,27.93,46.62,101658,112999,86002,1,141013,25785,29495,15941,24
1226518,27.94,46.61,101658,114515,86674,1,144198,26013,29544,15934,25
1227518,27.95,46.6,101658,115601,88662,1,143759,25864,29532,15937,26
1228518,27.96,46.58,101658,116310,88482,1,145472,26137,29579,15927,27
