timestamp,BME688_TEMP,BME688_HUM,BME688_PRES,BME688_R,ENS160_R0,ENS160_R1,ENS160_R2,ENS160_R3,SGP41_VOC,SGP41_NOX,timestamp_s
1507252,28.39,46.81,101662,24418,28474,1,16461,11887,27467,16541,0
1508302,28.28,46.76,101662,28193,32734,1,20284,15689,28034,16512,1
1509352,28.21,46.68,101662,32837,35576,1,23438,18030,28362,16430,2
1510391,28.17,46.59,101663,37514,37620,1,25447,19543,28661,16389,3
1511230,28.15,46.54,101663,42356,37620,1,25447,19543,28797,16367,3
1512231,28.13,46.44,101663,46259,39646,1,27873,20484,28918,16341,4
1513231,28.12,46.36,101662,50935,41303,1,29524,21544,29075,16317,5
1514231,28.12,46.3,101662,54410,43103,1,31346,21639,29269,16295,6
1515231,28.11,46.24,101662,57334,43513,1,32635,22543,29353,16279,7
1516231,28.11,46.19,101662,60505,45332,1,33850,23194,29441,16269,8
1517231,28.11,46.13,101662,62683,46782,1,35074,23518,29503,16261,9
1518231,28.12,46.09,101662,64875,47580,1,36627,23822,29580,16255,10
1519231,28.12,46.06,101663,67976,48294,1,37991,24377,29617,16239,11
1520231,28.13,46.02,101663,68965,49168,1,38262,24459,29615,16232,12
1521231,28.13,46,101662,70445,49502,1,39325,24784,29726,16225,13
1522231,28.14,45.97,101663,72173,50296,1,40514,24978,29759,16209,14
1523231,28.14,45.95,101662,73924,50740,1,41025,24701,29795,16207,15
1524231,28.15,45.93,101662,74570,50364,1,41980,25012,29834,16200,16
1525231,28.16,45.92,101662,75829,51484,1,42538,25063,29854,16194,17
1526231,28.16,45.89,101662,77271,51729,1,42913,25097,29859,16185,18
1527231,28.17,45.86,101662,78191,52327,1,43720,25421,29920,16185,19
1528231,28.18,45.85,101662,79134,52540,1,44181,25447,29905,16171,20
1529272,28.18,45.82,101662,79355,52790,1,45594,25473,29956,16170,22
1530322,28.18,45.8,101663,79800,54386,1,45332,25516,29993,16162,23
1531372,28.19,45.8,101661,80859,53782,1,45857,25698,29966,16152,24
1532422,28.19,45.79,101661,81321,54570,1,46671,25499,29971,16143,25
1533461,28.19,45.77,101662,81867,54533,1,46153,25864,29985,16149,26
1534230,28.22,45.76,101663,83714,54533,1,46153,25864,30012,16155,26
1535231,28.23,45.75,101663,84460,54367,1,46956,25751,30031,16139,27
1536231,28.23,45.72,101663,84377,55108,1,47307,25611,30008,16141,28
1537231,28.24,45.72,101663,85134,55746,1,47725,25603,30037,16127,29
1538231,28.24,45.71,101663,85134,55596,1,48017,25987,30047,16129,30
1539231,28.25,45.7,101663,86253,55333,1,48229,25829,30054,16127,31
1540231,28.25,45.69,101663,86340,55408,1,48952,25768,30075,16121,32
1541231,28.26,45.68,101662,86868,56813,1,48787,25952,30059,16117,33
1542231,28.26,45.66,101662,87223,56468,1,49485,25812,30035,16110,34
1543231,28.27,45.63,101662,87761,57102,1,49653,26128,30117,16102,35
1544231,28.27,45.62,101662,87851,56948,1,49251,26163,30084,16101,36
1545231,28.28,45.62,101663,88123,57238,1,50211,26404,30070,16105,37
1546231,28.29,45.61,101662,88123,58018,1,50706,26818,30064,16094,38
1547231,28.3,45.61,101661,88858,57432,1,50809,26637,30086,16086,39
1548231,28.3,45.59,101661,88858,58729,1,51589,26809,30108,16089,40
1549231,28.31,45.58,101661,89416,57841,1,51189,26791,30095,16084,41
1550241,28.32,45.59,101661,89793,58077,1,51641,26882,30067,16082,42
1551230,28.32,45.58,101661,89510,58077,1,51641,26882,30093,16077,43
1552231,28.33,45.57,101662,89698,58353,1,52168,26973,30089,16083,44
1553231,28.34,45.56,101661,90267,57783,1,52133,26583,30082,16071,45
1554231,28.34,45.56,101661,90363,58550,1,52133,26288,30084,16067,46
1555231,28.35,45.54,101661,91135,58313,1,53130,26155,30125,16063,47
1556231,28.36,45.52,101662,91233,58630,1,51816,26057,30086,16055,48
1557231,28.36,45.49,101662,91428,58848,1,52168,26119,30076,16057,49
1558231,28.37,45.48,101661,91822,57920,1,52576,26172,30091,16053,50
1559231,28.37,45.48,101661,92020,59873,1,53238,26137,30110,16048,51
1560231,28.38,45.46,101661,92720,59148,1,52736,25961,30098,16052,52
1561231,28.38,45.44,101661,92119,59449,1,53238,26484,30085,16044,53
1562231,28.38,45.42,101661,92820,59610,1,53582,26448,30117,16045,54
1563231,28.39,45.39,101661,94013,59368,1,53582,26359,30116,16045,55
1564231,28.39,45.36,101661,94065,60341,1,54165,27073,30115,16038,56
1565231,28.39,45.35,101663,94169,59389,1,53275,26673,30110,16031,57
1566231,28.4,45.35,101662,94639,60341,1,53311,27055,30156,16032,58
1567231,28.4,45.33,101663,94534,60382,1,54019,26556,30158,16027,59
1568231,28.41,45.33,101664,94797,60320,1,54441,27082,30127,16021,60
1569231,28.41,45.34,101664,95220,60936,1,54496,26900,30132,16027,61
1570231,28.41,45.32,101665,95220,59691,1,54129,26854,30151,16021,62
1571231,28.42,45.29,101664,94902,59913,1,54331,26991,30112,16014,63
1572261,28.42,45.29,101664,95540,60771,1,55127,27110,30166,16011,65
1573230,28.42,45.28,101664,95114,60771,1,55127,27110,30127,16006,65
1574231,28.43,45.27,101663,95808,60566,1,54774,27119,30148,16000,66
1575231,28.43,45.26,101663,96294,61620,1,54829,27119,30085,16007,67
1576231,28.43,45.24,101664,95916,61184,1,55146,26782,30151,16007,68
1577231,28.44,45.24,101664,96186,61288,1,54904,26982,30141,16002,69
1578231,28.44,45.23,101663,96567,60771,1,55015,26845,30130,15995,70
1579231,28.44,45.21,101663,96786,60566,1,55090,26982,30173,15990,71
1580231,28.44,45.21,101663,96458,61620,1,55784,27248,30149,15991,72
1581231,28.45,45.2,101663,96622,60607,1,55295,26973,30169,15994,73
1582231,28.45,45.19,101664,96841,60833,1,56106,26872,30140,15986,74
1583231,28.45,45.18,101664,96951,60648,1,55558,26800,30131,15981,75
1584231,28.45,45.17,101664,97006,61060,1,55445,26918,30150,15981,76
1585231,28.45,45.18,101664,97006,61495,1,55935,27359,30143,15980,77
1586231,28.46,45.17,101664,97227,60998,1,56449,27000,30166,15980,78
1587231,28.46,45.15,101666,97338,61433,1,55822,27082,30164,15970,79
1588231,28.46,45.15,101666,97449,61391,1,55822,27009,30159,15976,80
1589231,28.46,45.14,101665,96951,61475,1,56049,27461,30177,15962,81
1590231,28.46,45.13,101665,98065,62165,1,56449,27018,30120,15964,82
1591231,28.47,45.14,101664,97393,61267,1,57685,26764,30166,15963,83
1592231,28.47,45.14,101665,97505,62566,1,56049,26945,30173,15956,84
1593242,28.47,45.14,101664,97840,61934,1,56049,26900,30157,15960,85
1594281,28.47,45.15,101664,97338,61788,1,56755,26863,30131,15967,87
1595230,28.48,45.14,101664,97840,61788,1,56755,26863,30130,15948,87
1596231,28.48,45.12,101664,98348,62885,1,56640,26583,30158,15954,88
1597231,28.48,45.11,101664,98121,61101,1,56334,26430,30180,15945,89
1598231,28.49,45.1,101664,97784,61871,1,56755,26619,30143,15943,90
1599231,28.49,45.11,101663,98234,61433,1,56775,26610,30178,15940,91
1600231,28.5,45.12,101663,97952,62397,1,56392,26502,30160,15949,92
1601231,28.5,45.11,101663,98348,62207,1,56967,26637,30093,15944,93
1602231,28.5,45.11,101665,98404,61039,1,56468,26502,30158,15936,94
1603231,28.51,45.09,101666,98518,62481,1,56125,26592,30156,15939,95
1604231,28.51,45.07,101665,98461,62418,1,56986,26927,30153,15934,96
1605231,28.51,45.06,101665,98975,62123,1,57121,27082,30161,15929,97
1606231,28.52,45.06,101665,98121,62672,1,57939,27230,30138,15932,98
1607231,28.52,45.06,101667,98518,62081,1,58037,27751,30167,15933,99
1608231,28.52,45.05,101666,98918,62228,1,57238,27675,30112,15927,100
1609231,28.53,45.04,101666,98860,63012,1,57665,27193,30118,15927,101
1610231,28.53,45.03,101665,98803,63076,1,57841,27138,30141,15924,102
1611231,28.53,45,101665,98632,63742,1,57315,27331,30140,15919,103
1612231,28.53,45,101665,99205,62039,1,59068,27276,30123,15912,104
1613231,28.53,44.98,101666,99090,62693,1,57939,27110,30159,15916,105
1614231,28.53,44.97,101666,99436,62503,1,58412,27647,30130,15913,106
1615251,28.53,44.98,101666,99378,64327,1,58077,27751,30140,15911,107
1616230,28.53,44.98,101665,99902,64327,1,58077,27751,30147,15909,108
1617231,28.54,44.98,101666,98803,63893,1,58709,27601,30132,15909,109
1618231,28.54,44.98,101666,99263,62397,1,58372,27554,30177,15902,110
1619231,28.55,45,101666,99494,64023,1,59148,27619,30143,15901,111
1620231,28.55,45,101666,99610,63376,1,58908,27713,30132,15906,112
1621231,28.56,45,101665,98975,63226,1,59308,27713,30115,15900,113
1622231,28.56,44.99,101666,98461,63958,1,58729,27414,30168,15902,114
1623231,28.56,44.98,101666,99147,63828,1,59288,27239,30177,15903,115
1624231,28.57,44.98,101666,99960,64567,1,58769,27535,30134,15893,116
1625231,28.57,44.98,101665,98975,63140,1,58669,27276,30138,15897,117
1626231,28.58,44.96,101665,99378,63290,1,59248,27257,30176,15888,118
