timestamp,BME688_TEMP,BME688_HUM,BME688_PRES,BME688_R,ENS160_R0,ENS160_R1,ENS160_R2,ENS160_R3,SGP41_VOC,SGP41_NOX,timestamp_s
1614552,28.8,48.23,101422,52631,36938,1,24443,24509,27590,16872,0
1615552,28.76,48.22,101422,63856,25864,1,12805,13772,28052,16909,1
1616552,28.74,48.14,101423,73289,28619,1,14857,16680,28301,16833,2
1617552,28.73,48.07,101422,79725,29604,1,16273,18544,28488,16785,3
1618552,28.73,47.96,101422,85561,30457,1,17448,19656,28660,16753,4
1619552,28.73,47.91,101423,89698,31538,1,18276,20637,28749,16723,5
1620552,28.73,47.84,101424,94797,31731,1,18995,21146,28858,16710,6
1621552,28.73,47.76,101424,96731,32823,1,19385,21771,28931,16686,7
1622552,28.74,47.71,101424,99552,32458,1,20073,22060,29025,16671,8
1623552,28.74,47.65,101425,100727,33361,1,20360,22582,29013,16657,9
1624552,28.75,47.6,101424,102605,33701,1,20855,22913,29120,16644,10
1625552,28.75,47.56,101424,103790,34080,1,21348,23139,29094,16629,11
1626552,28.75,47.53,101423,106444,34462,1,21456,23045,29142,16622,12
1627552,28.75,47.51,101423,105785,34160,1,21837,23534,29188,16613,13
1628552,28.76,47.49,101423,107045,34288,1,21764,23359,29202,16599,14
1629552,28.76,47.47,101424,107653,34638,1,22038,23304,29229,16590,15
1630552,28.76,47.47,101424,108889,34908,1,22248,23518,29261,16571,16
1631552,28.76,47.44,101424,109028,35301,1,22521,23661,29247,16568,17
1632552,28.77,47.45,101424,111014,34708,1,22429,24008,29285,16565,18
1633573,28.77,47.46,101424,109659,35794,1,22643,23992,29289,16557,19
1634633,28.77,47.48,101424,110798,36025,1,22851,23814,29282,16551,20
1635682,28.76,47.48,101424,109871,35842,1,23107,24377,29337,16539,21
1636551,28.77,47.48,101424,111376,35842,1,23107,24377,29303,16533,21
1637552,28.77,47.46,101422,111231,35830,1,23178,24065,29316,16528,23
1638552,28.77,47.46,101424,111376,35480,1,23288,24163,29311,16517,24
1639552,28.76,47.44,101424,112626,35830,1,23201,24147,29315,16509,25
1640552,28.76,47.45,101424,113224,35988,1,23296,23968,29367,16503,26
1641552,28.76,47.44,101425,112256,35685,1,23518,24212,29345,16494,27
1642552,28.76,47.44,101426,112403,36000,1,23494,24294,29328,16488,28
1643552,28.77,47.43,101425,112626,36196,1,23621,24245,29370,16486,29
