timestamp,BME688_TEMP,BME688_HUM,BME688_PRES,BME688_R,ENS160_R0,ENS160_R1,ENS160_R2,ENS160_R3,SGP41_VOC,SGP41_NOX,timestamp_s
1625444,29,48.45,101268,39095,32174,1,18867,14358,27883,16521,0
1626494,28.96,48.42,101268,45519,34849,1,21742,17395,28396,16518,1
1627544,28.94,48.35,101268,51926,36689,1,24212,19352,28676,16430,2
1628583,28.93,48.28,101268,56499,37952,1,25611,20332,28888,16392,3
1629422,28.94,48.22,101268,61332,37952,1,25611,20332,28998,16359,3
1630423,28.94,48.12,101268,63952,39033,1,27303,20954,29131,16335,4
1631423,28.94,48.06,101268,66390,40051,1,27930,21771,29229,16312,5
1632423,28.94,48.01,101268,68248,40146,1,28793,22075,29275,16298,6
1633423,28.95,47.95,101268,69868,40336,1,29845,22429,29354,16273,7
1634423,28.95,47.9,101267,70796,41668,1,30129,22528,29414,16262,8
1635423,28.96,47.86,101268,72112,41136,1,30935,22766,29465,16252,9
1636423,28.96,47.84,101268,72789,42336,1,31177,22936,29479,16245,10
1637423,28.97,47.8,101268,73860,41697,1,31731,23006,29515,16216,11
1638423,28.97,47.78,101268,74440,42022,1,32185,23319,29559,16215,12
1639423,28.97,47.76,101268,75294,42972,1,32580,23637,29568,16201,13
1640421,28.98,47.72,101269,75427,42480,1,32591,23186,29582,16190,14
1641423,28.98,47.69,101269,75896,43278,1,33012,23581,29573,16184,15
1642423,28.99,47.69,101268,76440,42913,1,32845,23430,29617,16177,16
1643423,28.99,47.68,101268,76853,43690,1,33361,23677,29607,16169,17
1644423,28.99,47.67,101268,77062,43720,1,33712,23478,29612,16161,18
1645423,28.99,47.66,101268,77341,43587,1,33953,23870,29651,16150,19
1646423,29,47.65,101268,77411,44136,1,33896,23854,29619,16136,20
1647464,29,47.63,101269,77764,43838,1,33804,23790,29680,16134,22
1648514,29,47.63,101267,77622,44496,1,34369,23895,29650,16125,23
1649564,28.99,47.61,101268,77341,44451,1,34114,23943,29662,16110,24
1650603,28.99,47.62,101268,77693,44032,1,34439,23661,29646,16112,25
1651422,29.01,47.61,101268,79577,44032,1,34439,23661,29705,16107,25
1652421,29.01,47.59,101268,79061,44798,1,34968,24081,29668,16096,26
1653423,29.01,47.58,101269,78842,44017,1,34661,24081,29689,16091,27
1654423,29.01,47.57,101269,79207,44256,1,34661,24098,29656,16078,28
1655423,29.01,47.56,101269,79429,44692,1,35110,23766,29698,16072,29
1656423,29.01,47.55,101269,78987,44166,1,35074,24016,29689,16072,30
1657423,29.01,47.55,101269,79355,45118,1,35098,23862,29686,16065,31
1658423,29.01,47.55,101269,79577,44874,1,34968,24426,29681,16055,32
1659423,29.02,47.53,101269,79503,45271,1,35384,24220,29692,16051,33
1660423,29.02,47.52,101270,79651,45042,1,35122,23959,29721,16040,34
1661423,29.02,47.52,101269,79875,45317,1,35324,24147,29693,16040,35
1662421,29.03,47.52,101269,80025,45424,1,35396,24016,29700,16029,36
1663423,29.03,47.52,101269,79725,44677,1,35301,24098,29661,16017,37
1664423,29.03,47.52,101269,79950,44617,1,35528,24065,29703,16017,38
1665423,29.04,47.51,101269,80025,45347,1,35697,23774,29676,16010,39
1666423,29.04,47.52,101269,80175,44813,1,35312,24147,29679,16006,40
1667423,29.04,47.51,101268,80402,45981,1,35733,24130,29672,16006,41
1668434,29.05,47.51,101269,80250,44798,1,35384,23976,29704,15990,42
1669484,29.05,47.5,101269,80025,45301,1,35384,24212,29737,15987,44
1670534,29.05,47.51,101268,79651,45779,1,35588,24049,29742,15983,45
1671584,29.05,47.51,101268,79651,45240,1,35745,24114,29679,15975,46
1672623,29.05,47.5,101269,79725,45857,1,35782,23959,29719,15973,47
1673422,29.07,47.51,101269,81321,45857,1,35782,23959,29713,15970,47
1674423,29.08,47.49,101270,80629,45286,1,35229,24147,29703,15959,48
1675423,29.08,47.5,101269,80935,45409,1,35733,24220,29691,15954,49
1676423,29.08,47.49,101268,80706,45517,1,35673,24179,29640,15953,50
1677423,29.08,47.49,101269,80175,45301,1,35927,24319,29709,15945,51
1678423,29.08,47.5,101270,80477,46075,1,35891,24114,29686,15939,52
1679423,29.08,47.5,101270,80629,45225,1,35697,23959,29698,15931,53
1680423,29.09,47.5,101271,80629,45919,1,35794,24065,29696,15933,54
1681423,29.09,47.51,101270,80326,45594,1,36086,24509,29692,15923,55
1682423,29.09,47.51,101270,80326,45826,1,35952,24098,29667,15916,56
1683423,29.09,47.49,101270,80935,46075,1,36245,24114,29722,15914,57
1684423,29.1,47.49,101270,80553,45640,1,36429,23951,29697,15900,58
1685421,29.1,47.47,101269,80782,45748,1,35939,24196,29681,15905,59
1686423,29.11,47.47,101269,80859,45764,1,35879,24130,29704,15898,60
1687423,29.11,47.45,101269,80782,45455,1,36049,24196,29695,15904,61
1688423,29.11,47.45,101269,80629,46766,1,36454,24057,29700,15890,62
1689421,29.12,47.43,101269,80553,45671,1,35637,24426,29661,15891,63
1690454,29.12,47.44,101268,80859,46608,1,35988,24245,29662,15887,65
1691504,29.12,47.43,101269,80402,46215,1,36110,24245,29688,15881,66
