timestamp,BME688_TEMP,BME688_HUM,BME688_PRES,BME688_R,ENS160_R0,ENS160_R1,ENS160_R2,ENS160_R3,SGP41_VOC,SGP41_NOX,timestamp_s
1797988,28.3,46.62,101745,40660,61913,1,213605,25447,27930,16825,0
1799038,28.19,46.59,101745,44849,69065,1,229961,27788,28440,16833,1
1800088,28.12,46.49,101746,50542,73827,1,242101,30283,28733,16743,2
1801138,28.07,46.4,101745,55907,78067,1,251284,31591,28969,16701,3
1802188,28.04,46.3,101744,60677,80618,1,260904,32923,29157,16669,4
1803238,28.02,46.23,101744,64826,82943,1,269429,33953,29314,16644,5
1804288,28.01,46.14,101743,68522,84759,1,278516,34486,29481,16622,6
1805327,28,46.09,101743,72051,86909,1,287130,35988,29575,16605,7
1805966,28.03,46.08,101742,77481,86909,1,287130,35988,29629,16597,7
1806967,28.04,46.01,101743,79503,88782,1,290847,36764,29685,16586,8
1807967,28.04,45.97,101743,81867,89234,1,297014,36764,29807,16573,9
1808967,28.04,45.92,101743,83550,91311,1,302595,37429,29834,16560,10
1809967,28.04,45.9,101743,85819,91311,1,305476,37429,29915,16554,11
1810967,28.05,45.87,101743,88306,92650,1,313860,38068,29908,16545,12
1811967,28.05,45.84,101743,89793,93122,1,317708,38352,29977,16538,13
1812967,28.06,45.83,101743,91135,94136,1,320191,38522,29991,16526,14
1813967,28.07,45.78,101743,94065,95807,1,329201,38994,30025,16519,15
1814967,28.07,45.76,101742,94955,97014,1,328200,39713,30070,16516,16
1815967,28.08,45.72,101742,95754,96588,1,339154,39153,30104,16504,17
1816967,28.09,45.69,101743,97006,97772,1,339383,39713,30091,16496,18
1817967,28.09,45.66,101743,98461,98670,1,343428,39285,30115,16499,19
1818978,28.1,45.63,101743,98632,99307,1,345643,39619,30144,16492,20
1820028,28.1,45.62,101743,100313,99711,1,347755,39285,30187,16478,22
1821078,28.11,45.61,101743,100609,99981,1,359605,40309,30168,16485,23
1822117,28.11,45.6,101743,100906,99239,1,360946,40706,30215,16476,24
1822966,28.13,45.6,101743,102914,99239,1,360946,40706,30160,16466,24
1823967,28.14,45.59,101743,102790,101070,1,360458,40762,30218,16462,25
1824967,28.14,45.56,101743,103853,101001,1,365742,40254,30207,16454,26
1825967,28.15,45.53,101742,104875,101860,1,362415,40227,30179,16449,27
1826967,28.16,45.53,101742,105068,102309,1,372236,40010,30212,16447,28
1827967,28.16,45.49,101742,105198,102725,1,374130,40858,30233,16444,29
1828967,28.17,45.48,101741,105719,104055,1,375145,40146,30247,16439,30
1829967,28.17,45.46,101742,105916,105580,1,376544,40610,30278,16430,31
1830967,28.18,45.45,101742,106777,103844,1,376544,42079,30228,16429,32
1831967,28.18,45.42,101742,106911,103703,1,380516,40295,30253,16424,33
1832967,28.19,45.41,101743,107857,104372,1,378204,40528,30255,16417,34
1833967,28.19,45.39,101743,107721,104833,1,387534,40569,30229,16407,35
1834967,28.2,45.38,101743,107925,106190,1,388322,41261,30214,16404,36
1835967,28.2,45.37,101743,108751,106118,1,388453,40914,30212,16402,37
1836967,28.21,45.36,101743,108889,106441,1,387272,40583,30266,16398,38
1837967,28.21,45.36,101742,109238,106261,1,390298,41443,30264,16394,39
1838967,28.22,45.37,101743,109518,104975,1,395886,40858,30289,16394,40
1839967,28.22,45.35,101742,109238,107673,1,397631,40817,30240,16393,41
1841018,28.23,45.33,101743,109659,106333,1,396959,41443,30247,16386,43
1842057,28.23,45.31,101743,110154,106911,1,397631,40858,30278,16381,44
1842966,28.24,45.3,101744,110798,106911,1,397631,40858,30261,16377,44
1843967,28.24,45.28,101744,110583,107237,1,396691,41108,30236,16377,45
1844967,28.25,45.25,101744,110942,106875,1,399655,40624,30250,16371,46
1845967,28.25,45.24,101744,110870,108515,1,398710,40418,30250,16365,47
1846967,28.25,45.23,101744,110942,107164,1,403461,41401,30240,16365,48
1847967,28.25,45.21,101744,111522,107056,1,399926,40706,30244,16364,49
1848967,28.26,45.21,101744,111304,108883,1,401146,40295,30206,16356,50
1849967,28.26,45.2,101743,111888,108038,1,412295,41303,30206,16355,51
1850967,28.27,45.19,101743,112256,108588,1,405926,41108,30252,16350,52
1851967,28.28,45.18,101743,111522,108075,1,409098,41838,30199,16341,53
1852967,28.28,45.16,101743,111668,108002,1,407578,40583,30264,16345,54
1853967,28.28,45.15,101743,112108,110554,1,409653,40969,30212,16333,55
1854967,28.29,45.14,101743,112329,110068,1,414113,40446,30213,16336,56
1855967,28.29,45.14,101743,112182,111493,1,419900,40693,30287,16325,57
1856967,28.3,45.13,101744,112329,109141,1,414815,41205,30202,16315,58
