timestamp,BME688_TEMP,BME688_HUM,BME688_PRES,BME688_R,ENS160_R0,ENS160_R1,ENS160_R2,ENS160_R3,SGP41_VOC,SGP41_NOX,timestamp_s
3108975,28.23,46.86,101751,20826,39983,1,64131,10911,26851,16136,0
3110025,28.11,46.81,101751,24672,44707,1,68739,13615,27324,16100,1
3111075,28.04,46.71,101751,28533,48049,1,71057,15415,27537,15997,2
3112125,27.99,46.62,101752,32339,50024,1,74960,17115,27743,15918,3
3113175,27.96,46.52,101752,36117,52487,1,77148,18544,27926,15844,4
3114225,27.94,46.43,101752,39862,54294,1,80427,19803,28071,15777,5
3115275,27.92,46.36,101753,42909,55558,1,84045,20764,28178,15714,6
3116314,27.92,46.3,101753,45763,58057,1,86674,21515,28274,15664,7
3116953,27.95,46.27,101753,51118,58057,1,86674,21515,28401,15628,7
3117954,27.95,46.17,101753,53222,59368,1,91528,22589,28471,15587,8
3118954,27.95,46.09,101754,55615,61371,1,94136,24065,28540,15549,9
3119954,27.95,46.03,101753,57800,62186,1,99846,24826,28611,15507,10
3120954,27.95,45.98,101752,59618,64283,1,104337,25148,28680,15481,11
3121954,27.96,45.96,101752,61288,64939,1,107455,26057,28728,15453,12
3122954,27.96,45.93,101753,63147,66677,1,111682,26836,28809,15414,13
3123954,27.96,45.89,101752,64532,67016,1,113281,27387,28831,15400,14
3124954,27.97,45.87,101752,65979,67837,1,118456,27816,28898,15370,15
3125954,27.98,45.86,101753,67173,69019,1,120437,28387,28891,15346,16
3126954,27.98,45.82,101752,68412,69747,1,124499,28609,28927,15331,17
3127954,27.99,45.8,101752,69301,70244,1,128133,29127,28978,15308,18
3128954,27.99,45.79,101752,70156,71370,1,129572,29225,29025,15290,19
3129965,28,45.77,101751,71329,71153,1,133308,29594,29036,15271,20
3131015,28,45.75,101752,71568,72638,1,136597,30089,29029,15254,22
3132065,28,45.76,101752,72603,72933,1,140156,29977,29055,15241,23
3133115,28.01,45.74,101752,72603,73205,1,143128,30561,29057,15229,24
3134165,28.01,45.74,101752,73669,74631,1,145374,30571,29095,15216,25
3135215,28.01,45.71,101752,74310,74758,1,149516,31040,29108,15197,26
3136254,28.02,45.71,101750,74440,75265,1,150837,31262,29132,15189,27
3136953,28.06,45.71,101751,76992,75265,1,150837,31262,29126,15190,27
3137954,28.07,45.66,101750,77131,74581,1,152222,31517,29132,15181,28
3138954,28.07,45.64,101750,77201,76939,1,155555,31040,29138,15160,29
3139954,28.08,45.62,101749,77341,75879,1,155871,31346,29135,15150,30
3140954,28.08,45.59,101749,77693,76576,1,157889,31559,29127,15148,31
3141954,28.08,45.57,101748,78120,76033,1,160747,31442,29180,15146,32
3142954,28.09,45.56,101748,77906,76861,1,162717,31656,29187,15138,33
3143954,28.1,45.56,101748,78842,77096,1,164600,32000,29172,15127,34
3144954,28.1,45.53,101749,78551,76861,1,165326,32250,29171,15123,35
3145954,28.11,45.53,101750,78624,77593,1,165438,32054,29215,15115,36
3146954,28.12,45.51,101750,79281,78015,1,168490,32371,29207,15115,37
3147954,28.12,45.49,101749,79281,77070,1,167750,31989,29211,15108,38
