timestamp,BME688_TEMP,BME688_HUM,BME688_PRES,BME688_R,ENS160_R0,ENS160_R1,ENS160_R2,ENS160_R3,SGP41_VOC,SGP41_NOX,timestamp_s
3476095,28.34,46.96,101668,42780,84074,1,117220,22248,26696,16040,0
3477095,28.23,46.9,101667,45861,37177,1,43001,5252,27166,16029,1
3478095,28.15,46.81,101665,50844,41080,1,46309,7451,27416,15954,2
3479095,28.11,46.73,101666,55507,44376,1,48441,8798,27596,15890,3
3480095,28.08,46.64,101667,60206,45919,1,50672,10005,27746,15841,4
3481095,28.06,46.56,101667,64875,47435,1,52274,10915,27884,15799,5
3482095,28.05,46.48,101667,68743,49788,1,54626,11806,28010,15755,6
3483095,28.04,46.44,101667,72976,52861,1,56755,12672,28098,15720,7
3484095,28.04,46.36,101667,77062,53636,1,59008,13382,28205,15683,8
3485095,28.04,46.33,101667,80477,55502,1,61558,14131,28324,15653,9
3486095,28.04,46.26,101667,83469,56794,1,62799,14817,28394,15623,10
3487095,28.05,46.23,101667,86691,58729,1,65314,15384,28483,15594,11
3488095,28.06,46.18,101666,89416,59934,1,67562,15994,28567,15562,12
3489095,28.06,46.17,101666,91921,60771,1,69511,16317,28632,15533,13
3490095,28.07,46.12,101667,95326,62970,1,71855,16930,28678,15517,14
3491095,28.08,46.1,101666,97449,63140,1,75189,17454,28744,15499,15
3492095,28.09,46.09,101667,99494,65558,1,75087,17674,28785,15466,16
3493095,28.09,46.05,101667,100431,65780,1,77751,18043,28831,15446,17
3494095,28.1,46.04,101667,102420,67403,1,79292,18258,28899,15427,18
3495146,28.11,46.01,101667,103980,68137,1,81001,18588,28910,15414,19
3496195,28.11,45.98,101667,105523,69159,1,83027,18957,28956,15388,20
3497094,28.12,45.98,101668,108405,69159,1,83027,18957,28950,15386,20
3498095,28.13,45.95,101668,109448,69747,1,84188,19131,29012,15360,22
3499095,28.14,45.93,101668,110083,69936,1,85335,19385,29024,15351,23
3500095,28.14,45.91,101668,112035,70244,1,86002,19274,29023,15343,24
3501095,28.15,45.88,101667,113074,71467,1,88542,19503,29062,15330,25
3502095,28.16,45.87,101667,113450,72613,1,89415,19696,29075,15310,26
3503095,28.16,45.87,101668,113601,72221,1,89901,19722,29098,15300,27
3504095,28.17,45.86,101668,114056,72294,1,90542,19897,29094,15290,28
3505095,28.18,45.84,101668,114592,73603,1,92025,19709,29120,15281,29
3506095,28.19,45.83,101669,115133,74859,1,92525,20284,29120,15268,30
3507095,28.2,45.81,101670,116708,75036,1,95290,20547,29141,15264,31
3508095,28.2,45.78,101670,117350,77804,1,96392,20771,29157,15249,32
3509095,28.21,45.78,101670,118573,75469,1,98804,20799,29148,15243,33
3510095,28.22,45.75,101670,119069,77305,1,99273,20919,29199,15231,34
3511095,28.23,45.75,101671,119402,78544,1,99812,21104,29172,15228,35
3512095,28.24,45.72,101670,119319,78998,1,103248,20919,29157,15220,36
3513106,28.24,45.73,101671,119906,78412,1,102378,21427,29185,15213,37
3514166,28.25,45.71,101670,119654,78253,1,103633,21435,29191,15200,38
3515215,28.25,45.7,101671,120329,78891,1,103844,21254,29198,15196,39
3516094,28.26,45.7,101670,121269,78891,1,103844,21254,29184,15189,39
3517095,28.27,45.69,101670,121097,78438,1,104372,21011,29201,15184,41
3518095,28.28,45.66,101669,120584,78544,1,104337,20609,29229,15185,42
3519095,28.28,45.65,101668,121528,77751,1,103844,20792,29223,15174,43
3520095,28.29,45.62,101667,121701,77804,1,104620,20630,29198,15170,44
3521095,28.29,45.61,101667,122488,77698,1,104337,20672,29229,15166,45
3522095,28.3,45.61,101666,122576,78598,1,103668,20505,29250,15163,46
3523095,28.3,45.58,101667,123017,77751,1,105509,20243,29211,15152,47
3524095,28.31,45.57,101667,123373,77909,1,103248,20498,29224,15153,48
3525095,28.31,45.55,101667,123462,77488,1,104266,20589,29258,15143,49
3526095,28.31,45.53,101667,123462,77567,1,103388,19984,29263,15138,50
3527095,28.32,45.53,101667,123910,76861,1,102725,20367,29250,15138,51
3528095,28.32,45.5,101667,124543,76395,1,104655,20011,29292,15137,52
3529095,28.32,45.49,101667,125275,76136,1,102274,19951,29218,15130,53
3530095,28.32,45.47,101667,125644,76498,1,103108,19856,29206,15121,54
3531095,28.33,45.46,101668,126388,76809,1,101687,20154,29231,15119,55
3532126,28.33,45.46,101667,126669,76524,1,101860,20250,29225,15118,56
3533186,28.33,45.44,101668,126858,76939,1,103914,20346,29273,15111,57
3534235,28.33,45.43,101668,126952,76705,1,103143,20742,29231,15110,58
3535094,28.35,45.43,101668,128967,76705,1,103143,20742,29241,15109,58
3536095,28.35,45.4,101668,129456,77962,1,103984,20540,29224,15102,60
3537095,28.35,45.4,101667,129260,77488,1,104090,20464,29195,15098,61
3538095,28.36,45.4,101667,130147,77909,1,103914,20820,29242,15098,62
3539095,28.36,45.38,101667,130346,78598,1,104655,20792,29219,15087,63
3540095,28.37,45.37,101667,130645,78306,1,104337,21061,29211,15088,64
3541095,28.37,45.37,101667,131147,79373,1,106550,21004,29240,15091,65
3542095,28.37,45.38,101668,131450,78598,1,107528,21384,29279,15087,66
3543095,28.38,45.34,101669,131349,80264,1,107164,21610,29254,15083,67
3544095,28.38,45.34,101669,131551,79804,1,109104,21845,29259,15080,68
3545095,28.39,45.33,101669,132060,79804,1,109585,21860,29239,15077,69
3546095,28.39,45.32,101670,132470,81358,1,110442,21734,29239,15072,70
3547095,28.4,45.3,101670,132676,81358,1,111644,22023,29272,15072,71
3548095,28.4,45.3,101671,133298,82551,1,111531,22391,29257,15064,72
3549095,28.41,45.3,101671,133298,81800,1,112250,22331,29259,15069,73
3550095,28.41,45.27,101671,133507,83394,1,114670,22559,29259,15062,74
3551146,28.41,45.27,101670,133507,83196,1,115448,22650,29259,15063,75
3552206,28.41,45.26,101670,133298,83875,1,116706,22505,29239,15060,76
3553255,28.42,45.26,101670,132676,83790,1,116548,22498,29259,15057,77
3554094,28.43,45.25,101670,134347,83790,1,116548,22498,29284,15055,77
3555095,28.44,45.23,101670,133194,84330,1,118497,22612,29287,15056,79
3556095,28.45,45.25,101671,133194,84245,1,117498,22766,29254,15057,80
3557095,28.45,45.25,101672,132470,84302,1,118537,22490,29270,15052,81
3558095,28.46,45.22,101672,132676,83903,1,116943,22720,29253,15055,82
3559095,28.46,45.2,101672,132676,83903,1,118096,22559,29297,15047,83
3560095,28.47,45.19,101671,132676,83196,1,120193,22270,29263,15048,84
3561095,28.47,45.18,101672,133821,83676,1,117220,22113,29249,15040,85
3562095,28.47,45.15,101670,133402,82495,1,117936,21971,29256,15047,86
3563095,28.48,45.15,101669,133507,82803,1,117260,21793,29277,15046,87
3564095,28.48,45.14,101669,133507,83960,1,118577,22023,29251,15051,88
3565095,28.49,45.13,101669,133926,83168,1,118577,22301,29284,15043,89
3566095,28.49,45.12,101669,133402,84017,1,117618,22285,29227,15037,90
3567095,28.49,45.11,101668,133926,82691,1,120030,22278,29276,15037,91
3568095,28.5,45.1,101668,134559,81939,1,117300,21897,29247,15035,92
3569105,28.5,45.08,101668,134031,83337,1,118577,22150,29284,15033,93
3570094,28.51,45.09,101667,134242,83337,1,118577,22150,29281,15034,93
