timestamp,BME688_TEMP,BME688_HUM,BME688_PRES,BME688_R,ENS160_R0,ENS160_R1,ENS160_R2,ENS160_R3,SGP41_VOC,SGP41_NOX,timestamp_s
3786626,28.25,46.44,101736,11666,13758,1,4448,4527,26592,16880,0
3787665,28.14,46.37,101736,16120,16306,1,5259,6316,27010,16837,1
3788614,28.08,46.28,101736,20725,16306,1,5259,6316,27200,16720,1
3789615,28.04,46.17,101735,25346,17866,1,5829,7286,27362,16609,2
3790615,28.01,46.08,101735,29479,19002,1,6374,8272,27537,16513,3
3791615,28,46,101735,33324,20512,1,6916,9200,27630,16430,4
3792615,27.99,45.92,101735,36866,21734,1,7431,9928,27710,16351,5
3793615,27.98,45.85,101735,39937,22605,1,7916,10750,27817,16286,6
3794615,27.98,45.81,101735,42398,23685,1,8468,11120,27929,16216,7
3795615,27.99,45.75,101735,44991,24542,1,8991,11830,27970,16166,8
3796615,27.99,45.69,101734,48012,25742,1,9520,12514,28026,16107,9
3797615,28,45.65,101734,50602,26664,1,9989,13033,28070,16064,10
3798615,28,45.61,101735,52373,27892,1,10452,13684,28146,16020,11
3799615,28.01,45.57,101735,53623,28425,1,10896,14212,28172,15981,12
3800615,28.02,45.55,101735,55006,28832,1,11252,14396,28227,15945,13
3801615,28.03,45.53,101735,55944,29775,1,11522,14837,28248,15916,14
3802615,28.03,45.52,101735,56800,30447,1,11895,14847,28283,15879,15
3803615,28.04,45.49,101735,57644,30592,1,12159,15218,28323,15855,16
3804615,28.05,45.49,101735,57997,30768,1,12167,15167,28319,15829,17
3805615,28.06,45.47,101735,58394,30581,1,12205,15141,28338,15805,18
3806615,28.06,45.45,101734,58554,30841,1,12213,14998,28387,15782,19
3807615,28.07,45.44,101734,59327,30779,1,12143,15182,28390,15758,20
3808615,28.08,45.42,101734,59827,31040,1,12118,15296,28406,15747,21
3809615,28.08,45.41,101734,59911,31389,1,12561,15208,28467,15721,22
3810615,28.09,45.39,101735,60721,31559,1,12463,15588,28501,15703,23
3811646,28.1,45.38,101735,61376,32327,1,12914,16070,28474,15696,25
3812686,28.1,45.36,101735,61464,33147,1,13278,16422,28478,15674,26
3813725,28.11,45.32,101735,62729,34172,1,13753,16959,28485,15659,27
3814614,28.12,45.3,101734,64728,34172,1,13753,16959,28510,15657,27
3815615,28.12,45.26,101735,64679,34114,1,14040,17336,28494,15643,28
3816615,28.13,45.23,101734,64581,34160,1,14150,16890,28495,15628,29
3817615,28.13,45.22,101734,64581,33861,1,14117,17040,28504,15615,30
3818615,28.14,45.22,101734,65173,34323,1,13993,17016,28539,15606,31
3819615,28.15,45.21,101734,65573,34873,1,14372,17266,28504,15603,32
3820615,28.16,45.17,101734,66753,35205,1,14548,17307,28532,15585,33
3821615,28.16,45.14,101734,67015,35015,1,14752,17644,28534,15574,34
3822615,28.17,45.14,101734,67386,34873,1,14642,17366,28571,15568,35
3823615,28.17,45.12,101734,67922,34439,1,14319,16907,28557,15565,36
3824615,28.18,45.1,101734,67599,34358,1,14193,16827,28566,15554,37
3825615,28.19,45.09,101733,67546,33896,1,14141,16641,28571,15546,38
3826615,28.19,45.09,101733,67386,33953,1,13866,16540,28567,15546,39
3827615,28.2,45.07,101734,67386,33873,1,13847,16517,28561,15536,40
3828615,28.21,45.05,101734,68193,34022,1,13777,16506,28557,15525,41
3829615,28.21,45.01,101733,68965,34172,1,13927,17120,28557,15521,42
3830615,28.22,45.01,101733,69301,34103,1,14012,17080,28574,15509,43
3831615,28.22,44.97,101733,69983,34462,1,14333,16703,28580,15508,44
3832615,28.23,44.95,101732,70445,34486,1,14074,16810,28587,15503,45
3833615,28.23,44.94,101731,70620,33964,1,13908,16680,28566,15495,46
3834615,28.24,44.91,101731,71329,33930,1,13974,16624,28574,15489,47
3835626,28.24,44.91,101731,70914,33896,1,13936,16833,28554,15485,49
3836666,28.25,44.89,101731,70855,33930,1,13936,16601,28554,15479,50
3837706,28.25,44.89,101731,71869,33850,1,13698,16827,28564,15475,51
3838745,28.25,44.86,101732,72051,33542,1,13633,16317,28586,15473,52
3839614,28.26,44.85,101732,73669,33542,1,13633,16317,28585,15472,52
3840615,28.27,44.85,101732,73415,33861,1,13679,16523,28560,15465,53
3841615,28.27,44.83,101732,74440,33394,1,13758,16273,28585,15463,54
3842615,28.27,44.8,101730,74440,33372,1,13656,16624,28561,15457,55
3843615,28.27,44.79,101730,75095,33964,1,13675,16584,28563,15450,56
3844615,28.28,44.76,101731,75493,33953,1,13819,16551,28565,15445,57
3845615,28.28,44.77,101730,76099,33496,1,14040,16936,28545,15442,58
3846615,28.28,44.77,101730,75762,33724,1,13903,16523,28598,15436,59
3847615,28.28,44.76,101730,74440,33158,1,13819,16500,28544,15431,60
3848615,28.29,44.76,101730,73988,33203,1,13582,16686,28576,15426,61
3849615,28.29,44.78,101730,73226,33451,1,13805,16484,28571,15423,62
3850615,28.3,44.78,101730,73038,33953,1,14017,16810,28569,15416,63
3851615,28.3,44.78,101729,72234,33712,1,13823,16902,28588,15417,64
3852615,28.31,44.79,101729,71748,33338,1,13965,16776,28578,15415,65
3853615,28.31,44.79,101729,70329,33406,1,13730,16714,28560,15415,66
3854615,28.32,44.77,101728,70503,33678,1,13795,16669,28568,15409,67
3855615,28.32,44.77,101729,70620,33428,1,13852,16771,28570,15404,68
3856615,28.33,44.77,101729,70156,33440,1,13791,16229,28555,15407,69
3857615,28.33,44.76,101727,70098,33057,1,13777,16389,28528,15405,70
3858615,28.34,44.75,101727,69926,33304,1,13578,16461,28550,15399,71
3859615,28.34,44.74,101728,70503,32901,1,13675,16422,28578,15390,72
3860646,28.34,44.73,101728,70503,33338,1,13610,16428,28565,15388,74
3861685,28.35,44.69,101728,70973,33147,1,13564,16372,28591,15388,75
3862614,28.36,44.66,101728,71869,33147,1,13564,16372,28576,15389,75
3863615,28.36,44.66,101728,72051,34195,1,14270,17231,28559,15383,76
3864615,28.36,44.67,101728,71091,34626,1,14367,17413,28604,15382,77
3865615,28.36,44.65,101728,71269,33964,1,14270,17057,28596,15376,78
3866615,28.37,44.64,101730,72112,34626,1,14475,17608,28596,15374,79
3867615,28.37,44.62,101729,72234,35697,1,15141,17794,28570,15372,80
3868615,28.37,44.61,101729,72357,36196,1,15536,17927,28591,15374,81
3869615,28.37,44.61,101729,72173,36000,1,15192,17842,28583,15364,82
3870615,28.38,44.61,101729,72976,35420,1,15121,17602,28557,15352,83
3871615,28.38,44.58,101729,72357,35110,1,14862,17674,28575,15369,84
3872615,28.38,44.57,101728,73101,34638,1,14603,17196,28606,15363,85
3873615,28.38,44.56,101728,73542,34404,1,14529,17225,28570,15369,86
3874615,28.39,44.53,101729,73605,34544,1,14445,17330,28542,15361,87
3875615,28.39,44.53,101729,74052,34241,1,14421,17115,28540,15355,88
3876615,28.39,44.53,101728,73289,33918,1,14392,16862,28538,15358,89
3877615,28.39,44.53,101728,73669,33953,1,14179,16873,28578,15348,90
3878615,28.4,44.51,101728,73988,33758,1,14121,16993,28571,15358,91
3879615,28.4,44.52,101729,73860,34160,1,14131,16879,28585,15351,92
3880615,28.41,44.5,101730,74700,34114,1,14193,16999,28534,15350,93
3881615,28.41,44.49,101729,74505,34814,1,14348,16833,28567,15351,94
3882615,28.42,44.47,101730,74505,34323,1,14450,17336,28577,15343,95
3883615,28.42,44.47,101729,74181,34532,1,14847,17319,28564,15342,96
3884626,28.42,44.48,101729,73796,35301,1,14882,17806,28586,15343,98
3885676,28.43,44.48,101729,73163,35480,1,14862,17764,28545,15342,99
3886716,28.43,44.48,101730,72357,35039,1,14912,17436,28576,15345,100
3887756,28.43,44.47,101730,71688,34673,1,14543,17330,28581,15337,101
3888795,28.43,44.48,101730,71448,34638,1,14534,16930,28529,15342,102
3889614,28.45,44.48,101730,73226,34638,1,14534,16930,28566,15337,102
3890615,28.45,44.47,101730,72727,34195,1,14319,16850,28586,15335,103
3891615,28.46,44.47,101730,71628,33896,1,14237,16748,28565,15335,104
3892615,28.46,44.48,101731,71991,33918,1,13998,16579,28535,15333,105
3893615,28.46,44.52,101731,71568,33394,1,13983,16517,28542,15342,106
3894615,28.46,44.52,101731,71269,33621,1,14045,16725,28550,15334,107
3895615,28.46,44.54,101731,71388,33394,1,13936,16771,28540,15333,108
3896615,28.47,44.54,101732,71628,33406,1,14050,16890,28561,15331,109
3897615,28.47,44.53,101732,72480,34392,1,14416,17063,28578,15326,110
3898615,28.48,44.52,101732,73542,34956,1,14782,18055,28524,15324,111
3899615,28.48,44.49,101732,73542,35193,1,15014,17454,28542,15319,112
3900615,28.49,44.49,101733,73478,35074,1,14872,17424,28501,15326,113
3901615,28.49,44.48,101733,73163,35098,1,14573,17295,28587,15315,114
3902615,28.49,44.46,101733,73352,35576,1,15254,18258,28544,15318,115
3903615,28.5,44.45,101732,72976,35782,1,15316,18159,28548,15314,116
3904615,28.5,44.45,101732,73163,35879,1,15494,18301,28529,15313,117
3905615,28.51,44.44,101733,72976,36220,1,15689,18073,28549,15314,118
