timestamp,BME688_TEMP,BME688_HUM,BME688_PRES,BME688_R,ENS160_R0,ENS160_R1,ENS160_R2,ENS160_R3,SGP41_VOC,SGP41_NOX,timestamp_s
3789690,28.38,46.7,101668,49230,37747,1,43927,5626,26942,16135,0
3790739,28.27,46.67,101666,52276,41711,1,48556,7911,27412,16141,1
3791658,28.21,46.6,101666,57334,41711,1,48556,7911,27636,16067,1
3792659,28.17,46.51,101665,62045,44541,1,50792,9405,27809,16009,2
3793659,28.14,46.43,101665,66858,46766,1,52239,10548,27976,15958,3
3794659,28.13,46.34,101665,71329,49218,1,54386,11538,28073,15918,4
3795659,28.12,46.28,101665,75560,51102,1,57102,12650,28234,15877,5
3796659,28.11,46.23,101664,79503,53727,1,59529,13409,28333,15833,6
3797659,28.11,46.17,101664,83143,55333,1,61081,14426,28439,15801,7
3798659,28.11,46.11,101663,86868,56813,1,63828,15070,28516,15765,8
3799659,28.12,46.07,101663,90172,58491,1,66160,15572,28562,15739,9
3800659,28.13,46.03,101664,94377,60259,1,68321,16125,28716,15708,10
3801659,28.13,45.98,101663,97172,62355,1,70030,16450,28771,15683,11
3802659,28.14,45.96,101664,99727,63140,1,72123,17115,28831,15654,12
3803659,28.15,45.91,101664,101931,63012,1,74480,17395,28872,15636,13
3804659,28.16,45.89,101663,103727,64023,1,74707,17806,28909,15607,14
3805659,28.16,45.86,101663,106113,66204,1,76679,17969,28985,15591,15
3806659,28.17,45.83,101663,107789,66564,1,78651,18202,29024,15575,16
3807659,28.18,45.81,101663,110083,67243,1,80946,18841,29074,15549,17
3808710,28.18,45.77,101663,110654,68972,1,83506,19261,29091,15528,19
3809760,28.18,45.74,101663,112999,69276,1,83563,19163,29106,15513,20
3810820,28.19,45.74,101664,113904,70149,1,85133,19636,29120,15503,21
3811880,28.19,45.71,101664,115056,71346,1,86909,19850,29185,15482,22
3812930,28.2,45.7,101664,116073,71540,1,89053,20209,29188,15453,23
3813990,28.2,45.68,101664,117269,73057,1,90603,20332,29199,15443,24
3815050,28.21,45.68,101664,117593,74228,1,91281,20568,29198,15436,25
3816100,28.22,45.67,101664,117836,75214,1,93027,20778,29238,15421,26
3817160,28.23,45.66,101665,118162,75291,1,95064,20961,29256,15408,27
3818209,28.23,45.65,101665,118655,75853,1,96262,21247,29270,15395,28
3818658,28.3,45.64,101664,124725,75853,1,96262,21247,29271,15392,28
3819659,28.31,45.59,101664,123284,75214,1,97409,21370,29271,15381,29
3820659,28.31,45.57,101665,123373,76965,1,98570,21442,29273,15362,30
3821659,28.31,45.53,101665,124091,75700,1,100524,21413,29308,15363,31
3822659,28.3,45.5,101665,124271,76317,1,100422,21348,29311,15349,32
3823659,28.31,45.49,101664,124908,77436,1,100524,21211,29321,15334,33
3824659,28.31,45.48,101664,125459,77357,1,101791,21104,29319,15327,34
3825659,28.31,45.46,101664,125736,77253,1,101070,21218,29343,15318,35
3826670,28.31,45.48,101664,126201,77541,1,102447,21096,29298,15312,36
3827719,28.32,45.44,101665,126388,76887,1,102725,20905,29353,15312,38
3828658,28.32,45.44,101664,127047,76887,1,102725,20905,29321,15292,38
3829659,28.33,45.43,101664,127712,77200,1,102413,21161,29347,15292,39
3830659,28.34,45.41,101664,128000,78067,1,103039,21061,29356,15288,40
3831659,28.34,45.4,101663,128869,77541,1,105117,21610,29353,15278,41
3832659,28.35,45.4,101663,129554,79453,1,106261,21949,29355,15264,42
3833659,28.35,45.37,101662,130346,79453,1,106405,21904,29352,15266,43
3834659,28.36,45.36,101662,130346,79669,1,106730,22068,29376,15257,44
3835659,28.36,45.34,101663,131248,80455,1,110068,22090,29348,15247,45
3836659,28.37,45.33,101663,131958,80646,1,109585,22605,29341,15245,46
3837659,28.37,45.3,101663,131755,81413,1,110778,22406,29367,15245,47
3838659,28.38,45.3,101664,131958,82411,1,111947,22681,29374,15235,48
3839659,28.38,45.28,101664,132676,82607,1,111493,22650,29327,15233,49
3840659,28.39,45.27,101664,133090,82747,1,114631,22866,29375,15230,50
3841659,28.39,45.25,101664,133402,82523,1,114205,22983,29394,15223,51
3842659,28.4,45.24,101665,134031,82216,1,115566,22851,29351,15216,52
3843659,28.41,45.24,101665,134878,82859,1,115019,23045,29389,15217,53
3844659,28.41,45.21,101664,134665,83196,1,115448,22820,29379,15212,54
3845690,28.42,45.21,101663,134985,82747,1,116903,22858,29378,15207,56
3846740,28.42,45.19,101664,135199,83027,1,116548,23037,29407,15201,57
3847800,28.42,45.18,101663,135521,82803,1,118416,22990,29373,15195,58
3848860,28.42,45.18,101662,134772,82300,1,118898,22536,29370,15194,59
3849910,28.43,45.18,101662,135306,82495,1,115997,22406,29355,15190,60
3850970,28.43,45.17,101662,134665,81800,1,117300,22308,29404,15189,61
3852030,28.43,45.17,101663,134453,80946,1,115097,22038,29404,15189,62
3853080,28.44,45.16,101663,135199,80892,1,116272,21815,29389,15182,63
3854140,28.44,45.15,101662,133821,79723,1,115175,21529,29386,15179,64
3855200,28.44,45.14,101662,134985,79346,1,112631,21312,29400,15172,65
3856250,28.44,45.11,101662,135092,78491,1,112975,21211,29370,15171,66
3857303,28.44,45.12,101661,135199,78306,1,110479,20940,29417,15163,67
3857725,28.52,45.13,101662,141828,78306,1,110479,20940,29382,15165,68
3858659,28.53,45.09,101661,140543,79373,1,111871,21398,29381,15163,68
3859657,28.52,45.05,101661,138715,80509,1,112517,21889,29407,15153,69
3860659,28.51,45.04,101659,137931,80618,1,113434,21697,29412,15155,70
3861659,28.51,45.02,101659,137375,81001,1,115175,21734,29395,15151,71
3862659,28.51,45,101659,137486,81331,1,113819,22263,29397,15152,72
3863659,28.51,45.01,101659,137155,83027,1,115487,22635,29421,15147,73
3864699,28.51,44.99,101659,137155,84245,1,115761,22820,29426,15152,75
3865658,28.51,44.98,101659,138154,84245,1,115761,22820,29402,15145,75
3866659,28.52,44.99,101660,137155,84131,1,117180,23154,29420,15143,76
3867659,28.52,44.98,101660,136606,84587,1,118697,23092,29394,15137,77
3868659,28.53,44.98,101660,135199,84473,1,118818,23438,29366,15136,78
3869659,28.53,44.98,101661,133926,85076,1,120030,23518,29390,15133,79
3870659,28.54,44.97,101660,133298,85827,1,121420,23645,29390,15139,80
3871657,28.54,44.96,101660,133298,84302,1,120641,23139,29384,15129,81
