timestamp,BME688_TEMP,BME688_HUM,BME688_PRES,BME688_R,ENS160_R0,ENS160_R1,ENS160_R2,ENS160_R3,SGP41_VOC,SGP41_NOX,timestamp_s
3792788,28.31,46.42,101751,22686,41373,1,70268,11472,27133,16302,0
3793838,28.2,46.38,101750,26694,45950,1,73205,14450,27619,16265,1
3794888,28.13,46.29,101750,30710,48458,1,75905,16256,27844,16154,2
3795938,28.08,46.2,101749,35106,51050,1,79292,17746,28015,16057,3
3796988,28.05,46.1,101747,39203,53023,1,81828,19241,28171,15974,4
3798038,28.03,46.03,101747,42609,54700,1,84159,20547,28354,15903,5
3799088,28.02,45.96,101746,46259,56755,1,89415,21771,28462,15838,6
3800138,28.01,45.89,101746,50068,58195,1,90788,22735,28570,15783,7
3801188,28.01,45.83,101746,53189,59812,1,95000,24114,28691,15723,8
3802238,28.01,45.78,101746,56128,61246,1,99307,25029,28771,15677,9
3803277,28.02,45.74,101745,58634,62587,1,102725,26040,28859,15633,10
3803766,28.08,45.73,101746,63570,62587,1,102725,26040,28898,15621,10
3804768,28.09,45.64,101745,64679,64131,1,108809,26475,28959,15573,11
3805768,28.08,45.59,101744,66235,65027,1,111493,27741,28988,15549,12
3806768,28.08,45.55,101744,67068,66564,1,115331,28416,29013,15505,13
3807768,28.08,45.53,101745,68577,67084,1,119221,28940,29094,15486,14
3808768,28.08,45.5,101745,69926,68902,1,124752,29674,29148,15450,15
3809768,28.08,45.47,101745,71210,69417,1,126495,30170,29154,15426,16
3810768,28.09,45.45,101746,72051,70625,1,132499,30007,29161,15411,17
3811768,28.09,45.44,101744,72789,71661,1,133896,31019,29192,15384,18
3812768,28.09,45.42,101743,74245,72050,1,135859,31093,29219,15370,19
3813778,28.1,45.41,101743,75493,72958,1,141443,31752,29255,15343,20
3814828,28.11,45.38,101744,76304,74253,1,145177,32065,29257,15324,22
3815878,28.11,45.34,101743,77131,75036,1,150073,32327,29296,15316,23
3816928,28.12,45.32,101744,78048,76317,1,154506,33124,29294,15297,24
3817978,28.12,45.3,101744,78479,76317,1,155977,33553,29310,15282,25
3819028,28.13,45.29,101744,79281,76861,1,162167,33599,29299,15271,26
3820078,28.13,45.27,101744,79134,77200,1,165382,33850,29323,15252,27
3821128,28.14,45.27,101745,79355,77305,1,167523,33372,29320,15243,28
3822178,28.14,45.24,101744,80100,77200,1,169979,33999,29345,15231,29
3823228,28.15,45.23,101744,80250,77436,1,170152,34462,29320,15221,30
3824278,28.15,45.22,101744,80859,78015,1,175949,34126,29393,15208,31
3825328,28.16,45.2,101745,81244,78067,1,175890,33930,29385,15204,32
3826367,28.16,45.19,101745,81710,78944,1,175830,34673,29345,15201,33
3826789,28.24,45.22,101745,86779,78944,1,175830,34673,29417,15197,34
3827768,28.25,45.16,101745,85475,78571,1,180046,35062,29387,15186,34
3828768,28.25,45.13,101744,84880,78944,1,185552,35074,29352,15180,35
3829768,28.24,45.09,101745,84965,79507,1,179863,34708,29370,15166,36
3830768,28.24,45.07,101745,85219,80292,1,185740,34544,29378,15162,37
3831768,28.24,45.07,101745,85049,78624,1,185301,34979,29352,15151,38
3832768,28.24,45.05,101745,85219,80373,1,188463,35074,29384,15149,39
3833768,28.24,45.02,101746,85475,79912,1,190064,34767,29409,15146,40
3834768,28.25,45.03,101745,85906,79453,1,191939,34908,29450,15138,41
3835818,28.24,45,101744,86079,80455,1,192785,35289,29451,15133,43
3836868,28.25,45.01,101744,85733,79427,1,193439,35456,29447,15133,44
3837918,28.25,45.01,101744,85561,80102,1,197809,35146,29407,15124,45
3838968,28.25,44.99,101744,84965,80020,1,195678,35289,29425,15127,46
3840018,28.25,44.99,101744,84880,80237,1,198950,34826,29450,15119,47
3841068,28.26,44.98,101744,85134,81056,1,198748,35733,29436,15119,48
3842118,28.26,44.97,101743,85304,80292,1,201321,35062,29427,15116,49
3843168,28.26,44.97,101743,84965,81662,1,202140,35540,29448,15107,50
3844218,28.27,44.96,101743,85647,80618,1,202483,34755,29454,15093,51
3845268,28.27,44.96,101742,85475,81551,1,202414,35265,29463,15093,52
3846318,28.28,44.94,101742,86079,81413,1,200980,34932,29495,15098,53
3847368,28.29,44.91,101742,85390,79885,1,202688,35312,29496,15091,54
3848412,28.29,44.91,101741,86515,81386,1,202825,35697,29484,15093,55
3849466,28.3,44.89,101742,86956,79507,1,203444,35348,29412,15085,56
3850509,28.3,44.87,101741,86779,80509,1,204757,35854,29423,15087,57
3850931,28.38,44.9,101743,92020,80509,1,204757,35854,29434,15079,58
3851768,28.4,44.85,101743,91428,81248,1,205799,35504,29497,15084,58
3852768,28.39,44.82,101743,90459,80727,1,204895,35312,29452,15071,59
3853768,28.38,44.78,101742,89416,80700,1,208181,35600,29503,15076,60
3854768,28.38,44.78,101741,88581,79534,1,204341,35289,29476,15072,61
3855768,28.37,44.76,101741,88306,80427,1,205799,34732,29481,15072,62
3856808,28.37,44.78,101742,88033,80591,1,204757,35733,29459,15066,64
3857858,28.36,44.77,101742,87045,79292,1,202346,34708,29452,15065,65
3858908,28.36,44.77,101742,86779,81221,1,207407,35253,29467,15060,66
3859958,28.36,44.77,101743,86956,78731,1,203858,34696,29473,15056,67
3861008,28.36,44.77,101742,86691,80020,1,205034,35576,29453,15058,68
3862058,28.36,44.77,101742,86428,80183,1,204480,35492,29466,15054,69
3863108,28.36,44.75,101743,86868,78837,1,205799,35697,29513,15045,70
