timestamp,BME688_TEMP,BME688_HUM,BME688_PRES,BME688_R,ENS160_R0,ENS160_R1,ENS160_R2,ENS160_R3,SGP41_VOC,SGP41_NOX,timestamp_s
4065281,28.32,46.39,101733,12084,14193,1,4414,4620,26557,16869,0
4066320,28.21,46.32,101733,16507,16450,1,5304,6616,26960,16819,1
4067269,28.14,46.24,101733,21283,16450,1,5304,6616,27186,16673,1
4068270,28.1,46.15,101733,26090,17945,1,6014,7749,27335,16548,2
4069268,28.07,46.06,101733,30210,19326,1,6534,8786,27433,16436,3
4070270,28.05,45.97,101733,34206,20589,1,7123,9588,27596,16324,4
4071268,28.05,45.88,101733,37613,21566,1,7648,10566,27669,16240,5
4072270,28.04,45.82,101733,40816,22959,1,8300,11394,27753,16161,6
4073268,28.04,45.75,101733,43880,24098,1,8733,12200,27811,16094,7
4074270,28.04,45.68,101733,46209,25054,1,9424,12625,27890,16032,8
4075270,28.05,45.63,101733,49259,26057,1,9775,13224,27958,15983,9
4076270,28.05,45.58,101733,51118,26845,1,10238,13656,27967,15931,10
4077268,28.06,45.54,101734,52827,27779,1,10871,14141,28033,15886,11
4078270,28.06,45.51,101733,54168,28129,1,11060,14647,28072,15845,12
4079268,28.07,45.49,101734,55724,28842,1,11429,14697,28138,15810,13
4080270,28.08,45.45,101733,56649,29107,1,11711,15024,28181,15780,14
4081270,28.09,45.44,101734,57334,29956,1,12040,15368,28190,15755,15
4082270,28.09,45.44,101733,57918,30561,1,12317,15541,28198,15727,16
4083268,28.1,45.42,101734,58918,30685,1,12514,15951,28228,15696,17
4084270,28.11,45.41,101734,59410,30852,1,12586,15849,28268,15683,18
4085268,28.12,45.39,101734,60037,31145,1,12659,16141,28274,15656,19
4086270,28.12,45.36,101734,60591,30977,1,12565,16060,28301,15647,20
4087268,28.13,45.34,101734,61508,31517,1,12879,16267,28339,15630,21
4088270,28.14,45.3,101734,62000,31442,1,12840,16334,28338,15612,22
4089268,28.14,45.29,101734,62545,31634,1,13148,16467,28313,15592,23
4090301,28.15,45.25,101734,63570,31968,1,12980,16562,28354,15583,25
4091341,28.15,45.23,101735,64289,32065,1,13264,16562,28364,15573,26
4092380,28.16,45.17,101734,64925,32393,1,13219,16799,28423,15560,27
4093269,28.17,45.15,101734,66753,32393,1,13219,16799,28428,15548,27
