timestamp,BME688_TEMP,BME688_HUM,BME688_PRES,BME688_R,ENS160_R0,ENS160_R1,ENS160_R2,ENS160_R3,SGP41_VOC,SGP41_NOX,timestamp_s
655137,28.07,44.01,101811,6306,44331,1,33046,23186,27690,16580,0
656137,28.24,43.98,101812,8558,44211,1,32812,22460,27945,16588,1
657137,28.38,43.91,101812,11084,42509,1,31720,21580,28123,16474,2
658137,28.49,43.84,101812,13967,42899,1,31506,21610,28247,16377,3
659137,28.57,43.76,101812,16584,42826,1,31570,21507,28321,16294,4
660137,28.64,43.68,101812,19282,43044,1,31399,21734,28458,16217,5
661137,28.69,43.61,101811,21761,42208,1,31399,21442,28507,16147,6
662137,28.74,43.55,101810,24404,42638,1,30988,21377,28558,16072,7
663137,28.77,43.51,101811,26811,42236,1,30967,21197,28646,16012,8
664137,28.8,43.45,101811,29398,41923,1,30977,20961,28656,15957,9
665137,28.82,43.42,101810,31714,41980,1,30365,20990,28713,15908,10
666137,28.84,43.37,101811,33586,42667,1,30540,21631,28742,15863,11
667137,28.85,43.32,101811,35724,42379,1,30571,21661,28770,15821,12
668137,28.87,43.29,101811,37647,42293,1,30623,21631,28785,15771,13
669137,28.88,43.27,101811,39900,42051,1,31019,21189,28803,15741,14
670137,28.89,43.24,101811,41410,42509,1,30396,20961,28771,15712,15
671137,28.9,43.19,101811,43389,41668,1,30841,21132,28829,15679,16
672137,28.91,43.18,101812,44849,41401,1,29946,21175,28858,15646,17
673137,28.92,43.14,101812,48120,41584,1,30129,20862,28817,15623,18
674168,28.92,43.13,101811,48780,41457,1,29815,20855,28894,15598,19
675217,28.92,43.12,101811,50334,40734,1,29785,20526,28884,15577,20
676136,28.93,43.1,101810,52021,40734,1,29785,20526,28891,15550,20
677137,28.94,43.09,101810,53691,41011,1,29865,20319,28872,15544,22
678137,28.94,43.09,101810,55688,41359,1,29384,20209,28898,15522,23
679137,28.95,43.08,101810,56424,41542,1,29235,20353,28870,15501,24
680137,28.95,43.08,101810,57373,40638,1,29524,20113,28923,15500,25
681137,28.96,43.06,101810,58756,41233,1,28999,20339,28906,15479,26
682137,28.96,43.07,101810,59953,40914,1,29127,20429,28910,15456,27
683137,28.97,43.05,101810,61112,40858,1,29068,20450,28886,15449,28
684137,28.97,43.04,101810,61820,40886,1,29077,20236,28873,15438,29
685137,28.98,43.02,101810,63054,40132,1,29206,20039,28923,15424,30
