timestamp,BME688_TEMP,BME688_HUM,BME688_PRES,BME688_R,ENS160_R0,ENS160_R1,ENS160_R2,ENS160_R3,SGP41_VOC,SGP41_NOX,timestamp_s
1386422,29.14,44.76,101651,14914,17011,1,8496,4277,26610,15956,0
1387472,28.99,44.7,101650,18449,19816,1,10118,6374,27126,15886,1
1388522,28.89,44.59,101649,22448,21786,1,11279,7611,27424,15749,2
1389561,28.82,44.49,101650,26299,23462,1,12392,8560,27641,15641,3
1390400,28.79,44.42,101650,30039,23462,1,12392,8560,27743,15559,3
1391401,28.76,44.31,101650,33429,25241,1,13445,9546,27854,15475,4
1392401,28.74,44.25,101649,36456,26556,1,14657,10315,28011,15407,5
1393401,28.73,44.2,101649,39348,27816,1,15641,10941,28103,15337,6
1394401,28.72,44.14,101649,41612,29225,1,16850,11659,28171,15276,7
1395401,28.72,44.1,101649,44061,30201,1,17698,12159,28307,15226,8
1396401,28.72,44.06,101648,45616,31188,1,18727,12676,28380,15179,9
1397401,28.72,44.02,101648,48201,32327,1,19823,13135,28437,15145,10
1398401,28.73,44,101648,49602,33057,1,20589,13587,28478,15113,11
1399401,28.73,43.99,101649,51488,33701,1,21269,13735,28512,15081,12
1400401,28.74,43.95,101649,52566,34790,1,21786,14188,28605,15050,13
1401401,28.74,43.92,101649,53928,35098,1,22620,14353,28630,15023,14
1402401,28.75,43.91,101649,55148,35964,1,23162,14677,28694,15008,15
1403401,28.76,43.89,101649,55907,36479,1,23782,14692,28685,14988,16
1404401,28.77,43.84,101649,56876,36938,1,24634,14973,28723,14968,17
1405401,28.78,43.85,101648,57489,37926,1,24995,15234,28745,14958,18
1406401,28.79,43.81,101649,58554,37811,1,25698,15405,28746,14928,19
1407401,28.8,43.79,101649,58634,38875,1,26066,15652,28781,14922,20
1408442,28.81,43.78,101648,59369,38994,1,26475,15785,28824,14901,22
1409492,28.81,43.76,101649,59827,39338,1,27000,16011,28808,14890,23
1410542,28.82,43.73,101649,59995,39794,1,26863,16070,28827,14876,24
1411592,28.82,43.71,101649,60591,39525,1,27082,15731,28828,14866,25
1412642,28.83,43.7,101649,60894,40295,1,27377,16152,28861,14857,26
1413681,28.83,43.69,101649,61420,39646,1,27313,16098,28859,14839,27
1414400,28.87,43.68,101649,63241,39646,1,27313,16098,28842,14839,27
1415401,28.87,43.64,101649,62868,40569,1,27751,16076,28864,14826,28
1416401,28.88,43.61,101650,63665,41011,1,27713,16152,28870,14821,29
1417401,28.88,43.58,101650,64144,41980,1,28262,16635,28920,14807,30
1418401,28.89,43.56,101649,64240,41937,1,28832,16754,28868,14802,31
1419401,28.89,43.55,101650,64337,42008,1,29097,16573,28885,14792,32
1420401,28.9,43.53,101650,64728,41205,1,28911,16411,28884,14785,33
1421401,28.9,43.53,101649,64679,41598,1,28735,16367,28919,14782,34
1422401,28.91,43.52,101650,65024,41108,1,28774,16395,28915,14781,35
1423401,28.91,43.53,101650,65173,41570,1,28580,16607,28857,14771,36
1424401,28.91,43.51,101650,65322,41542,1,28609,16523,28894,14768,37
1425401,28.92,43.51,101651,65422,41094,1,28764,16290,28880,14758,38
1426401,28.92,43.51,101652,65725,41612,1,28541,16500,28895,14761,39
1427401,28.93,43.48,101651,65877,41303,1,28793,16384,28919,14747,40
1428401,28.93,43.48,101651,65877,41219,1,28648,16350,28899,14745,41
1429411,28.94,43.46,101651,66338,41178,1,28570,16234,28960,14746,42
1430400,28.95,43.44,101651,66649,41178,1,28570,16234,28950,14738,43
1431401,28.95,43.39,101651,67492,41753,1,28950,16523,28934,14739,44
1432401,28.96,43.36,101652,67386,42667,1,29009,16965,28967,14733,45
1433401,28.96,43.34,101651,67706,42566,1,29845,16953,28939,14728,46
1434401,28.96,43.33,101651,67814,43454,1,30109,16879,28959,14722,47
1435401,28.97,43.32,101649,67814,42928,1,30048,16771,28957,14719,48
1436401,28.97,43.32,101649,67760,43484,1,29977,16635,28955,14714,49
1437401,28.98,43.32,101649,68030,42797,1,30078,16714,28966,14720,50
1438401,28.98,43.32,101648,68193,42122,1,29896,16833,28957,14707,51
1439401,28.99,43.33,101648,68085,42797,1,30058,16725,29008,14710,52
1440401,29,43.32,101648,68139,42208,1,29534,16714,28977,14705,53
1441401,29,43.31,101648,68467,42581,1,29886,16765,28958,14703,54
1442401,29.01,43.3,101647,68412,42855,1,30028,16663,28966,14704,55
1443401,29.02,43.28,101647,68248,42422,1,30324,16754,28948,14697,56
1444401,29.02,43.26,101646,68522,43132,1,30633,16976,28978,14688,57
1445401,29.03,43.27,101647,69077,42509,1,31061,17011,28953,14694,58
1446401,29.04,43.26,101647,69133,43205,1,30499,16982,28990,14684,59
1447401,29.04,43.24,101647,68798,42957,1,30191,16873,29000,14687,60
1448401,29.05,43.24,101648,69077,42365,1,30355,16799,28978,14689,61
1449401,29.05,43.22,101647,68798,42957,1,30038,16754,28992,14685,62
1450401,29.06,43.21,101647,68743,42151,1,30058,16697,28978,14685,63
1451442,29.06,43.2,101647,68798,42336,1,30109,16657,29007,14678,65
1452492,29.06,43.21,101648,68909,42394,1,30140,16596,29022,14685,66
1453542,29.06,43.2,101647,68687,42957,1,30201,16810,29006,14674,67
1454581,29.06,43.18,101647,68798,42870,1,30140,16930,29001,14667,68
1455400,29.08,43.18,101647,70041,42870,1,30140,16930,29005,14673,68
1456401,29.08,43.15,101647,69868,42870,1,30028,16936,29007,14673,69
1457401,29.09,43.14,101647,69754,43395,1,30160,16793,29014,14670,70
1458401,29.09,43.13,101646,69811,43015,1,30355,17016,28953,14665,71
1459401,29.1,43.12,101646,69754,43205,1,30283,16913,28966,14667,72
1460401,29.1,43.12,101646,69983,43088,1,30571,16965,29006,14662,73
1461401,29.1,43.1,101646,69983,42466,1,30810,16788,29017,14666,74
1462401,29.11,43.08,101646,69754,42972,1,30612,17086,28990,14660,75
1463401,29.12,43.06,101645,70503,43234,1,30967,16839,28990,14659,76
1464401,29.12,43.06,101645,70156,43322,1,31145,17086,28997,14658,77
1465401,29.12,43.04,101645,70445,44032,1,31188,16913,28985,14660,78
1466401,29.13,43.04,101646,70156,43898,1,31752,17179,29015,14658,79
1467401,29.14,43.03,101647,69926,44002,1,31581,17289,28992,14657,80
1468401,29.14,43.02,101647,70387,43942,1,31453,17144,28977,14649,81
1469401,29.15,43,101646,70679,43587,1,32131,17109,28985,14650,82
1470401,29.15,42.98,101647,70387,44271,1,31838,17086,29013,14643,83
1471401,29.16,42.98,101647,71091,43220,1,31957,17097,29052,14645,84
1472411,29.16,42.96,101647,70855,44211,1,31442,16936,29013,14648,85
1473400,29.17,42.93,101646,71091,44211,1,31442,16936,29010,14649,86
1474401,29.17,42.93,101647,70620,44032,1,31442,16936,28983,14649,87
1475401,29.18,42.92,101648,71210,44768,1,31623,17319,28989,14650,88
1476401,29.18,42.92,101648,71091,44376,1,32065,17109,29006,14638,89
1477401,29.19,42.91,101647,70914,44106,1,31741,17080,29015,14640,90
1478401,29.19,42.89,101647,70973,44451,1,31784,17051,29023,14633,91
1479401,29.2,42.88,101648,71032,44376,1,31881,17115,28951,14636,92
1480401,29.2,42.89,101648,71032,43631,1,31656,17028,28997,14642,93
1481401,29.21,42.89,101647,70737,43720,1,31230,17109,28993,14637,94
1482401,29.21,42.87,101646,71150,44166,1,31698,17051,29017,14635,95
1483401,29.22,42.85,101646,71269,43720,1,31421,16948,28998,14639,96
1484401,29.22,42.84,101645,71809,43838,1,31145,16965,28943,14632,97
1485401,29.22,42.84,101645,71210,44556,1,31463,16833,28991,14632,98
1486401,29.23,42.82,101645,71150,43942,1,31304,17074,28966,14628,99
1487401,29.23,42.81,101646,71809,44571,1,31527,16948,28985,14624,100
1488401,29.23,42.8,101645,71329,43972,1,31602,16999,29013,14629,101
1489401,29.24,42.81,101644,71210,43764,1,31272,16793,28998,14631,102
1490401,29.25,42.8,101644,71508,43616,1,31442,17248,29037,14620,103
1491401,29.25,42.8,101644,70796,44241,1,32054,17248,29005,14627,104
1492401,29.26,42.77,101643,71329,43103,1,31517,17167,28965,14625,105
1493401,29.26,42.77,101642,70503,43898,1,31293,17034,29048,14625,106
1494442,29.26,42.77,101642,70796,43572,1,31262,17109,29037,14622,108
1495492,29.26,42.75,101642,70620,42884,1,31506,17196,29016,14621,109
1496531,29.26,42.75,101643,70445,43616,1,31613,17225,29007,14620,110
1497400,29.27,42.75,101642,70973,43616,1,31613,17225,29030,14626,110
1498401,29.28,42.74,101641,71388,43410,1,31731,17202,29009,14618,111
1499401,29.28,42.71,101640,70620,44301,1,31527,17138,28996,14618,112
1500401,29.29,42.71,101640,71388,43779,1,31463,17109,29029,14623,113
1501401,29.29,42.7,101640,71210,44166,1,31881,17219,29008,14614,114
1502401,29.29,42.69,101640,71150,44047,1,31613,17219,29008,14618,115
1503401,29.3,42.69,101640,71568,43913,1,32458,17080,29005,14616,116
1504401,29.3,42.66,101640,71809,44331,1,32065,17272,29017,14615,117
1505401,29.31,42.66,101641,71930,44421,1,32087,17040,29007,14613,118
