timestamp,BME688_TEMP,BME688_HUM,BME688_PRES,BME688_R,ENS160_R0,ENS160_R1,ENS160_R2,ENS160_R3,SGP41_VOC,SGP41_NOX,timestamp_s
1674552,28.95,43.18,101797,19196,54129,1,19636,18400,26477,15920,0
1675553,28.84,43.14,101797,25316,20561,1,5955,6175,26902,15853,1
1676553,28.77,43.07,101797,31227,24204,1,7208,8557,27154,15720,2
1677553,28.73,42.98,101796,36898,27110,1,8156,10012,27294,15626,3
1678553,28.7,42.89,101797,41980,28832,1,8888,11090,27452,15526,4
1679553,28.68,42.82,101797,46259,30727,1,9633,11996,27608,15445,5
1680553,28.67,42.76,101797,50693,33012,1,10325,12633,27721,15369,6
1681553,28.67,42.71,101797,53997,33861,1,10893,13454,27826,15307,7
1682553,28.67,42.66,101797,57142,35408,1,11624,13969,27946,15246,8
1683553,28.67,42.62,101797,59451,37026,1,12020,14548,27993,15189,9
1684553,28.67,42.55,101797,60937,37734,1,12642,14777,28058,15150,10
1685553,28.68,42.53,101797,62914,39033,1,13144,15234,28130,15100,11
1686553,28.68,42.51,101797,64532,40473,1,13665,15467,28198,15070,12
1687553,28.69,42.46,101796,66235,41025,1,14145,15957,28226,15032,13
1688553,28.7,42.44,101797,67121,42165,1,14362,16422,28291,15000,14
1689553,28.71,42.41,101796,68357,42667,1,14953,16517,28316,14969,15
1690553,28.71,42.37,101796,69077,44002,1,15100,16776,28346,14950,16
1691553,28.72,42.33,101796,69926,44466,1,15689,16959,28388,14924,17
1692553,28.73,42.32,101797,71150,45301,1,15892,17161,28410,14907,18
1693553,28.74,42.29,101798,71748,46466,1,16372,17377,28409,14881,19
1694553,28.75,42.26,101799,72112,47355,1,16506,17770,28438,14853,20
1695584,28.76,42.25,101799,72418,47612,1,16799,17680,28458,14837,21
1696634,28.76,42.23,101799,72295,46529,1,16737,17555,28507,14814,22
1697684,28.76,42.23,101799,71991,46075,1,16517,17243,28528,14811,23
1698734,28.77,42.26,101800,72295,46090,1,16450,17074,28517,14799,24
1699784,28.77,42.27,101800,71688,45671,1,16152,16959,28539,14777,25
1700834,28.78,42.25,101800,72418,45424,1,16334,17115,28532,14769,26
1701884,28.78,42.23,101800,72789,45271,1,16005,16833,28548,14760,27
1702934,28.78,42.21,101800,72976,44707,1,15903,17057,28529,14754,28
1703984,28.79,42.21,101800,74052,45026,1,15994,17011,28548,14738,29
1705034,28.79,42.19,101801,73924,44391,1,15849,17144,28572,14736,30
1706084,28.8,42.16,101800,74181,45455,1,15978,16948,28578,14722,31
1707134,28.8,42.15,101801,74700,45240,1,16141,17307,28559,14711,32
1708188,28.81,42.13,101801,75493,46545,1,16361,17330,28570,14703,33
1709231,28.81,42.11,101801,75829,46861,1,16697,17632,28580,14698,34
1709653,28.89,42.12,101801,81166,46861,1,16697,17632,28606,14703,35
1710553,28.9,42.08,101801,79800,47371,1,16827,17555,28598,14689,36
