timestamp,BME688_TEMP,BME688_HUM,BME688_PRES,BME688_R,ENS160_R0,ENS160_R1,ENS160_R2,ENS160_R3,SGP41_VOC,SGP41_NOX,timestamp_s
1328764,27.39,43.36,101733,7138,142789,1,680147,48671,28305,16431,0
1329764,27.7,43.35,101733,8305,146262,1,698105,48655,28542,16442,1
1330764,27.95,43.31,101733,9873,143371,1,681991,49151,28774,16367,2
1331764,28.14,43.26,101733,11514,140156,1,692223,48017,29033,16336,3
1332764,28.29,43.17,101733,13524,140869,1,685230,47903,29143,16311,4
1333764,28.4,43.11,101733,15289,140156,1,686159,48507,29351,16298,5
1334764,28.49,43.07,101732,17116,140393,1,684303,47645,29438,16278,6
1335764,28.56,43,101733,18806,141443,1,691989,47806,29625,16272,7
1336764,28.61,42.97,101733,20408,140251,1,694570,48507,29711,16260,8
1337764,28.65,42.91,101732,22076,140679,1,686391,47468,29833,16255,9
1338764,28.68,42.89,101732,23965,139872,1,691287,48163,29852,16247,10
1339764,28.71,42.87,101732,25620,141156,1,688718,47645,29938,16230,11
1340764,28.73,42.83,101732,27187,143322,1,693161,48294,30025,16241,12
1341764,28.74,42.8,101732,28648,141060,1,687321,48441,30024,16225,13
1342764,28.76,42.79,101732,30167,140917,1,684072,48327,30100,16225,14
1343764,28.77,42.78,101732,31573,140679,1,695746,48952,30112,16216,15
1344764,28.78,42.78,101733,33092,138131,1,691989,48163,30143,16217,16
1345764,28.79,42.77,101733,34538,143711,1,691053,48115,30166,16210,17
1346764,28.8,42.76,101733,35814,139494,1,692458,47790,30207,16215,18
1347764,28.81,42.74,101734,37285,140109,1,689418,48163,30199,16205,19
1348764,28.82,42.75,101734,38496,140584,1,691521,47532,30213,16201,20
1349774,28.82,42.75,101734,39788,138693,1,681991,47677,30238,16205,21
1350763,28.84,42.75,101735,41170,138693,1,681991,47677,30259,16201,21
1351764,28.85,42.75,101735,42524,140584,1,689184,48359,30250,16199,23
1352764,28.86,42.76,101735,43611,140061,1,691989,47677,30286,16196,24
1353764,28.87,42.75,101734,44568,138506,1,683146,47774,30291,16193,25
1354764,28.88,42.76,101734,45812,140822,1,684303,47822,30310,16189,26
1355764,28.89,42.71,101733,46715,139399,1,680147,47838,30276,16184,27
1356764,28.89,42.71,101733,48864,141060,1,685694,47243,30306,16182,28
1357764,28.9,42.69,101733,49951,138693,1,684535,47419,30312,16183,29
1358764,28.9,42.66,101734,51271,140251,1,682222,48082,30317,16174,30
1359764,28.91,42.63,101735,52212,137851,1,678767,47790,30332,16180,31
1360764,28.91,42.62,101735,53189,139258,1,686159,47211,30343,16170,32
1361764,28.92,42.62,101734,54065,141778,1,676703,47259,30350,16168,33
1362764,28.93,42.6,101734,55148,139588,1,689184,47628,30290,16167,34
1363764,28.94,42.59,101735,56017,139399,1,690118,46687,30328,16170,35
1364764,28.94,42.58,101736,57104,138881,1,672365,48261,30357,16169,36
1365764,28.95,42.57,101737,58076,139352,1,688951,47355,30355,16162,37
1366764,28.95,42.55,101737,58959,142018,1,691287,47790,30362,16157,38
1367764,28.96,42.54,101736,59785,139399,1,686391,48261,30397,16161,39
1368764,28.97,42.52,101736,60764,137851,1,676703,48066,30350,16156,40
1369764,28.98,42.51,101735,61553,140061,1,691287,47468,30320,16152,41
1370775,28.98,42.52,101735,62775,139069,1,684767,47371,30336,16151,42
1371825,28.99,42.5,101735,63007,140869,1,686159,47822,30336,16155,43
1372875,28.99,42.5,101735,63760,140298,1,687321,48441,30346,16143,44
1373925,28.99,42.47,101734,64289,140584,1,684767,47371,30386,16143,45
1374975,29,42.48,101734,64974,138552,1,684767,47115,30403,16146,46
1376025,29,42.45,101735,65979,137292,1,687553,47677,30318,16137,47
1377075,29,42.44,101734,66545,139966,1,681299,47984,30316,16135,48
1378125,29,42.44,101735,67439,137944,1,685230,47903,30372,16132,49
1379175,29,42.41,101734,68193,137991,1,674416,47147,30363,16134,50
1380225,29.01,42.41,101735,68467,138506,1,682222,47435,30367,16132,51
1381275,29.01,42.39,101735,69357,138038,1,675787,47709,30331,16132,52
1382325,29.02,42.38,101735,69697,140251,1,681299,47903,30366,16124,53
1383375,29.02,42.35,101736,70213,139069,1,680608,47645,30385,16125,54
1384429,29.03,42.33,101736,71032,140156,1,685926,47500,30341,16129,55
1385473,29.03,42.3,101735,71688,140109,1,691053,47355,30373,16122,56
1386527,29.03,42.29,101735,72480,140156,1,690585,47435,30371,16120,57
1387570,29.03,42.27,101735,73226,142548,1,681299,48392,30423,16112,58
1387992,29.11,42.28,101736,76577,142548,1,681299,48392,30386,16119,59
1388764,29.13,42.25,101736,77835,140489,1,688485,47693,30362,16107,60
1389764,29.13,42.21,101735,77131,138271,1,690585,47403,30371,16108,61
1390764,29.12,42.2,101735,76784,139588,1,680608,48229,30396,16105,62
1391775,29.11,42.19,101735,77693,139824,1,688951,48359,30402,16106,63
1392825,29.1,42.18,101735,77201,141634,1,696218,47564,30371,16107,64
1393875,29.1,42.19,101735,77622,139872,1,687553,48327,30356,16098,65
1394925,29.1,42.2,101735,78263,139258,1,688718,47355,30380,16100,66
1395975,29.09,42.23,101734,78987,138693,1,691989,48556,30414,16095,67
1397025,29.1,42.2,101735,78842,139258,1,684767,47500,30386,16098,68
1398075,29.09,42.23,101735,79207,141586,1,685230,48787,30377,16092,69
1399125,29.1,42.22,101735,79875,139022,1,689651,47645,30395,16084,70
1400175,29.09,42.21,101735,79651,142114,1,686856,47307,30397,16088,71
1401225,29.09,42.19,101735,80935,139872,1,695276,48327,30422,16090,72
1402275,29.1,42.18,101735,81321,139872,1,683146,46798,30402,16081,73
1403325,29.1,42.16,101735,81166,140679,1,679917,47628,30366,16081,74
1404375,29.1,42.15,101735,81946,139872,1,681991,47243,30412,16079,75
1405418,29.1,42.15,101734,82341,138787,1,678308,48294,30323,16076,76
1405840,29.17,42.17,101735,86956,138787,1,678308,48294,30369,16078,77
1406764,29.18,42.15,101735,86166,139069,1,690585,48261,30382,16079,78
1407764,29.18,42.11,101735,85906,140061,1,694100,47068,30380,16078,79
1408764,29.17,42.07,101735,86079,139305,1,682684,47936,30389,16068,80
1409764,29.17,42.05,101735,85906,140441,1,691989,47838,30349,16071,81
1410764,29.16,42.06,101735,86079,141922,1,699051,48115,30376,16072,82
1411764,29.16,42.03,101735,86340,139919,1,687553,48359,30365,16066,83
1412775,29.15,42.03,101734,87223,139163,1,688718,47741,30376,16068,84
1413825,29.15,42.04,101734,86691,142693,1,696453,48049,30416,16060,85
1414875,29.15,42.06,101734,87045,139163,1,694335,47387,30363,16060,86
1415925,29.14,42.05,101735,87134,140774,1,684072,48033,30449,16056,87
1416975,29.14,42.05,101735,87401,140298,1,690118,48392,30419,16059,88
1418025,29.14,42.05,101735,87942,141826,1,691053,47693,30403,16050,89
1419075,29.14,42.05,101734,88033,141299,1,690118,48327,30386,16053,90
1420114,29.14,42.05,101735,88306,139305,1,689184,48131,30424,16053,91
1420763,29.17,42.07,101736,90747,139305,1,689184,48131,30385,16047,91
1421764,29.18,42.05,101736,90651,137991,1,690118,47419,30403,16053,93
1422764,29.18,42.03,101736,90267,138787,1,677620,47259,30393,16050,94
1423764,29.18,42.03,101736,90941,136643,1,687321,48066,30396,16038,95
1424764,29.18,42.03,101736,91233,140156,1,682222,47548,30394,16041,96
1425764,29.18,42.03,101737,91526,139022,1,688485,47468,30395,16037,97
1426764,29.18,42.02,101737,91921,139352,1,684535,47661,30382,16040,98
1427764,29.18,42,101736,91624,139635,1,688252,47677,30359,16041,99
1428764,29.18,42,101736,92518,137944,1,683146,47790,30357,16029,100
1429764,29.18,41.99,101736,92318,141251,1,694570,47645,30394,16032,101
1430764,29.18,41.98,101736,94117,137758,1,686856,47936,30382,16027,102
1431764,29.18,41.99,101736,94534,139022,1,688485,48033,30420,16026,103
1432764,29.18,41.96,101735,94534,139305,1,683609,47693,30403,16025,104
1433763,29.18,41.96,101735,95008,139919,1,686159,48229,30372,16025,104
1434763,29.18,41.95,101735,95540,139919,1,686159,48229,30393,16017,105
1435764,29.18,41.94,101735,95326,141013,1,692458,47596,30370,16023,107
1436764,29.18,41.94,101735,95433,137339,1,688718,46972,30386,16018,108
1437764,29.18,41.94,101734,96240,142114,1,673276,47020,30388,16022,109
1438764,29.18,41.94,101734,96078,137758,1,690585,47403,30437,16014,110
1439764,29.19,41.95,101733,96841,137711,1,686159,47612,30402,16015,111
1440764,29.19,41.94,101733,96896,139635,1,691287,47532,30366,16018,112
1441764,29.19,41.94,101733,96896,137944,1,686856,47855,30367,16017,113
1442764,29.19,41.94,101733,97172,138552,1,679917,46877,30392,16007,114
1443764,29.19,41.94,101733,97061,139022,1,685230,48163,30357,16012,115
1444764,29.2,41.94,101734,97393,140584,1,678308,47564,30388,16008,116
1445764,29.2,41.95,101734,97840,141204,1,687321,46893,30412,16003,117
1446764,29.21,41.95,101733,98404,138693,1,680608,47419,30372,15997,118
1447764,29.21,41.93,101733,98404,137060,1,678078,46988,30409,16005,119
