timestamp,BME688_TEMP,BME688_HUM,BME688_PRES,BME688_R,ENS160_R0,ENS160_R1,ENS160_R2,ENS160_R3,SGP41_VOC,SGP41_NOX,timestamp_s
1629567,29.01,43.14,101807,18974,36951,1,14136,14455,27292,16449,0
1630617,28.84,43.08,101807,24432,43957,1,17656,19002,27821,16438,1
1631667,28.72,42.98,101807,30103,47887,1,20540,21889,28169,16356,2
1632717,28.63,42.89,101808,35575,52861,1,23131,23725,28416,16296,3
1633767,28.58,42.83,101809,40894,56201,1,24868,25404,28642,16275,4
1634817,28.54,42.74,101810,45911,58630,1,27082,26368,28780,16241,5
1635867,28.51,42.69,101810,50935,61955,1,28435,27239,28927,16220,6
1636917,28.49,42.63,101810,54794,63162,1,29815,27996,29049,16207,7
1637966,28.48,42.57,101810,58514,64851,1,31421,29364,29144,16190,8
1638545,28.51,42.55,101810,63713,64851,1,31421,29364,29219,16182,8
1639546,28.51,42.49,101811,65725,66003,1,32502,28979,29283,16169,9
1640546,28.51,42.44,101810,68085,68809,1,33655,29364,29374,16154,10
1641546,28.51,42.39,101811,70156,70506,1,34979,30109,29424,16148,11
1642546,28.51,42.34,101810,71991,71709,1,35709,30201,29473,16153,12
1643546,28.51,42.3,101811,73860,71394,1,36503,30499,29531,16135,13
1644546,28.51,42.27,101811,75360,73727,1,37824,30810,29548,16134,14
1645546,28.52,42.25,101812,77341,74278,1,38691,31410,29572,16125,15
1646546,28.52,42.24,101812,78263,76395,1,39232,31485,29622,16121,16
1647546,28.53,42.21,101812,79577,76576,1,39956,31892,29640,16116,17
1648546,28.54,42.18,101812,80935,77200,1,40432,31741,29654,16098,18
1649546,28.54,42.16,101811,82341,77357,1,41150,32513,29668,16106,19
1650577,28.55,42.14,101811,82982,78359,1,41303,32360,29697,16101,21
1651627,28.55,42.12,101811,83632,79669,1,42236,31946,29700,16101,22
1652677,28.56,42.11,101811,84293,80373,1,43190,32141,29736,16102,23
1653727,28.56,42.09,101811,85049,80536,1,42957,32239,29715,16092,24
1654777,28.57,42.06,101811,85561,81358,1,43234,32250,29756,16089,25
1655827,28.57,42.06,101811,86779,81994,1,43779,32305,29724,16081,26
1656877,28.57,42.05,101812,87045,82691,1,43898,32360,29762,16081,27
1657927,28.58,42.03,101812,87134,82943,1,44541,32327,29774,16078,28
1658976,28.58,42,101812,88489,82495,1,44301,32613,29766,16073,29
1659545,28.63,42.04,101813,94013,82495,1,44301,32613,29786,16071,29
1660546,28.64,41.98,101813,91921,83960,1,44541,32338,29830,16071,30
1661546,28.64,41.96,101814,92318,84045,1,45057,32768,29832,16067,31
1662546,28.64,41.95,101813,92119,84302,1,44076,32535,29802,16063,32
1663546,28.64,41.94,101813,92119,84673,1,45455,32779,29808,16063,33
1664546,28.64,41.93,101813,94221,84188,1,45026,31968,29821,16053,34
1665546,28.65,41.92,101813,94849,85076,1,45317,32635,29820,16048,35
1666546,28.65,41.93,101813,94692,84845,1,45934,32131,29872,16047,36
1667546,28.66,41.9,101813,95540,84530,1,44874,32580,29850,16050,37
1668546,28.66,41.9,101813,95754,85018,1,46215,32768,29828,16045,38
1669546,28.66,41.89,101812,96294,85769,1,46028,32723,29869,16045,39
1670546,28.67,41.89,101811,96676,87263,1,46513,33315,29865,16043,40
1671587,28.67,41.88,101811,96731,87559,1,47952,34149,29881,16045,42
1672637,28.67,41.87,101811,96622,87826,1,48115,33781,29878,16036,43
1673687,28.67,41.87,101811,96676,88034,1,48327,34033,29871,16035,44
1674737,28.67,41.86,101810,97227,88722,1,48754,34614,29904,16033,45
1675787,28.67,41.86,101811,97672,90236,1,49368,34427,29893,16027,46
1676837,28.67,41.86,101810,97896,90023,1,48919,34626,29912,16028,47
1677886,28.68,41.88,101810,98234,90267,1,49335,34334,29902,16024,48
1678545,28.71,41.89,101810,101627,90267,1,49335,34334,29887,16022,48
1679546,28.71,41.85,101811,100846,89992,1,49687,34626,29855,16029,49
1680546,28.71,41.85,101810,100787,91466,1,49218,34276,29862,16019,50
1681546,28.7,41.86,101810,100609,91963,1,50245,34626,29869,16021,51
1682546,28.7,41.87,101810,100787,91188,1,50024,34897,29892,16009,52
