timestamp,BME688_TEMP,BME688_HUM,BME688_PRES,BME688_R,ENS160_R0,ENS160_R1,ENS160_R2,ENS160_R3,SGP41_VOC,SGP41_NOX,timestamp_s
2229648,28.66,44.8,101659,77835,74103,1,168034,15946,27795,16640,0
2230697,28.58,44.76,101659,80025,79212,1,179498,17448,28310,16667,1
2231617,28.54,44.71,101658,84293,79212,1,179498,17448,28546,16598,1
2232618,28.51,44.64,101658,88673,83140,1,185929,18513,28745,16554,2
2233618,28.49,44.57,101658,94117,87056,1,191355,19464,28895,16523,3
2234618,28.48,44.54,101658,97449,88932,1,198614,19984,29011,16497,4
2235618,28.48,44.49,101657,101748,91157,1,200776,20637,29144,16473,5
2236618,28.48,44.44,101657,105328,94136,1,202963,21082,29204,16459,6
2237618,28.48,44.38,101657,107857,96588,1,208040,21413,29331,16448,7
2238618,28.48,44.32,101658,110583,97113,1,207829,22001,29390,16436,8
2239618,28.49,44.27,101658,113224,99677,1,213388,22060,29448,16424,9
2240618,28.49,44.22,101659,115133,99610,1,212380,22098,29493,16413,10
2241618,28.5,44.2,101658,117269,100831,1,215566,22263,29530,16407,11
2242618,28.5,44.16,101657,119236,101894,1,217619,22689,29590,16396,12
2243618,28.51,44.12,101658,121528,103143,1,215712,23014,29589,16386,13
2244618,28.51,44.1,101658,122752,103073,1,221707,22998,29633,16377,14
2245618,28.52,44.07,101658,124908,103984,1,219765,23146,29589,16372,15
2246618,28.53,44.05,101658,126015,105545,1,224881,22789,29628,16367,16
2247618,28.53,44.03,101659,128000,106911,1,229650,22897,29686,16359,17
2248668,28.53,44,101658,128096,107746,1,225873,23446,29718,16355,19
2249728,28.53,43.98,101658,129456,108148,1,228487,23391,29735,16347,20
2250778,28.54,43.95,101658,130048,107056,1,230351,23677,29688,16337,21
2251838,28.54,43.94,101659,130645,107929,1,227715,24024,29724,16327,22
2252898,28.54,43.92,101660,131856,110180,1,230897,24360,29758,16328,23
2253948,28.55,43.91,101659,132265,110217,1,232230,24344,29734,16320,24
2255008,28.55,43.89,101660,132265,109030,1,233333,24385,29781,16317,25
2256068,28.56,43.89,101659,133507,110442,1,232072,24634,29750,16315,26
2257118,28.56,43.87,101660,133821,112784,1,234758,24303,29758,16305,27
2258178,28.57,43.86,101659,134559,112479,1,238281,24476,29746,16301,28
2259238,28.57,43.85,101659,135306,112631,1,234600,24684,29781,16299,29
2260292,28.58,43.85,101659,136278,112555,1,236353,24717,29795,16294,30
2261346,28.58,43.82,101659,136170,111909,1,237475,24919,29810,16294,31
2262399,28.59,43.83,101659,136935,113128,1,237234,24517,29796,16278,32
2262821,28.66,43.83,101658,143618,113128,1,237234,24517,29816,16282,33
2263618,28.68,43.77,101659,143136,113626,1,238200,24995,29794,16283,33
2264618,28.68,43.73,101659,142658,114205,1,238442,24885,29798,16280,34
2265618,28.67,43.7,101659,142658,114747,1,239574,25131,29796,16273,35
2266627,28.66,43.71,101658,143256,114437,1,243251,25336,29826,16269,36
2267617,28.66,43.68,101657,143016,114437,1,243251,25336,29803,16258,37
2268618,28.66,43.68,101657,143618,114747,1,242593,25733,29796,16261,38
2269618,28.66,43.67,101658,144591,113819,1,240387,25421,29826,16255,39
2270618,28.66,43.65,101657,144591,116311,1,240875,25742,29832,16254,40
2271618,28.66,43.64,101657,144714,114359,1,246734,25131,29851,16251,41
2272618,28.66,43.64,101657,145578,115527,1,242840,25534,29843,16243,42
2273618,28.66,43.64,101657,145827,116469,1,245817,25733,29832,16241,43
2274618,28.67,43.62,101658,145578,115527,1,244572,25925,29842,16244,44
2275618,28.67,43.61,101658,146578,117339,1,244241,26066,29842,16238,45
2276618,28.67,43.59,101660,146578,117817,1,244986,26137,29852,16222,46
2277618,28.68,43.58,101661,147211,116627,1,245900,26682,29821,16225,47
2278618,28.68,43.57,101661,147592,116745,1,250351,26637,29813,16222,48
2279618,28.68,43.58,101660,147592,117220,1,248830,26610,29867,16215,49
2280618,28.68,43.56,101660,147211,117777,1,246650,26511,29843,16208,50
2281618,28.69,43.54,101660,148362,117101,1,247905,26872,29853,16216,51
2282618,28.69,43.53,101660,147976,118216,1,249167,26243,29851,16205,52
2283618,28.7,43.54,101660,148621,117857,1,249505,26163,29879,16204,53
2284618,28.7,43.52,101660,149271,118256,1,250351,25664,29833,16205,54
2285658,28.71,43.52,101660,148880,118537,1,249167,25542,29851,16189,56
2286707,28.72,43.51,101660,149140,118858,1,251625,25751,29837,16188,57
2287617,28.73,43.5,101659,150322,118858,1,251625,25751,29877,16185,57
2288618,28.74,43.46,101660,150588,119463,1,248662,25890,29836,16187,58
2289618,28.75,43.46,101660,150322,119463,1,250775,26217,29847,16179,59
2290618,28.75,43.43,101661,151389,118898,1,252478,26323,29830,16181,60
2291618,28.76,43.43,101661,150721,119625,1,249843,26386,29856,16181,61
2292618,28.76,43.43,101661,150455,119463,1,255055,26809,29860,16168,62
2293618,28.76,43.41,101661,151928,118979,1,253077,27156,29852,16167,63
2294618,28.76,43.4,101661,151658,119746,1,253505,27009,29875,16161,64
2295618,28.76,43.4,101662,151389,119100,1,254021,27037,29851,16164,65
2296618,28.77,43.38,101662,151524,119827,1,252136,27183,29861,16157,66
2297618,28.77,43.39,101663,152064,119625,1,260993,26900,29865,16158,67
2298618,28.78,43.38,101663,152335,120682,1,253334,26909,29889,16152,68
