timestamp,BME688_TEMP,BME688_HUM,BME688_PRES,BME688_R,ENS160_R0,ENS160_R1,ENS160_R2,ENS160_R3,SGP41_VOC,SGP41_NOX,timestamp_s
2970935,28.72,48.71,101425,54237,34591,1,19221,17478,26972,16426,0
2971936,28.7,48.7,101424,63665,25585,1,11441,10480,27387,16432,1
2972936,28.7,48.62,101424,72357,27582,1,13153,12425,27541,16310,2
2973936,28.7,48.54,101424,76992,28960,1,14169,13707,27660,16212,3
2974936,28.71,48.48,101424,81012,29775,1,15039,14421,27733,16133,4
2975936,28.72,48.4,101424,84127,30675,1,15578,15095,27820,16057,5
2976936,28.72,48.35,101424,84965,30675,1,16223,15275,27883,15989,6
2977936,28.73,48.29,101424,86340,31527,1,16573,15684,27927,15933,7
2978936,28.74,48.24,101424,87761,31485,1,16776,15989,27969,15877,8
2979936,28.75,48.2,101424,88397,32033,1,16982,16022,27989,15829,9
2980936,28.76,48.17,101424,87761,32513,1,17407,16240,28020,15787,10
2981936,28.76,48.14,101424,89136,32535,1,17531,16054,28049,15739,11
2982936,28.77,48.1,101425,91038,32491,1,17283,16207,28038,15704,12
2983936,28.77,48.07,101425,91526,32239,1,17155,15652,28037,15670,13
2984936,28.78,48.06,101425,94482,32491,1,17266,15572,28049,15636,14
2985936,28.78,48.03,101425,91921,32393,1,16879,15662,28035,15616,15
2986936,28.78,48.02,101425,95808,31968,1,17080,15726,28054,15581,16
2987936,28.79,48.01,101424,94744,32185,1,17057,15737,28061,15559,17
2988936,28.79,48,101425,95808,32513,1,17051,15689,28110,15544,18
2989957,28.79,48,101425,95754,32646,1,17202,16130,28061,15517,19
2991017,28.79,47.99,101424,94902,32779,1,17377,15774,28071,15501,20
2992066,28.79,47.99,101425,95273,32613,1,17319,15811,28094,15483,21
2992935,28.8,47.98,101425,96786,32613,1,17319,15811,28087,15471,22
2993936,28.8,47.96,101424,96240,32668,1,17138,15833,28100,15455,23
2994936,28.81,47.93,101424,95916,32745,1,17692,16098,28036,15445,24
2995936,28.81,47.93,101424,96132,33553,1,17674,16016,28108,15433,25
2996936,28.81,47.92,101424,96294,33827,1,18049,16185,28110,15413,26
2997936,28.82,47.93,101424,95754,32901,1,18184,16367,28068,15404,27
2998936,28.82,47.9,101425,96512,33861,1,17927,16240,28071,15395,28
2999936,28.83,47.91,101424,97172,33678,1,18532,16827,28141,15383,29
3000936,28.84,47.9,101424,96676,34276,1,18759,16850,28098,15371,30
3001936,28.84,47.88,101424,95970,34172,1,18689,17495,28107,15364,31
3002936,28.85,47.88,101424,96841,33873,1,19261,17413,28075,15355,32
3003936,28.86,47.86,101424,95754,34661,1,19372,17722,28081,15348,33
3004936,28.87,47.84,101424,96951,34814,1,19503,18171,28098,15340,34
3005936,28.87,47.82,101424,98065,35420,1,19930,18196,28089,15335,35
3006936,28.88,47.79,101424,98291,34720,1,19809,18227,28101,15323,36
3007936,28.88,47.79,101424,98065,34873,1,19917,17746,28074,15316,37
