timestamp,BME688_TEMP,BME688_HUM,BME688_PRES,BME688_R,ENS160_R0,ENS160_R1,ENS160_R2,ENS160_R3,SGP41_VOC,SGP41_NOX,timestamp_s
2991865,28.42,50.29,101271,78842,71009,1,94072,17885,27044,16019,0
2992865,28.4,50.28,101270,83632,50792,1,66564,10750,27416,16003,1
2993865,28.39,50.2,101270,87312,53582,1,70769,12685,27584,15900,2
2994865,28.39,50.13,101270,90747,56315,1,74002,13781,27705,15810,3
2995865,28.4,50.06,101269,94482,58195,1,75725,14662,27811,15727,4
2996865,28.4,49.99,101269,96622,59630,1,77593,15146,27857,15662,5
2997865,28.41,49.92,101270,98803,60854,1,79373,15689,27928,15594,6
2998865,28.42,49.87,101269,100906,61350,1,80047,16169,27959,15536,7
2999865,28.42,49.82,101269,102053,62863,1,81413,16070,28022,15485,8
3000865,28.43,49.78,101269,103350,64044,1,82439,16725,27991,15440,9
3001865,28.43,49.75,101269,105068,64305,1,83422,16999,28035,15396,10
3002865,28.44,49.72,101268,105982,65160,1,84989,17549,28074,15362,11
3003865,28.44,49.72,101269,106844,66631,1,86557,18128,28090,15322,12
3004865,28.44,49.69,101269,108405,67608,1,87322,18456,28095,15288,13
3005865,28.44,49.67,101269,109518,67792,1,88722,19008,28132,15254,14
3006865,28.45,49.67,101269,110726,68229,1,88902,19131,28122,15225,15
3007865,28.45,49.66,101269,110798,69699,1,91932,19603,28124,15201,16
3008865,28.46,49.66,101269,111304,70913,1,91963,20032,28131,15182,17
3009865,28.46,49.66,101269,112108,70530,1,93849,19897,28135,15157,18
3010906,28.47,49.66,101269,112552,71274,1,94936,20394,28166,15139,19
3011966,28.47,49.66,101269,113074,71855,1,96654,20457,28144,15117,20
3013016,28.47,49.66,101268,113450,72859,1,98337,20954,28136,15098,21
3014076,28.47,49.65,101268,113299,72810,1,95904,20728,28144,15083,22
3015125,28.46,49.64,101267,113980,72441,1,98104,20264,28146,15070,23
3015864,28.49,49.65,101268,116073,72441,1,98104,20264,28177,15059,23
3016865,28.49,49.63,101268,115915,72588,1,97607,19762,28179,15051,25
3017865,28.49,49.62,101268,115133,72490,1,97706,19890,28164,15032,26
3018865,28.49,49.62,101268,114438,72539,1,100728,19796,28212,15021,27
3019865,28.49,49.62,101268,114209,72958,1,99072,19809,28201,15009,28
3020865,28.5,49.59,101269,114746,72417,1,99038,19917,28217,15003,29
3021865,28.5,49.59,101268,114362,73702,1,98670,19776,28198,14992,30
3022865,28.5,49.57,101269,114592,73280,1,98570,19589,28210,14982,31
3023865,28.5,49.56,101269,115211,73977,1,100117,19709,28221,14981,32
3024865,28.5,49.55,101269,115445,74455,1,100592,20367,28174,14965,33
3025865,28.5,49.55,101269,115994,74027,1,101241,20223,28231,14963,34
3026865,28.5,49.53,101269,115680,73727,1,100899,20120,28201,14957,35
3027865,28.5,49.51,101269,115915,73354,1,100252,19696,28220,14946,36
3028865,28.5,49.52,101269,115601,73131,1,101275,19208,28226,14944,37
3029916,28.5,49.5,101268,114209,73354,1,100049,19208,28212,14934,38
3030976,28.5,49.52,101269,114132,73478,1,100592,19313,28190,14928,39
3032025,28.5,49.52,101269,114592,73802,1,100117,19662,28236,14919,40
3032864,28.51,49.54,101269,116231,73802,1,100117,19662,28210,14919,40
3033865,28.51,49.5,101269,116231,74178,1,101412,19823,28226,14916,42
3034865,28.51,49.48,101269,116231,74505,1,101929,19411,28198,14914,43
3035865,28.52,49.49,101270,115758,73528,1,100865,19300,28222,14905,44
3036865,28.52,49.49,101269,116073,73503,1,101104,18931,28226,14899,45
