timestamp,BME688_TEMP,BME688_HUM,BME688_PRES,BME688_R,ENS160_R0,ENS160_R1,ENS160_R2,ENS160_R3,SGP41_VOC,SGP41_NOX,timestamp_s
3137658,28.09,50.59,101338,32168,23478,1,8183,7820,26935,16938,0
3138698,28.04,50.55,101338,40276,26350,1,9699,9751,27303,16901,1
3139647,28.02,50.46,101338,48892,26350,1,9699,9751,27470,16797,1
3140648,28.01,50.36,101339,55220,28435,1,10721,10967,27614,16698,2
3141648,28,50.26,101339,60721,29956,1,11612,11887,27691,16620,3
3142648,28,50.18,101339,64483,30675,1,12254,12535,27778,16543,4
3143648,28,50.13,101339,68085,31474,1,12775,12625,27821,16480,5
3144648,28,50.06,101339,70213,32152,1,13161,13219,27876,16408,6
3145648,28,50.01,101338,72727,32779,1,13468,13601,27954,16365,7
3146648,28.01,49.95,101338,74375,33001,1,13884,13979,27981,16307,8
3147648,28.01,49.94,101338,76032,33827,1,14256,14445,27976,16261,9
3148648,28.01,49.89,101338,77201,34022,1,14692,14662,28012,16218,10
3149648,28.02,49.87,101338,78479,34814,1,15064,15126,28014,16168,11
3150648,28.02,49.83,101339,78263,35420,1,15368,15265,28076,16136,12
3151648,28.02,49.83,101339,78191,35253,1,15631,15177,28046,16101,13
3152648,28.03,49.81,101338,78696,34968,1,15290,15192,28038,16071,14
3153648,28.03,49.77,101338,79875,35528,1,15483,15244,28059,16029,15
3154648,28.03,49.76,101339,81012,35988,1,15737,15436,28085,16009,16
3155648,28.03,49.75,101338,80859,36098,1,16081,15822,28056,15981,17
3156648,28.04,49.74,101339,80935,36025,1,16517,16027,28075,15965,18
3157648,28.04,49.72,101339,80782,36269,1,16223,15930,28107,15947,19
3158648,28.05,49.71,101340,80935,35927,1,16092,15913,28107,15918,20
3159648,28.05,49.7,101340,79950,35879,1,15946,15705,28124,15900,21
3160648,28.05,49.71,101338,78769,35709,1,15881,15275,28118,15883,22
3161648,28.06,49.7,101339,77622,35444,1,15620,15177,28096,15859,23
3162679,28.06,49.69,101339,76784,35384,1,15604,15100,28117,15848,25
3163718,28.06,49.69,101339,76167,35312,1,15462,15192,28130,15830,26
3164758,28.07,49.68,101340,76372,35782,1,15478,15244,28113,15819,27
3165647,28.08,49.66,101339,78191,35782,1,15478,15244,28128,15806,27
3166648,28.09,49.65,101338,78335,36245,1,16027,15562,28125,15791,28
3167648,28.09,49.65,101338,77906,35891,1,15694,15562,28139,15784,29
3168648,28.1,49.63,101338,78191,35903,1,16027,15631,28116,15765,30
3169648,28.1,49.61,101338,78263,36479,1,16092,15811,28117,15756,31
3170648,28.1,49.61,101337,78479,36147,1,16032,15551,28117,15747,32
3171648,28.11,49.59,101337,78914,36184,1,16367,15562,28117,15738,33
3172648,28.11,49.59,101337,78696,36454,1,16323,15588,28124,15720,34
3173648,28.11,49.57,101336,79503,36726,1,16323,15509,28106,15715,35
3174648,28.12,49.57,101337,79281,36764,1,16245,15588,28142,15711,36
3175648,28.13,49.54,101337,79950,36454,1,16185,15726,28114,15702,37
3176648,28.13,49.53,101337,80326,36405,1,16361,15973,28110,15694,38
3177648,28.13,49.54,101337,80935,36553,1,16607,16011,28166,15685,39
3178648,28.14,49.54,101337,82262,36319,1,16793,15758,28175,15682,40
3179648,28.14,49.54,101338,82660,36602,1,16445,15588,28144,15678,41
3180648,28.14,49.55,101339,82740,36901,1,16484,15973,28121,15665,42
3181648,28.15,49.52,101340,81789,37303,1,16930,16312,28190,15661,43
3182648,28.15,49.53,101340,81867,37001,1,16584,15865,28109,15657,44
3183648,28.15,49.54,101341,81710,37089,1,16624,15689,28132,15643,45
3184648,28.15,49.53,101341,82182,37227,1,16669,15822,28155,15631,46
3185648,28.15,49.53,101340,82421,37429,1,16902,16484,28106,15641,47
3186659,28.15,49.51,101340,82982,37632,1,17313,16669,28131,15628,49
3187698,28.15,49.51,101339,83469,37518,1,17196,16680,28154,15626,50
3188739,28.15,49.52,101339,83550,37760,1,17366,16714,28134,15612,51
3189777,28.15,49.52,101339,83961,37632,1,17360,16551,28123,15610,52
3190647,28.16,49.51,101338,86340,37632,1,17360,16551,28151,15611,52
3191648,28.16,49.51,101338,85475,37290,1,17016,16489,28123,15603,53
3192648,28.16,49.49,101338,86340,38055,1,17549,16959,28125,15597,54
