timestamp,BME688_TEMP,BME688_HUM,BME688_PRES,BME688_R,ENS160_R0,ENS160_R1,ENS160_R2,ENS160_R3,SGP41_VOC,SGP41_NOX,timestamp_s
3274378,29.19,48.67,101269,42146,33304,1,18098,9452,27834,16503,0
3275428,29.15,48.66,101269,48696,36306,1,20799,11441,28265,16479,1
3276478,29.13,48.58,101269,53222,38197,1,22689,12480,28403,16385,2
3277517,29.12,48.51,101269,56649,38744,1,23565,13144,28583,16329,3
3278356,29.13,48.47,101269,60937,38744,1,23565,13144,28634,16290,3
3279357,29.13,48.39,101270,62822,39606,1,25267,13856,28715,16248,4
3280357,29.14,48.34,101270,65073,40831,1,25996,14304,28732,16216,5
3281357,29.14,48.3,101270,66184,40997,1,26800,14697,28829,16174,6
3282357,29.14,48.27,101270,67015,42322,1,27713,14842,28822,16138,7
3283357,29.15,48.24,101269,67760,42165,1,27863,15059,28817,16117,8
3284357,29.15,48.23,101270,68743,42236,1,28416,15296,28841,16087,9
3285357,29.16,48.21,101270,69470,42826,1,29018,15420,28839,16053,10
3286357,29.16,48.18,101269,70213,42581,1,29454,15488,28878,16038,11
3287357,29.17,48.16,101269,70445,43602,1,29325,15876,28902,16012,12
3288357,29.17,48.15,101270,70914,43263,1,29305,15881,28880,15986,13
3289357,29.17,48.14,101270,71269,44047,1,30048,15887,28909,15965,14
3290357,29.18,48.11,101270,71809,43942,1,29906,15994,28943,15945,15
3291357,29.18,48.08,101270,72541,44271,1,30540,16158,28934,15918,16
3292357,29.18,48.07,101270,72112,44723,1,30644,16229,28950,15902,17
3293357,29.18,48.05,101270,72418,43927,1,30675,16174,28907,15878,18
3294357,29.18,48.05,101270,72541,44692,1,30779,16196,28958,15869,19
3295357,29.19,48.05,101271,72727,44451,1,30925,16130,28957,15845,20
3296398,29.19,48.04,101270,72480,44406,1,31304,16428,28947,15831,22
3297448,29.19,48.05,101270,72541,45118,1,31167,16378,28950,15814,23
3298487,29.19,48.06,101271,72418,44723,1,31262,16467,28934,15792,24
3299356,29.2,48.07,101270,73860,44723,1,31262,16467,28972,15776,24
3300357,29.21,48.08,101269,73415,45042,1,31591,16669,28951,15763,25
3301357,29.21,48.07,101270,73669,45640,1,32109,16999,28953,15749,26
3302357,29.22,48.08,101269,73415,46231,1,32480,17034,28910,15729,27
3303357,29.22,48.1,101269,73860,46340,1,32458,17295,28989,15717,28
3304357,29.22,48.1,101269,73924,45810,1,32283,17307,28958,15708,29
3305357,29.23,48.08,101269,73988,45903,1,32393,16965,28944,15694,30
3306357,29.23,48.08,101269,73988,45950,1,32513,17295,28946,15682,31
3307357,29.23,48.1,101269,74310,45686,1,32768,17155,28973,15669,32
3308357,29.23,48.09,101269,74245,46246,1,32425,17086,28963,15660,33
